,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,76.22,2,-0.36,-0.47,76.31,76.60,75.73,"6,810,308","82,828,220,398","15,391,880,577,655",건설업
1,2023/04/12,76.58,1,1.31,1.74,75.18,77.12,75.13,"8,783,790","88,770,217,217","15,463,805,659,265",건설업
2,2023/04/11,75.27,1,0.93,1.25,74.42,75.39,74.32,"6,400,344","59,618,844,213","15,199,537,708,940",건설업
3,2023/04/10,74.34,2,-1.01,-1.34,75.15,75.15,74.21,"7,907,951","56,421,518,602","15,013,298,909,365",건설업
4,2023/04/07,75.35,1,0.60,0.80,74.88,75.42,74.48,"6,399,442","67,759,690,753","15,218,823,269,305",건설업
5,2023/04/06,74.75,2,-0.22,-0.29,75.05,75.94,74.50,"11,007,143","138,971,204,004","15,100,976,632,385",건설업
6,2023/04/05,74.97,2,-0.77,-1.02,75.71,76.02,74.84,"7,122,485","77,195,755,669","15,145,247,066,430",건설업
7,2023/04/04,75.74,1,0.13,0.17,75.84,76.28,75.08,"7,536,062","69,475,384,344","15,292,899,807,890",건설업
8,2023/04/03,75.61,1,1.66,2.24,74.59,76.04,74.54,"11,513,956","111,431,333,244","15,266,898,155,105",건설업
9,2023/03/31,73.95,1,0.03,0.04,74.12,75.11,73.63,"9,352,093","81,645,146,114","14,929,503,101,820",건설업
10,2023/03/30,73.92,1,1.11,1.52,72.86,74.28,71.97,"8,487,679","91,468,540,819","14,923,612,934,500",건설업
11,2023/03/29,72.81,1,0.35,0.48,72.47,73.21,72.17,"5,160,820","53,297,656,105","14,702,592,101,070",건설업
12,2023/03/28,72.46,1,0.59,0.82,71.94,72.50,71.82,"5,305,220","45,850,299,775","14,631,852,503,720",건설업
13,2023/03/27,71.87,2,-0.70,-0.96,72.91,73.01,71.45,"6,880,435","53,056,135,239","14,513,021,600,320",건설업
14,2023/03/24,72.57,2,-0.02,-0.03,72.36,72.93,72.32,"5,395,782","45,556,965,071","14,655,806,232,610",건설업
15,2023/03/23,72.59,2,-1.27,-1.72,73.46,73.46,72.34,"6,960,931","67,696,651,937","14,661,651,297,835",건설업
16,2023/03/22,73.86,2,-0.34,-0.46,74.78,74.86,73.78,"5,231,177","56,530,896,743","14,917,757,462,030",건설업
17,2023/03/21,74.20,2,-0.71,-0.95,75.31,75.32,74.14,"5,554,096","51,892,600,353","14,985,352,716,535",건설업
18,2023/03/20,74.91,1,0.13,0.17,74.87,76.29,74.60,"5,323,416","58,887,835,780","15,127,064,421,780",건설업
19,2023/03/17,74.78,1,0.29,0.39,75.32,75.51,74.61,"6,161,295","72,205,717,116","15,102,010,736,610",건설업
20,2023/03/16,74.49,2,-1.12,-1.48,74.95,75.26,74.28,"5,858,936","64,457,658,967","15,042,984,650,470",건설업
21,2023/03/15,75.61,1,2.35,3.21,74.39,76.23,74.17,"5,764,203","80,862,223,991","15,267,705,157,410",건설업
22,2023/03/14,73.26,2,-2.07,-2.75,74.93,74.93,73.05,"7,250,729","72,039,730,390","14,798,100,565,215",건설업
23,2023/03/13,75.33,2,-0.83,-1.09,76.12,76.12,73.81,"7,249,786","73,975,131,069","15,215,159,114,015",건설업
24,2023/03/10,76.16,2,-0.76,-0.99,76.57,77.92,76.09,"8,009,884","78,418,207,784","15,387,449,206,230",건설업
25,2023/03/09,76.92,1,1.31,1.73,76.44,77.93,76.44,"13,588,232","130,977,000,995","15,539,218,201,250",건설업
26,2023/03/08,75.61,2,-0.62,-0.81,75.75,75.81,74.59,"7,232,491","78,877,466,782","15,275,683,756,400",건설업
27,2023/03/07,76.23,1,0.42,0.55,75.96,76.67,75.63,"7,350,178","58,754,373,885","15,401,394,908,800",건설업
28,2023/03/06,75.81,2,-0.21,-0.28,76.36,76.46,75.25,"6,561,752","57,041,505,834","15,317,133,100,245",건설업
29,2023/03/03,76.02,2,-0.14,-0.18,76.56,76.70,75.44,"5,708,028","49,548,686,596","15,360,654,649,315",건설업
30,2023/03/02,76.16,1,0.79,1.05,75.27,76.67,75.27,"7,455,133","64,419,093,953","15,387,650,733,850",건설업
31,2023/02/28,75.37,2,-1.05,-1.37,76.69,76.86,75.27,"17,375,795","92,054,989,428","15,235,001,610,400",건설업
32,2023/02/27,76.42,2,-1.48,-1.90,77.33,77.33,76.16,"9,193,129","57,711,716,003","15,442,980,366,215",건설업
33,2023/02/24,77.90,2,-1.69,-2.12,79.31,79.81,77.83,"10,115,684","68,730,801,483","15,741,619,275,795",건설업
34,2023/02/23,79.59,1,0.80,1.02,79.14,79.92,78.28,"12,013,272","83,912,786,743","16,082,614,201,180",건설업
35,2023/02/22,78.79,2,-1.82,-2.26,79.55,79.97,78.76,"25,158,284","102,694,711,247","15,922,496,587,285",건설업
36,2023/02/21,80.61,1,2.75,3.53,77.92,81.08,77.63,"92,158,872","291,221,997,526","16,287,113,716,855",건설업
37,2023/02/20,77.86,1,0.32,0.41,77.67,78.06,76.90,"4,863,646","47,306,825,813","15,734,320,334,445",건설업
38,2023/02/17,77.54,1,0.71,0.92,76.11,78.58,76.03,"7,492,875","85,351,041,265","15,671,834,374,175",건설업
39,2023/02/16,76.83,1,0.93,1.23,76.36,77.08,76.34,"11,494,681","60,668,613,031","15,530,546,605,825",건설업
40,2023/02/15,75.90,2,-1.69,-2.18,77.61,77.86,75.71,"7,839,724","80,192,674,474","15,344,305,585,560",건설업
41,2023/02/14,77.59,1,0.10,0.13,77.87,78.29,77.37,"5,115,653","55,407,227,094","15,685,503,554,190",건설업
42,2023/02/13,77.49,2,-0.07,-0.09,77.59,77.78,76.60,"5,671,699","74,098,157,996","15,665,404,903,220",건설업
43,2023/02/10,77.56,1,0.65,0.85,76.84,77.56,76.07,"8,084,582","71,257,814,233","15,681,123,083,370",건설업
44,2023/02/09,76.91,2,-0.74,-0.95,77.25,77.67,76.88,"7,250,913","71,617,118,049","15,551,618,334,085",건설업
45,2023/02/08,77.65,1,0.97,1.26,77.05,77.76,76.80,"6,913,423","66,096,372,054","15,703,013,773,315",건설업
46,2023/02/07,76.68,2,-1.01,-1.30,77.63,77.96,76.51,"8,142,515","100,362,231,580","15,508,895,732,065",건설업
47,2023/02/06,77.69,2,-1.53,-1.93,78.93,78.93,77.43,"10,750,979","132,866,987,974","15,710,220,400,755",건설업
