,date,Á¾°¡,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,°í°¡,Àú°¡,°Å·¡·®,°Å·¡´ë±Ý,»óÀå½Ã°¡ÃÑ¾×,index_name
0,2023/04/13,353.36,1,1.54,0.44,351.36,353.36,350.65,"37,246,090","857,849,889,290","239,911,394,099,359",±ÝÀ¶¾÷
1,2023/04/12,351.82,1,4.80,1.38,346.91,352.92,346.91,"33,830,997","895,697,583,409","238,854,298,271,241",±ÝÀ¶¾÷
2,2023/04/11,347.02,1,3.58,1.04,343.84,348.32,342.79,"33,100,264","658,026,521,084","235,889,910,165,720",±ÝÀ¶¾÷
3,2023/04/10,343.44,2,-2.02,-0.58,343.75,346.21,342.74,"28,431,421","507,546,271,539","233,494,841,972,227",±ÝÀ¶¾÷
4,2023/04/07,345.46,1,3.04,0.89,342.23,346.02,341.75,"29,395,926","580,816,563,974","234,844,762,278,797",±ÝÀ¶¾÷
5,2023/04/06,342.42,2,-5.62,-1.61,347.30,347.30,342.42,"42,031,029","714,226,448,135","232,931,848,286,037",±ÝÀ¶¾÷
6,2023/04/05,348.04,2,-0.22,-0.06,348.21,351.26,347.65,"27,144,420","487,695,758,517","236,739,572,388,233",±ÝÀ¶¾÷
7,2023/04/04,348.26,1,3.42,0.99,345.47,348.26,344.34,"34,755,207","562,465,201,516","236,941,314,096,076",±ÝÀ¶¾÷
8,2023/04/03,344.84,2,-1.51,-0.44,346.50,346.50,344.45,"28,543,816","527,723,275,507","234,657,064,258,967",±ÝÀ¶¾÷
9,2023/03/31,346.35,1,2.20,0.64,344.41,347.68,344.38,"50,701,970","806,035,681,152","235,747,451,392,633",±ÝÀ¶¾÷
10,2023/03/30,344.15,2,-0.37,-0.11,343.63,345.36,342.45,"71,231,678","1,012,904,283,392","234,266,039,089,872",±ÝÀ¶¾÷
11,2023/03/29,344.52,1,1.12,0.33,343.67,345.62,342.18,"27,944,091","591,439,902,564","234,521,444,656,795",±ÝÀ¶¾÷
12,2023/03/28,343.40,1,4.95,1.46,340.91,343.80,340.91,"31,508,549","594,383,989,058","233,755,271,514,613",±ÝÀ¶¾÷
13,2023/03/27,338.45,2,-2.44,-0.72,341.62,341.62,336.42,"32,856,511","624,410,834,681","230,435,045,653,125",±ÝÀ¶¾÷
14,2023/03/24,340.89,2,-5.46,-1.58,343.15,344.13,340.64,"38,111,375","705,935,903,044","232,083,486,194,577",±ÝÀ¶¾÷
15,2023/03/23,346.35,2,-1.23,-0.35,345.26,346.35,344.38,"30,707,411","608,116,107,160","235,745,629,697,742",±ÝÀ¶¾÷
16,2023/03/22,347.58,1,0.78,0.22,349.94,350.40,346.76,"27,936,824","546,336,437,896","236,587,213,253,298",±ÝÀ¶¾÷
17,2023/03/21,346.80,1,2.00,0.58,346.52,348.83,345.71,"27,636,949","552,493,686,030","236,072,068,587,803",±ÝÀ¶¾÷
18,2023/03/20,344.80,2,-2.52,-0.73,347.53,350.04,344.80,"27,531,525","528,839,158,680","234,715,018,486,936",±ÝÀ¶¾÷
19,2023/03/17,347.32,1,2.77,0.80,347.91,349.48,346.54,"45,850,183","920,846,727,784","236,420,136,253,280",±ÝÀ¶¾÷
