,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,051.94",1,6.85,0.66,"1,036.65","1,052.27","1,025.48","62,799,878","638,367,317,205","37,807,203,465,360",기계
1,2023/04/12,"1,045.09",1,39.68,3.95,"1,014.39","1,046.97","1,014.39","87,643,569","873,611,493,888","37,560,688,596,758",기계
2,2023/04/11,"1,005.41",1,20.46,2.08,989.55,"1,007.24",984.19,"60,893,130","683,693,826,055","36,134,762,470,771",기계
3,2023/04/10,984.95,1,0.08,0.01,984.20,989.80,971.00,"54,743,229","562,151,274,308","35,399,170,655,575",기계
4,2023/04/07,984.87,2,-7.81,-0.79,994.28,994.63,983.65,"52,842,276","569,986,529,655","35,396,630,539,678",기계
5,2023/04/06,992.68,2,-8.59,-0.86,998.84,"1,008.50",991.59,"64,659,990","611,712,058,443","35,677,155,288,562",기계
6,2023/04/05,"1,001.27",2,-7.66,-0.76,"1,004.78","1,005.11",986.01,"74,081,839","667,301,517,791","35,985,703,879,374",기계
7,2023/04/04,"1,008.93",1,13.59,1.37,999.09,"1,014.31",996.22,"61,926,377","552,700,469,399","36,261,099,671,896",기계
8,2023/04/03,995.34,2,-6.02,-0.60,998.90,"1,004.11",990.00,"97,713,562","546,784,289,951","35,772,672,363,429",기계
9,2023/03/31,"1,001.36",1,16.94,1.72,995.47,"1,007.35",990.78,"88,416,961","816,014,540,815","35,989,076,063,963",기계
10,2023/03/30,984.42,1,3.05,0.31,983.64,990.88,972.83,"88,705,736","848,021,323,579","35,380,376,072,287",기계
11,2023/03/29,981.37,1,16.58,1.72,970.22,985.38,961.40,"98,379,684","966,613,971,632","35,270,617,757,159",기계
12,2023/03/28,964.79,1,20.87,2.21,945.48,964.79,945.48,"85,617,137","780,970,095,363","34,672,195,318,173",기계
13,2023/03/27,943.92,2,-4.90,-0.52,950.15,950.15,933.79,"82,259,915","759,908,145,427","33,922,129,003,207",기계
14,2023/03/24,948.82,1,15.20,1.63,933.30,952.11,932.93,"70,674,951","798,709,345,950","34,098,594,431,890",기계
15,2023/03/23,933.62,2,-12.82,-1.35,939.53,941.34,930.32,"55,325,084","360,025,694,462","33,552,474,376,196",기계
16,2023/03/22,946.44,2,-2.26,-0.24,956.33,957.54,944.51,"67,284,170","462,143,080,135","34,012,890,355,410",기계
17,2023/03/21,948.70,2,-2.43,-0.26,957.19,958.20,946.82,"57,046,624","297,010,142,199","34,094,272,943,507",기계
18,2023/03/20,951.13,1,1.13,0.12,950.90,965.91,946.80,"99,871,567","384,950,134,967","34,181,725,585,791",기계
19,2023/03/17,950.00,1,3.58,0.38,957.76,958.57,941.65,"68,672,438","338,036,495,141","34,141,102,895,181",기계
20,2023/03/16,946.42,2,-10.68,-1.12,951.49,951.49,935.07,"44,459,184","307,225,325,384","34,012,282,404,384",기계
21,2023/03/15,957.10,1,29.74,3.21,945.39,963.55,942.78,"89,935,436","365,138,337,599","34,396,121,593,494",기계
22,2023/03/14,927.36,2,-46.93,-4.82,964.79,968.43,926.86,"134,910,044","551,759,096,114","33,327,613,313,025",기계
23,2023/03/13,974.29,2,-3.92,-0.40,973.62,974.81,954.35,"57,934,837","422,954,268,453","35,013,844,754,108",기계
24,2023/03/10,978.21,2,-18.70,-1.88,985.90,996.14,975.30,"35,203,180","353,494,515,836","35,154,537,755,962",기계
25,2023/03/09,996.91,1,11.28,1.14,991.34,"1,004.18",990.03,"55,626,986","684,898,796,091","35,826,403,349,375",기계
26,2023/03/08,985.63,1,3.47,0.35,971.75,989.80,970.33,"54,082,579","633,062,597,919","35,421,098,394,868",기계
27,2023/03/07,982.16,1,0.71,0.07,982.90,986.50,973.81,"58,525,102","402,631,857,054","35,296,407,258,996",기계
28,2023/03/06,981.45,1,7.94,0.82,975.33,982.27,969.82,"46,565,258","333,858,761,574","35,270,846,883,012",기계
29,2023/03/03,973.51,2,-1.36,-0.14,976.54,976.90,963.52,"39,266,781","223,564,679,116","34,985,951,513,258",기계
30,2023/03/02,974.87,1,22.44,2.36,956.86,977.22,956.86,"44,801,756","319,393,627,826","35,034,548,102,676",기계
31,2023/02/28,952.43,2,-4.01,-0.42,961.27,963.84,951.67,"20,328,989","188,104,109,761","34,228,246,126,981",기계
32,2023/02/27,956.44,2,-5.98,-0.62,956.44,958.51,950.11,"22,593,044","185,920,234,201","34,372,597,909,048",기계
33,2023/02/24,962.42,2,-1.40,-0.15,965.55,972.17,959.81,"28,531,169","232,888,336,414","34,587,179,181,470",기계
