,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"14,556.07",1,121.88,0.84,"14,396.02","14,592.30","14,352.64","4,913,699","72,719,129,478","37,004,154,264,970",보험
1,2023/04/12,"14,434.19",1,202.71,1.42,"14,174.81","14,477.28","14,174.81","2,956,254","53,141,369,927","36,698,912,180,735",보험
2,2023/04/11,"14,231.48",1,274.07,1.96,"13,965.66","14,299.87","13,954.62","3,854,547","58,642,349,051","36,189,834,368,710",보험
3,2023/04/10,"13,957.41",1,24.31,0.17,"13,888.87","14,066.64","13,866.10","2,482,300","39,978,296,980","35,500,339,881,605",보험
4,2023/04/07,"13,933.10",2,-81.27,-0.58,"13,966.24","13,998.67","13,883.87","2,627,944","44,172,269,329","35,439,760,269,995",보험
5,2023/04/06,"14,014.37",2,-198.61,-1.40,"14,227.87","14,235.77","14,005.38","4,035,349","45,475,205,675","35,645,163,710,780",보험
6,2023/04/05,"14,212.98",2,-48.39,-0.34,"14,305.09","14,418.08","14,199.93","3,298,942","37,758,888,203","36,142,736,098,030",보험
7,2023/04/04,"14,261.37",1,43.63,0.31,"14,226.48","14,280.54","14,078.24","3,441,005","57,613,812,277","36,263,643,104,100",보험
8,2023/04/03,"14,217.74",2,-133.68,-0.93,"14,338.93","14,390.96","14,167.70","2,855,761","51,827,949,618","36,152,971,290,705",보험
9,2023/03/31,"14,351.42",1,7.00,0.05,"14,318.55","14,473.54","14,290.95","3,569,394","70,764,986,523","36,491,167,665,710",보험
10,2023/03/30,"14,344.42",2,-64.86,-0.45,"14,341.31","14,389.94","14,250.32","3,479,432","60,549,400,822","36,475,492,885,495",보험
11,2023/03/29,"14,409.28",1,248.96,1.76,"14,194.94","14,443.58","14,178.91","2,664,524","58,195,599,845","36,640,591,050,595",보험
12,2023/03/28,"14,160.32",1,122.87,0.88,"14,094.71","14,169.01","14,041.98","2,198,280","36,478,994,087","36,010,747,690,070",보험
13,2023/03/27,"14,037.45",2,-71.49,-0.51,"14,171.91","14,171.91","13,949.51","2,753,535","46,824,924,489","35,698,335,910,025",보험
14,2023/03/24,"14,108.94",2,-343.36,-2.38,"14,194.37","14,296.02","14,021.47","4,714,006","74,628,711,580","35,879,215,767,615",보험
15,2023/03/23,"14,452.30",2,-126.07,-0.86,"14,498.09","14,713.10","14,356.22","3,379,536","68,844,996,789","36,743,050,450,750",보험
16,2023/03/22,"14,578.37",1,136.51,0.95,"14,514.90","14,700.03","14,514.90","3,019,180","54,647,039,898","37,059,209,077,730",보험
17,2023/03/21,"14,441.86",1,100.05,0.70,"14,420.34","14,636.30","14,386.92","3,441,143","65,836,799,434","36,717,568,257,360",보험
18,2023/03/20,"14,341.81",2,-329.13,-2.24,"14,692.01","14,703.87","14,290.23","4,185,726","75,027,784,823","36,469,364,232,355",보험
19,2023/03/17,"14,670.94",1,78.87,0.54,"14,717.64","14,735.93","14,570.12","6,210,678","121,562,660,276","37,302,402,150,545",보험
20,2023/03/16,"14,592.07",2,-390.92,-2.61,"14,816.99","14,826.52","14,549.54","4,560,847","74,182,006,040","37,095,430,456,485",보험
21,2023/03/15,"14,982.99",1,111.37,0.75,"14,926.95","15,039.69","14,845.59","4,254,438","58,350,946,208","38,077,802,637,115",보험
22,2023/03/14,"14,871.62",2,-332.14,-2.18,"15,028.19","15,050.41","14,724.37","6,311,926","102,810,522,302","37,797,679,188,285",보험
23,2023/03/13,"15,203.76",1,87.95,0.58,"15,240.92","15,240.92","14,871.95","4,576,538","72,748,063,412","38,634,193,826,440",보험
24,2023/03/10,"15,115.81",2,-16.55,-0.11,"15,073.49","15,253.22","15,067.30","6,083,017","83,034,253,859","38,410,707,251,225",보험
25,2023/03/09,"15,132.36",1,240.17,1.61,"14,880.18","15,304.31","14,878.92","9,813,191","113,503,402,325","38,454,474,716,855",보험
26,2023/03/08,"14,892.19",2,-196.47,-1.30,"14,953.87","15,033.02","14,803.78","3,881,236","67,381,862,315","37,852,419,735,165",보험
27,2023/03/07,"15,088.66",2,-39.15,-0.26,"15,081.56","15,192.29","15,003.78","3,371,702","55,546,795,134","38,345,903,700,550",보험
28,2023/03/06,"15,127.81",1,72.99,0.48,"15,174.14","15,229.91","15,057.23","4,118,798","65,075,280,449","38,444,085,577,245",보험
29,2023/03/03,"15,054.82",2,-361.09,-2.34,"15,374.11","15,422.80","15,012.59","8,124,569","94,449,823,675","38,258,694,976,480",보험
30,2023/03/02,"15,415.91",1,2.45,0.02,"15,371.61","15,576.96","15,290.26","6,742,588","96,991,710,970","39,168,787,731,800",보험
31,2023/02/28,"15,413.46",1,24.46,0.16,"15,395.56","15,415.26","15,251.45","5,283,021","99,286,509,565","39,158,168,732,345",보험
32,2023/02/27,"15,389.00",1,174.90,1.15,"15,182.36","15,502.60","15,158.26","12,013,694","114,131,721,492","39,102,222,833,660",보험
33,2023/02/24,"15,214.10",1,143.33,0.95,"14,994.50","15,325.81","14,994.13","8,050,802","94,267,818,706","38,661,702,954,320",보험
34,2023/02/23,"15,070.77",1,471.48,3.23,"14,647.34","15,241.54","14,647.34","22,810,478","176,998,360,983","38,303,393,282,820",보험
35,2023/02/22,"14,599.29",1,71.47,0.49,"14,503.45","14,641.59","14,475.37","3,264,032","62,540,164,306","37,112,033,417,085",보험
36,2023/02/21,"14,527.82",1,59.03,0.41,"14,445.45","14,529.17","14,371.30","2,414,348","37,025,990,214","36,932,846,383,935",보험
37,2023/02/20,"14,468.79",2,-85.99,-0.59,"14,513.56","14,534.27","14,394.33","2,169,924","40,615,796,970","42,175,762,470,090",보험
38,2023/02/17,"14,554.78",1,16.60,0.11,"14,462.56","14,643.22","14,384.54","3,504,338","53,046,366,697","42,423,585,679,225",보험
39,2023/02/16,"14,538.18",1,45.09,0.31,"14,493.04","14,555.85","14,416.88","3,287,517","56,773,609,096","42,374,547,148,725",보험
40,2023/02/15,"14,493.09",1,3.78,0.03,"14,478.26","14,509.28","14,326.77","3,038,876","56,711,685,616","42,242,810,821,160",보험
41,2023/02/14,"14,489.31",1,31.11,0.22,"14,545.99","14,545.99","14,419.35","3,141,716","44,162,681,241","42,232,964,398,370",보험
42,2023/02/13,"14,458.20",2,-31.22,-0.22,"14,417.55","14,524.57","14,342.51","2,833,331","46,871,945,275","42,140,719,672,005",보험
43,2023/02/10,"14,489.42",1,161.84,1.13,"14,328.85","14,489.85","14,305.41","2,983,076","41,654,427,804","42,229,657,598,900",보험
44,2023/02/09,"14,327.58",2,-208.67,-1.44,"14,485.82","14,520.24","14,327.58","4,517,812","66,692,786,160","41,762,427,982,360",보험
45,2023/02/08,"14,536.25",1,163.94,1.14,"14,398.59","14,549.82","14,383.70","4,008,596","67,829,207,001","42,367,527,564,525",보험
46,2023/02/07,"14,372.31",1,5.56,0.04,"14,362.88","14,417.70","14,324.63","4,892,271","62,652,729,214","41,894,345,810,575",보험
47,2023/02/06,"14,366.75",2,-80.04,-0.55,"14,424.94","14,485.95","14,306.53","3,499,786","57,785,060,654","42,216,371,788,980",보험
48,2023/02/03,"14,446.79",2,-28.46,-0.20,"14,446.86","14,504.42","14,363.32","5,651,156","94,345,597,084","42,449,713,161,980",보험
49,2023/02/02,"14,475.25",2,-459.42,-3.08,"14,967.02","14,967.02","14,467.28","11,492,982","151,660,788,491","42,528,552,694,310",보험
50,2023/02/01,"14,934.67",1,153.55,1.04,"14,805.94","15,022.78","14,805.94","4,918,033","81,094,795,225","43,867,305,676,370",보험
51,2023/01/31,"14,781.12",1,31.78,0.22,"14,809.46","14,947.03","14,717.39","3,888,487","82,627,394,409","43,415,793,257,510",보험
52,2023/01/30,"14,749.34",2,-433.75,-2.86,"15,033.20","15,044.78","14,749.34","6,301,313","90,935,551,287","43,315,874,542,245",보험
53,2023/01/27,"15,183.09",1,170.48,1.14,"14,977.11","15,274.67","14,933.68","6,116,489","151,280,516,343","44,578,956,041,195",보험
54,2023/01/26,"15,012.61",2,-70.06,-0.46,"15,091.90","15,238.17","14,948.86","5,222,573","87,049,748,019","44,080,494,440,610",보험
55,2023/01/25,"15,082.67",2,-89.29,-0.59,"15,125.85","15,211.24","15,003.03","3,162,026","65,818,085,750","44,283,626,458,645",보험
56,2023/01/20,"15,171.96",2,-151.60,-0.99,"15,272.05","15,470.69","15,120.36","3,800,349","64,431,985,055","44,548,632,475,805",보험
57,2023/01/19,"15,323.56",1,219.17,1.45,"15,023.60","15,388.64","15,023.60","4,478,809","112,001,294,550","44,992,153,298,935",보험
58,2023/01/18,"15,104.39",1,89.14,0.59,"15,060.56","15,104.39","14,907.14","3,496,175","83,805,508,400","44,352,795,841,325",보험
59,2023/01/17,"15,015.25",1,210.02,1.42,"14,778.33","15,079.09","14,752.67","5,613,337","102,423,403,760","44,096,631,265,005",보험
60,2023/01/16,"14,805.23",1,39.92,0.27,"14,634.94","14,915.05","14,634.94","6,456,016","75,915,587,795","43,485,357,127,055",보험
61,2023/01/13,"14,765.31",1,155.82,1.07,"14,734.72","14,841.94","14,569.37","4,604,777","102,017,721,050","43,369,427,252,135",보험
62,2023/01/12,"14,609.49",1,134.91,0.93,"14,494.92","14,745.67","14,494.92","3,160,438","68,833,818,125","42,915,318,505,725",보험
63,2023/01/11,"14,474.58",2,-70.02,-0.48,"14,576.00","14,616.94","14,364.29","3,080,680","53,728,631,730","42,520,546,857,070",보험
64,2023/01/10,"14,544.60",2,-55.15,-0.38,"14,600.03","14,645.42","14,419.23","5,062,373","75,624,672,020","42,723,791,354,170",보험
65,2023/01/09,"14,599.75",2,-90.04,-0.61,"14,749.53","14,811.37","14,498.57","5,431,182","85,435,222,565","42,883,964,046,880",보험
66,2023/01/06,"14,689.79",1,260.43,1.80,"14,340.65","14,712.63","14,306.45","4,826,843","82,669,979,595","43,146,773,221,560",보험
67,2023/01/05,"14,429.36",1,33.82,0.23,"14,275.21","14,545.90","14,275.21","8,833,099","86,434,444,085","42,382,772,849,960",보험
68,2023/01/04,"14,395.54",1,287.04,2.03,"14,054.74","14,408.27","13,974.10","4,512,758","61,502,241,425","42,281,437,746,730",보험
69,2023/01/03,"14,108.50",2,-159.85,-1.12,"14,360.02","14,360.02","13,936.44","3,845,384","60,981,961,785","41,442,892,310,105",보험
70,2023/01/02,"14,268.35",2,-306.74,-2.10,"14,608.55","14,618.14","14,263.92","4,051,835","52,351,825,655","41,907,054,162,930",보험
71,2022/12/29,"14,575.09",2,-189.27,-1.28,"14,605.77","14,710.53","14,532.64","6,755,724","76,292,717,180","42,808,735,973,250",보험
72,2022/12/28,"14,764.36",2,-194.72,-1.30,"14,517.14","14,839.57","14,329.79","7,284,241","114,068,738,355","43,360,005,894,385",보험
73,2022/12/27,"14,959.08",2,-91.67,-0.61,"15,123.91","15,133.97","14,912.02","19,003,027","155,511,010,093","43,801,691,974,015",보험
74,2022/12/26,"15,050.75",2,-51.12,-0.34,"15,054.58","15,115.92","14,982.94","3,927,206","67,528,020,800","44,072,142,997,870",보험
75,2022/12/23,"15,101.87",2,-97.62,-0.64,"15,151.43","15,227.45","15,034.18","4,222,658","62,982,635,360","44,224,188,022,115",보험
76,2022/12/22,"15,199.49",1,200.29,1.34,"14,954.59","15,199.49","14,926.29","3,462,746","70,101,813,977","44,511,847,504,195",보험
77,2022/12/21,"14,999.20",1,109.86,0.74,"14,921.41","15,026.22","14,776.13","2,030,173","49,707,240,150","43,927,738,872,975",보험
78,2022/12/20,"14,889.34",1,60.37,0.41,"14,834.56","14,914.80","14,790.34","2,794,146","56,857,854,600","43,615,397,645,250",보험
79,2022/12/19,"14,828.97",1,59.89,0.41,"14,662.88","14,859.07","14,649.31","2,869,507","74,461,315,018","43,441,230,543,830",보험
80,2022/12/16,"14,769.08",1,107.91,0.74,"14,606.05","14,807.05","14,573.08","3,523,231","94,623,135,040","43,265,316,031,085",보험
