,date,Á¾°¡,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,°í°¡,Àú°¡,°Å·¡·®,°Å·¡´ë±Ý,»óÀå½Ã°¡ÃÑ¾×,index_name
0,2023/04/13,"3,826.35",2,-10.50,-0.27,"3,764.98","3,826.35","3,649.97","15,534,808","445,359,470,508","32,683,786,817,731",ºñ±Ý¼Ó±¤¹°
1,2023/04/12,"3,836.85",2,-53.38,-1.37,"3,916.37","4,002.28","3,834.65","12,731,211","470,036,391,385","32,773,570,113,317",ºñ±Ý¼Ó±¤¹°
2,2023/04/11,"3,890.23",1,55.75,1.45,"3,859.43","3,956.69","3,783.90","15,347,497","493,663,178,263","33,229,018,490,005",ºñ±Ý¼Ó±¤¹°
3,2023/04/10,"3,834.48",1,60.72,1.61,"3,795.67","3,909.27","3,777.91","45,401,807","764,700,894,574","32,753,005,315,036",ºñ±Ý¼Ó±¤¹°
4,2023/04/07,"3,773.76",1,19.27,0.51,"3,741.10","3,784.34","3,703.73","29,442,202","457,117,565,548","32,236,000,740,677",ºñ±Ý¼Ó±¤¹°
5,2023/04/06,"3,754.49",1,11.62,0.31,"3,702.56","3,773.70","3,697.52","96,971,019","775,530,322,379","32,075,095,935,718",ºñ±Ý¼Ó±¤¹°
6,2023/04/05,"3,742.87",1,65.90,1.79,"3,693.06","3,756.97","3,628.21","18,128,165","412,135,310,607","31,975,657,684,190",ºñ±Ý¼Ó±¤¹°
7,2023/04/04,"3,676.97",2,-34.10,-0.92,"3,721.56","3,827.68","3,659.62","39,116,488","782,959,033,811","31,409,466,465,231",ºñ±Ý¼Ó±¤¹°
8,2023/04/03,"3,711.07",1,159.60,4.49,"3,611.56","3,756.51","3,587.71","30,086,314","750,381,155,652","31,700,740,287,273",ºñ±Ý¼Ó±¤¹°
9,2023/03/31,"3,551.47",1,119.25,3.47,"3,400.95","3,620.09","3,382.68","10,686,430","587,613,271,939","30,336,065,191,275",ºñ±Ý¼Ó±¤¹°
10,2023/03/30,"3,432.22",2,-29.62,-0.86,"3,463.60","3,463.60","3,396.61","18,832,580","403,543,637,666","29,318,538,510,917",ºñ±Ý¼Ó±¤¹°
11,2023/03/29,"3,461.84",1,9.65,0.28,"3,443.40","3,491.30","3,433.33","21,087,040","282,716,306,763","29,570,600,203,170",ºñ±Ý¼Ó±¤¹°
12,2023/03/28,"3,452.19",1,19.43,0.57,"3,446.46","3,454.00","3,359.10","21,766,949","369,967,239,982","29,487,946,373,603",ºñ±Ý¼Ó±¤¹°
13,2023/03/27,"3,432.76",1,35.97,1.06,"3,448.35","3,546.12","3,419.00","18,825,747","564,612,112,414","29,321,836,946,822",ºñ±Ý¼Ó±¤¹°
14,2023/03/24,"3,396.79",1,12.42,0.37,"3,427.45","3,427.45","3,290.88","11,719,819","412,445,223,491","29,014,870,525,978",ºñ±Ý¼Ó±¤¹°
15,2023/03/23,"3,384.37",1,54.55,1.64,"3,293.91","3,453.78","3,293.91","16,078,453","588,025,143,940","28,908,897,970,101",ºñ±Ý¼Ó±¤¹°
16,2023/03/22,"3,329.82",1,43.65,1.33,"3,334.62","3,368.91","3,310.30","4,120,648","242,253,512,677","28,443,327,289,738",ºñ±Ý¼Ó±¤¹°
17,2023/03/21,"3,286.17",1,36.89,1.14,"3,280.19","3,398.16","3,264.86","4,545,634","312,070,133,010","28,070,794,051,250",ºñ±Ý¼Ó±¤¹°
18,2023/03/20,"3,249.28",2,-52.00,-1.58,"3,259.22","3,310.81","3,233.58","3,924,538","224,448,455,869","27,755,978,276,998",ºñ±Ý¼Ó±¤¹°
19,2023/03/17,"3,301.28",2,-147.34,-4.27,"3,433.36","3,468.78","3,299.08","6,058,127","435,095,695,364","28,199,976,698,220",ºñ±Ý¼Ó±¤¹°
20,2023/03/16,"3,448.62",1,252.59,7.90,"3,244.74","3,494.93","3,225.12","6,760,834","1,009,285,836,956","29,457,195,377,816",ºñ±Ý¼Ó±¤¹°
21,2023/03/15,"3,196.03",1,43.20,1.37,"3,219.47","3,245.85","3,172.74","5,107,988","259,453,563,591","27,301,011,421,222",ºñ±Ý¼Ó±¤¹°
22,2023/03/14,"3,152.83",2,-107.18,-3.29,"3,249.51","3,266.92","3,129.85","6,067,927","270,350,540,461","26,932,092,192,194",ºñ±Ý¼Ó±¤¹°
23,2023/03/13,"3,260.01",1,3.00,0.09,"3,230.10","3,265.44","3,183.32","5,633,305","270,137,793,233","27,847,522,375,578",ºñ±Ý¼Ó±¤¹°
24,2023/03/10,"3,257.01",2,-61.59,-1.86,"3,245.31","3,320.86","3,226.09","8,557,108","291,968,497,709","27,821,855,251,854",ºñ±Ý¼Ó±¤¹°
25,2023/03/09,"3,318.60",2,-96.88,-2.84,"3,395.05","3,398.20","3,204.47","10,792,114","659,560,667,432","28,347,760,643,804",ºñ±Ý¼Ó±¤¹°
26,2023/03/08,"3,415.48",1,12.34,0.36,"3,382.56","3,438.86","3,346.80","18,372,605","573,491,471,247","29,174,803,197,839",ºñ±Ý¼Ó±¤¹°
27,2023/03/07,"3,403.14",1,236.18,7.46,"3,136.01","3,480.64","3,132.11","13,060,598","1,221,065,492,178","29,069,446,681,783",ºñ±Ý¼Ó±¤¹°
28,2023/03/06,"3,166.96",1,43.46,1.39,"3,182.63","3,207.89","3,113.22","8,112,026","394,963,182,860","27,053,450,973,507",ºñ±Ý¼Ó±¤¹°
29,2023/03/03,"3,123.50",1,101.83,3.37,"3,042.05","3,142.33","3,022.79","10,266,907","433,836,117,150","26,682,270,694,130",ºñ±Ý¼Ó±¤¹°
30,2023/03/02,"3,021.67",2,-20.40,-0.67,"3,049.92","3,079.79","3,018.25","8,604,800","359,117,283,332","25,813,014,030,962",ºñ±Ý¼Ó±¤¹°
31,2023/02/28,"3,042.07",1,18.19,0.60,"3,057.07","3,096.74","3,027.26","5,075,591","308,559,240,936","25,987,151,260,464",ºñ±Ý¼Ó±¤¹°
32,2023/02/27,"3,023.88",1,34.52,1.15,"2,964.20","3,031.68","2,946.50","4,898,478","197,987,133,403","25,831,556,607,577",ºñ±Ý¼Ó±¤¹°
33,2023/02/24,"2,989.36",2,-27.53,-0.91,"3,022.87","3,038.47","2,982.26","5,736,127","186,633,377,462","25,537,467,172,983",ºñ±Ý¼Ó±¤¹°
34,2023/02/23,"3,016.89",2,-19.31,-0.64,"3,050.32","3,052.96","2,962.97","6,446,450","233,261,689,404","25,772,826,604,404",ºñ±Ý¼Ó±¤¹°
35,2023/02/22,"3,036.20",2,-66.42,-2.14,"3,050.91","3,098.57","3,002.24","9,056,603","284,956,467,291","25,937,646,538,573",ºñ±Ý¼Ó±¤¹°
36,2023/02/21,"3,102.62",1,76.31,2.52,"3,035.76","3,121.53","3,029.28","11,389,485","336,089,117,739","26,504,794,310,789",ºñ±Ý¼Ó±¤¹°
37,2023/02/20,"3,026.31",2,-53.16,-1.73,"3,071.29","3,071.29","2,997.59","15,951,454","529,920,672,813","25,853,122,049,733",ºñ±Ý¼Ó±¤¹°
38,2023/02/17,"3,079.47",2,-49.84,-1.59,"3,091.69","3,154.60","3,046.73","87,860,276","817,845,262,890","26,306,991,134,441",ºñ±Ý¼Ó±¤¹°
39,2023/02/16,"3,129.31",1,52.80,1.72,"3,109.67","3,145.48","3,077.19","5,201,811","246,735,340,763","26,732,536,218,929",ºñ±Ý¼Ó±¤¹°
40,2023/02/15,"3,076.51",2,-7.37,-0.24,"3,103.77","3,139.69","3,064.92","4,806,913","323,872,965,789","26,281,740,920,576",ºñ±Ý¼Ó±¤¹°
41,2023/02/14,"3,083.88",1,4.54,0.15,"3,099.16","3,114.18","3,040.62","6,430,287","200,138,888,809","26,344,893,201,933",ºñ±Ý¼Ó±¤¹°
42,2023/02/13,"3,079.34",1,0.21,0.01,"3,055.38","3,127.89","3,047.37","8,893,504","281,092,394,340","26,306,248,512,196",ºñ±Ý¼Ó±¤¹°
43,2023/02/10,"3,079.13",2,-131.69,-4.10,"3,196.26","3,216.79","3,079.13","5,545,414","395,789,173,269","26,304,421,193,558",ºñ±Ý¼Ó±¤¹°
44,2023/02/09,"3,210.82",1,159.78,5.24,"3,043.49","3,212.33","3,030.95","7,624,401","566,850,082,150","27,428,452,043,966",ºñ±Ý¼Ó±¤¹°
45,2023/02/08,"3,051.04",2,-17.75,-0.58,"3,085.87","3,088.58","3,038.49","5,658,946","190,475,240,416","26,064,346,700,944",ºñ±Ý¼Ó±¤¹°
46,2023/02/07,"3,068.79",1,17.27,0.57,"3,041.54","3,095.89","3,023.51","5,122,882","215,944,568,218","26,215,826,886,973",ºñ±Ý¼Ó±¤¹°
47,2023/02/06,"3,051.52",2,-15.81,-0.52,"3,047.15","3,087.12","3,037.57","15,772,560","249,570,604,779","26,068,316,748,041",ºñ±Ý¼Ó±¤¹°
48,2023/02/03,"3,067.33",1,34.03,1.12,"3,039.05","3,105.31","2,995.54","4,893,699","276,101,605,802","26,203,340,799,165",ºñ±Ý¼Ó±¤¹°
49,2023/02/02,"3,033.30",1,4.28,0.14,"3,065.53","3,083.02","3,008.91","3,568,105","218,997,711,683","25,912,775,715,157",ºñ±Ý¼Ó±¤¹°
50,2023/02/01,"3,029.02",2,-4.90,-0.16,"3,041.60","3,099.29","2,991.26","4,601,214","361,378,591,375","25,876,224,511,269",ºñ±Ý¼Ó±¤¹°
51,2023/01/31,"3,033.92",1,61.18,2.06,"3,077.29","3,130.13","3,009.76","6,381,417","791,382,393,501","25,918,016,924,830",ºñ±Ý¼Ó±¤¹°
52,2023/01/30,"2,972.74",1,47.58,1.63,"2,974.46","2,995.82","2,928.61","5,113,653","361,646,809,028","25,396,114,185,889",ºñ±Ý¼Ó±¤¹°
53,2023/01/27,"2,925.16",1,28.15,0.97,"2,912.79","2,965.41","2,876.67","5,605,367","436,647,173,772","24,989,473,933,381",ºñ±Ý¼Ó±¤¹°
54,2023/01/26,"2,897.01",1,243.18,9.16,"2,659.98","2,901.84","2,653.95","8,554,381","516,688,104,524","24,749,153,474,995",ºñ±Ý¼Ó±¤¹°
55,2023/01/25,"2,653.83",2,-6.72,-0.25,"2,671.88","2,679.90","2,632.40","4,462,195","160,630,306,151","22,673,138,809,412",ºñ±Ý¼Ó±¤¹°
56,2023/01/20,"2,660.55",1,9.49,0.36,"2,628.18","2,669.16","2,605.96","5,286,625","120,877,474,286","22,730,729,279,447",ºñ±Ý¼Ó±¤¹°
57,2023/01/19,"2,651.06",2,-83.73,-3.06,"2,709.11","2,723.84","2,643.64","11,327,684","203,885,662,594","22,649,469,885,374",ºñ±Ý¼Ó±¤¹°
58,2023/01/18,"2,734.79",2,-44.11,-1.59,"2,786.63","2,786.81","2,719.78","7,372,710","139,103,458,593","23,364,334,310,981",ºñ±Ý¼Ó±¤¹°
59,2023/01/17,"2,778.90",1,9.75,0.35,"2,783.23","2,807.04","2,751.08","7,623,816","165,055,479,314","23,740,859,851,275",ºñ±Ý¼Ó±¤¹°
60,2023/01/16,"2,769.15",1,41.97,1.54,"2,728.64","2,792.52","2,728.64","13,176,291","179,965,506,905","23,657,869,689,616",ºñ±Ý¼Ó±¤¹°
61,2023/01/13,"2,727.18",2,-0.89,-0.03,"2,740.96","2,746.87","2,721.28","7,241,092","131,694,153,305","23,299,520,765,743",ºñ±Ý¼Ó±¤¹°
62,2023/01/12,"2,728.07",2,-2.91,-0.11,"2,749.28","2,761.20","2,711.26","14,385,548","256,492,596,866","23,307,312,625,918",ºñ±Ý¼Ó±¤¹°
63,2023/01/11,"2,730.98",1,52.95,1.98,"2,692.73","2,736.45","2,679.41","3,030,193","129,571,498,339","23,331,689,042,133",ºñ±Ý¼Ó±¤¹°
64,2023/01/10,"2,678.03",2,-14.30,-0.53,"2,706.68","2,759.46","2,666.41","4,070,145","202,425,232,894","22,879,516,825,277",ºñ±Ý¼Ó±¤¹°
65,2023/01/09,"2,692.33",1,32.01,1.20,"2,693.33","2,701.71","2,652.97","3,604,146","127,509,092,498","23,001,658,349,525",ºñ±Ý¼Ó±¤¹°
