,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,182.55",1,10.50,0.90,"1,169.06","1,182.55","1,168.48","27,441,903","762,011,978,185","163,720,569,525,740",서비스업
1,2023/04/12,"1,172.05",1,4.61,0.39,"1,165.53","1,172.53","1,161.84","25,536,178","710,144,109,185","162,265,655,453,041",서비스업
2,2023/04/11,"1,167.44",1,22.07,1.93,"1,146.92","1,167.52","1,142.49","36,175,281","814,277,354,721","161,628,765,485,506",서비스업
3,2023/04/10,"1,145.37",2,-4.78,-0.42,"1,147.42","1,147.70","1,136.28","186,139,055","1,122,476,154,048","158,572,446,225,407",서비스업
4,2023/04/07,"1,150.15",1,4.86,0.42,"1,146.23","1,154.19","1,143.58","129,942,925","884,866,257,603","158,859,878,988,184",서비스업
5,2023/04/06,"1,145.29",2,-18.21,-1.57,"1,158.63","1,158.64","1,144.66","113,967,064","1,139,665,986,250","158,182,586,735,771",서비스업
6,2023/04/05,"1,163.50",2,-7.05,-0.60,"1,169.03","1,175.10","1,161.49","38,548,475","507,994,511,579","160,695,061,144,929",서비스업
7,2023/04/04,"1,170.55",1,18.98,1.65,"1,154.91","1,170.55","1,153.04","72,163,595","620,879,939,891","161,668,509,671,921",서비스업
8,2023/04/03,"1,151.57",2,-10.41,-0.90,"1,166.65","1,166.85","1,149.94","106,475,840","749,955,833,411","159,045,129,724,647",서비스업
9,2023/03/31,"1,161.98",1,11.23,0.98,"1,155.42","1,164.37","1,150.44","105,620,232","1,098,269,146,615","160,485,325,332,416",서비스업
10,2023/03/30,"1,150.75",2,-0.01,0.00,"1,152.55","1,154.07","1,144.85","31,822,269","617,325,997,792","158,933,077,795,789",서비스업
11,2023/03/29,"1,150.76",1,0.99,0.09,"1,150.21","1,155.11","1,143.78","36,265,428","499,739,031,331","158,932,114,824,250",서비스업
12,2023/03/28,"1,149.77",1,8.08,0.71,"1,142.13","1,149.79","1,136.96","37,772,824","581,208,130,063","158,797,655,304,361",서비스업
13,2023/03/27,"1,141.69",2,-9.79,-0.85,"1,152.37","1,152.72","1,132.40","63,751,851","547,347,203,124","157,681,123,681,795",서비스업
14,2023/03/24,"1,151.48",2,-4.78,-0.41,"1,153.89","1,156.80","1,145.41","39,783,038","501,988,529,232","158,708,634,951,010",서비스업
15,2023/03/23,"1,156.26",2,-12.37,-1.06,"1,158.14","1,160.75","1,150.28","33,118,091","558,237,677,133","159,366,017,450,144",서비스업
16,2023/03/22,"1,168.63",1,17.34,1.51,"1,162.68","1,169.73","1,158.17","34,220,782","675,884,055,776","161,071,562,663,749",서비스업
17,2023/03/21,"1,151.29",1,7.14,0.62,"1,157.49","1,159.21","1,148.07","30,917,570","608,538,027,802","158,680,540,712,375",서비스업
18,2023/03/20,"1,144.15",1,6.56,0.58,"1,141.41","1,156.25","1,141.09","25,947,942","580,920,897,386","157,696,347,822,259",서비스업
19,2023/03/17,"1,137.59",1,15.56,1.39,"1,136.81","1,140.00","1,129.72","40,294,818","725,385,496,473","156,789,967,254,394",서비스업
20,2023/03/16,"1,122.03",1,0.12,0.01,"1,114.92","1,127.74","1,103.79","30,936,588","640,474,949,585","154,581,195,610,433",서비스업
21,2023/03/15,"1,121.91",1,3.53,0.32,"1,133.95","1,135.61","1,117.71","42,916,168","745,452,818,221","154,569,141,481,806",서비스업
22,2023/03/14,"1,118.38",2,-33.44,-2.90,"1,143.15","1,146.20","1,117.71","38,322,667","820,056,154,448","154,084,396,536,020",서비스업
23,2023/03/13,"1,151.82",1,11.74,1.03,"1,150.51","1,154.74","1,127.49","45,536,757","1,117,780,767,992","158,690,944,346,759",서비스업
24,2023/03/10,"1,140.08",2,-14.93,-1.29,"1,141.70","1,145.36","1,134.79","53,504,349","808,846,134,430","157,075,782,784,646",서비스업
25,2023/03/09,"1,155.01",1,2.37,0.21,"1,160.01","1,166.06","1,153.22","51,505,515","1,093,152,942,419","159,128,165,369,863",서비스업
26,2023/03/08,"1,152.64",2,-28.00,-2.37,"1,168.76","1,169.24","1,150.68","53,145,550","1,036,039,278,308","158,801,642,295,752",서비스업
27,2023/03/07,"1,180.64",2,-19.47,-1.62,"1,191.81","1,192.76","1,180.61","60,393,594","767,307,463,360","162,517,176,472,961",서비스업
28,2023/03/06,"1,200.11",1,25.70,2.19,"1,187.28","1,200.55","1,184.17","50,398,241","825,538,817,783","165,196,262,094,748",서비스업
29,2023/03/03,"1,174.41",2,-4.22,-0.36,"1,184.88","1,189.09","1,173.93","38,526,745","577,610,304,705","161,658,450,410,562",서비스업
30,2023/03/02,"1,178.63",2,-6.52,-0.55,"1,182.30","1,189.42","1,171.33","56,891,862","813,880,381,791","162,237,267,757,986",서비스업
31,2023/02/28,"1,185.15",1,4.66,0.39,"1,186.50","1,196.79","1,183.46","157,427,185","1,218,507,733,154","163,134,311,462,335",서비스업
32,2023/02/27,"1,180.49",2,-4.37,-0.37,"1,174.30","1,181.59","1,167.86","93,914,943","769,911,346,787","162,492,145,302,932",서비스업
33,2023/02/24,"1,184.86",2,-16.79,-1.40,"1,199.79","1,203.08","1,182.08","48,822,903","681,232,760,916","163,094,365,369,808",서비스업
34,2023/02/23,"1,201.65",1,11.36,0.95,"1,198.83","1,206.04","1,194.59","83,638,393","838,732,835,661","165,404,538,977,427",서비스업
35,2023/02/22,"1,190.29",2,-17.30,-1.43,"1,192.24","1,196.81","1,186.79","50,399,827","811,926,247,280","163,840,643,496,712",서비스업
36,2023/02/21,"1,207.59",2,-7.42,-0.61,"1,217.79","1,218.18","1,203.97","88,836,500","861,726,923,646","166,215,677,353,601",서비스업
37,2023/02/20,"1,215.01",1,16.46,1.37,"1,200.34","1,218.52","1,195.46","65,095,049","697,341,299,252","167,237,393,069,898",서비스업
38,2023/02/17,"1,198.55",2,-18.93,-1.55,"1,197.72","1,210.92","1,192.92","102,436,325","773,166,748,948","164,974,275,150,399",서비스업
39,2023/02/16,"1,217.48",1,19.33,1.61,"1,207.57","1,223.50","1,207.43","44,557,714","887,511,344,453","167,580,074,908,073",서비스업
40,2023/02/15,"1,198.15",2,-28.24,-2.30,"1,224.49","1,224.63","1,195.29","45,168,109","1,011,250,727,837","164,921,419,661,643",서비스업
41,2023/02/14,"1,226.39",1,12.41,1.02,"1,226.25","1,232.14","1,221.02","47,702,053","854,025,536,832","168,805,788,226,040",서비스업
42,2023/02/13,"1,213.98",2,-29.45,-2.37,"1,237.20","1,237.20","1,210.76","115,705,086","1,237,690,828,935","167,100,465,877,342",서비스업
43,2023/02/10,"1,243.43",2,-21.85,-1.73,"1,259.25","1,261.77","1,234.37","208,603,072","1,873,148,911,868","171,148,753,674,746",서비스업
44,2023/02/09,"1,265.28",2,-2.86,-0.23,"1,253.23","1,267.78","1,242.99","137,904,047","1,456,124,266,177","174,150,576,637,226",서비스업
45,2023/02/08,"1,268.14",1,30.60,2.47,"1,252.59","1,271.37","1,252.02","87,922,297","1,444,376,991,728","174,541,006,650,392",서비스업
46,2023/02/07,"1,237.54",1,16.69,1.37,"1,222.21","1,238.10","1,217.74","84,682,629","952,690,994,302","170,330,082,258,447",서비스업
47,2023/02/06,"1,220.85",2,-26.87,-2.15,"1,237.60","1,241.71","1,220.72","133,095,749","947,797,625,289","168,032,352,853,243",서비스업
48,2023/02/03,"1,247.72",1,30.50,2.51,"1,219.85","1,248.92","1,215.64","77,351,894","1,426,067,326,199","171,728,994,833,557",서비스업
49,2023/02/02,"1,217.22",1,15.40,1.28,"1,223.15","1,227.25","1,214.82","84,104,169","952,020,078,732","167,533,952,010,481",서비스업
50,2023/02/01,"1,201.82",1,8.45,0.71,"1,199.91","1,208.55","1,193.91","216,407,746","965,260,367,195","165,406,220,446,471",서비스업
51,2023/01/31,"1,193.37",2,-11.60,-0.96,"1,200.22","1,209.42","1,191.34","230,013,115","1,217,991,427,502","164,241,928,053,714",서비스업
52,2023/01/30,"1,204.97",2,-17.53,-1.43,"1,223.18","1,227.78","1,203.07","115,661,084","953,611,159,380","165,837,630,342,653",서비스업
53,2023/01/27,"1,222.50",1,17.29,1.43,"1,209.47","1,225.46","1,201.24","98,322,586","958,995,859,463","168,248,419,361,588",서비스업
54,2023/01/26,"1,205.21",1,14.42,1.21,"1,193.57","1,205.21","1,183.95","58,325,629","788,270,251,014","165,841,360,377,434",서비스업
55,2023/01/25,"1,190.79",1,20.20,1.73,"1,184.80","1,192.62","1,180.79","57,704,208","767,599,500,786","163,857,928,068,479",서비스업
56,2023/01/20,"1,170.59",2,-0.43,-0.04,"1,167.20","1,178.91","1,164.23","47,004,346","630,268,054,427","161,079,093,085,142",서비스업
57,2023/01/19,"1,171.02",1,2.71,0.23,"1,160.57","1,172.33","1,157.80","40,091,754","573,877,023,963","161,138,639,066,560",서비스업
58,2023/01/18,"1,168.31",1,3.50,0.30,"1,166.32","1,174.43","1,162.24","46,142,212","595,030,987,685","160,767,055,055,595",서비스업
59,2023/01/17,"1,164.81",2,-25.24,-2.12,"1,186.95","1,188.08","1,163.30","21,010,802","704,794,427,741","160,284,417,718,391",서비스업
60,2023/01/16,"1,190.05",1,20.44,1.75,"1,174.57","1,195.29","1,171.88","29,148,118","779,106,589,791","163,756,034,613,588",서비스업
61,2023/01/13,"1,169.61",1,11.84,1.02,"1,168.03","1,180.97","1,167.76","21,086,034","671,810,828,318","160,943,406,673,194",서비스업
62,2023/01/12,"1,157.77",2,-4.27,-0.37,"1,173.16","1,175.20","1,157.45","25,762,356","761,467,095,752","159,313,765,494,704",서비스업
63,2023/01/11,"1,162.04",1,6.24,0.54,"1,166.10","1,174.45","1,156.87","23,413,340","763,117,065,140","159,898,020,225,116",서비스업
