,date,¡æ∞°,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,∞Ì∞°,¿˙∞°,∞≈∑°∑Æ,∞≈∑°¥Î±›,ªÛ¿ÂΩ√∞°√—æ◊,index_name
0,2023/04/13,409.57,1,1.65,0.40,407.31,411.18,402.92,"37,176,534","50,178,473,688","9,741,020,788,316",º∂¿Ø¿«∫π
1,2023/04/12,407.92,2,-1.43,-0.35,408.44,410.08,404.88,"5,446,311","25,711,444,194","9,701,333,382,781",º∂¿Ø¿«∫π
2,2023/04/11,409.35,1,9.75,2.44,401.70,412.05,401.70,"7,415,251","66,757,422,560","9,735,118,684,989",º∂¿Ø¿«∫π
3,2023/04/10,399.60,1,1.43,0.36,397.39,401.77,395.30,"6,241,956","32,868,554,562","9,503,817,880,120",º∂¿Ø¿«∫π
4,2023/04/07,398.17,1,0.51,0.13,396.92,399.87,395.78,"4,463,451","23,161,974,115","9,470,197,331,347",º∂¿Ø¿«∫π
5,2023/04/06,397.66,2,-8.83,-2.17,404.94,404.94,396.05,"6,248,382","35,576,507,012","9,458,332,678,273",º∂¿Ø¿«∫π
6,2023/04/05,406.49,2,-5.09,-1.24,412.99,413.05,405.54,"5,671,470","33,140,006,118","9,667,521,869,712",º∂¿Ø¿«∫π
7,2023/04/04,411.58,1,5.43,1.34,410.08,413.33,403.08,"11,437,899","39,723,070,437","9,788,088,024,409",º∂¿Ø¿«∫π
8,2023/04/03,406.15,1,3.85,0.96,400.54,408.20,400.45,"9,079,561","35,575,106,903","9,659,265,467,920",º∂¿Ø¿«∫π
9,2023/03/31,402.30,1,2.51,0.63,400.80,404.51,398.22,"7,492,200","27,648,445,292","9,568,011,588,351",º∂¿Ø¿«∫π
10,2023/03/30,399.79,1,2.49,0.63,392.01,400.85,391.24,"7,170,572","40,311,997,007","9,508,391,333,809",º∂¿Ø¿«∫π
11,2023/03/29,397.30,2,-1.73,-0.43,400.77,402.12,397.25,"4,545,547","21,771,069,513","9,449,683,405,958",º∂¿Ø¿«∫π
12,2023/03/28,399.03,1,6.77,1.73,393.27,400.87,393.27,"4,499,694","27,050,219,328","9,490,924,115,417",º∂¿Ø¿«∫π
13,2023/03/27,392.26,1,2.21,0.57,390.28,392.93,384.03,"5,977,093","29,132,178,678","9,330,394,949,763",º∂¿Ø¿«∫π
14,2023/03/24,390.05,1,4.71,1.22,384.23,393.68,383.02,"4,636,056","24,801,253,537","9,279,375,250,565",º∂¿Ø¿«∫π
15,2023/03/23,385.34,2,-2.56,-0.66,385.40,388.12,384.17,"10,212,627","29,884,025,575","9,168,201,939,225",º∂¿Ø¿«∫π
16,2023/03/22,387.90,2,-2.39,-0.61,390.81,391.80,386.09,"5,183,593","23,397,599,674","9,227,845,810,281",º∂¿Ø¿«∫π
17,2023/03/21,390.29,1,3.21,0.83,389.72,392.26,387.00,"2,736,682","19,484,704,407","9,285,071,649,399",º∂¿Ø¿«∫π
18,2023/03/20,387.08,1,2.37,0.62,386.72,394.33,385.27,"3,353,488","27,959,648,722","9,219,235,167,528",º∂¿Ø¿«∫π
