,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,657.90",1,10.96,0.67,"1,640.81","1,673.56","1,640.18","15,166,368","174,067,611,680","39,862,908,590,610",운수창고업
1,2023/04/12,"1,646.94",1,13.06,0.80,"1,641.72","1,649.20","1,633.02","9,847,393","129,547,550,915","39,600,191,807,113",운수창고업
2,2023/04/11,"1,633.88",1,22.84,1.42,"1,617.85","1,636.89","1,612.73","10,436,637","111,788,950,821","39,286,153,960,459",운수창고업
3,2023/04/10,"1,611.04",2,-4.79,-0.30,"1,614.33","1,627.03","1,605.34","11,184,913","106,478,311,825","38,738,049,240,134",운수창고업
4,2023/04/07,"1,615.83",2,-2.56,-0.16,"1,618.01","1,624.26","1,613.38","8,490,015","92,289,876,474","38,854,734,143,477",운수창고업
5,2023/04/06,"1,618.39",2,-29.55,-1.79,"1,646.74","1,646.74","1,618.39","9,961,920","109,494,562,919","38,915,360,533,422",운수창고업
6,2023/04/05,"1,647.94",2,-4.84,-0.29,"1,657.88","1,667.09","1,647.91","9,084,858","99,111,972,779","39,625,124,577,447",운수창고업
7,2023/04/04,"1,652.78",1,2.11,0.13,"1,650.44","1,656.00","1,642.49","9,666,112","99,490,851,266","39,741,501,969,408",운수창고업
8,2023/04/03,"1,650.67",2,-13.30,-0.80,"1,662.51","1,667.18","1,648.55","10,046,666","109,858,643,730","39,691,064,113,735",운수창고업
9,2023/03/31,"1,663.97",1,1.67,0.10,"1,664.67","1,677.87","1,652.31","10,550,611","135,306,408,016","40,010,474,859,477",운수창고업
10,2023/03/30,"1,662.30",1,16.40,1.00,"1,652.73","1,668.83","1,645.63","13,405,183","132,759,957,249","39,970,282,654,834",운수창고업
11,2023/03/29,"1,645.90",1,13.36,0.82,"1,637.06","1,653.63","1,637.06","17,447,689","156,746,382,691","39,575,953,412,345",운수창고업
12,2023/03/28,"1,632.54",1,28.49,1.78,"1,611.10","1,632.54","1,611.10","10,633,179","98,151,598,183","39,254,391,018,696",운수창고업
13,2023/03/27,"1,604.05",2,-18.66,-1.15,"1,624.86","1,624.86","1,595.97","8,567,740","95,636,689,800","38,570,380,775,689",운수창고업
14,2023/03/24,"1,622.71",1,0.58,0.04,"1,616.32","1,623.36","1,608.58","7,762,352","93,766,048,656","39,018,010,046,221",운수창고업
15,2023/03/23,"1,622.13",2,-0.75,-0.05,"1,618.22","1,631.54","1,608.42","10,168,927","106,177,076,313","39,005,345,615,244",운수창고업
16,2023/03/22,"1,622.88",2,-7.98,-0.49,"1,641.80","1,641.80","1,620.82","8,385,012","80,904,646,050","39,025,113,426,341",운수창고업
17,2023/03/21,"1,630.86",1,11.57,0.71,"1,631.30","1,637.49","1,624.92","7,351,104","80,340,974,268","39,218,177,476,541",운수창고업
18,2023/03/20,"1,619.29",2,-11.01,-0.68,"1,632.50","1,644.40","1,619.12","9,051,516","71,491,088,459","38,941,060,184,917",운수창고업
19,2023/03/17,"1,630.30",1,22.20,1.38,"1,619.19","1,630.38","1,603.79","10,831,273","136,223,060,607","39,205,973,586,715",운수창고업
20,2023/03/16,"1,608.10",2,-6.03,-0.37,"1,596.65","1,610.49","1,582.68","10,717,625","112,456,980,446","38,673,454,650,716",운수창고업
21,2023/03/15,"1,614.13",1,2.08,0.13,"1,635.26","1,642.11","1,608.64","9,114,571","106,765,657,612","38,818,242,820,897",운수창고업
22,2023/03/14,"1,612.05",2,-44.13,-2.66,"1,643.59","1,643.59","1,612.05","12,919,601","143,742,783,517","38,767,183,754,854",운수창고업
23,2023/03/13,"1,656.18",1,1.14,0.07,"1,651.36","1,663.77","1,631.23","11,670,024","120,886,504,381","39,828,472,681,988",운수창고업
24,2023/03/10,"1,655.04",2,-23.60,-1.41,"1,659.96","1,662.48","1,647.33","9,910,277","113,535,495,528","39,801,752,643,275",운수창고업
25,2023/03/09,"1,678.64",2,-10.75,-0.64,"1,694.79","1,699.03","1,677.89","11,095,963","156,856,502,811","40,370,900,401,575",운수창고업
26,2023/03/08,"1,689.39",2,-12.98,-0.76,"1,686.17","1,693.72","1,675.71","13,602,568","172,583,830,045","40,627,756,598,168",운수창고업
27,2023/03/07,"1,702.37",2,-25.58,-1.48,"1,725.32","1,727.26","1,702.32","14,120,403","163,210,439,885","40,941,987,959,596",운수창고업
28,2023/03/06,"1,727.95",2,-7.46,-0.43,"1,742.92","1,742.92","1,713.69","15,600,305","156,069,662,149","41,556,445,517,299",운수창고업
29,2023/03/03,"1,735.41",2,-7.80,-0.45,"1,752.13","1,752.76","1,722.37","12,255,209","135,416,890,405","41,728,981,615,248",운수창고업
30,2023/03/02,"1,743.21",1,27.61,1.61,"1,723.45","1,756.46","1,723.45","17,458,801","193,791,576,858","41,912,287,702,528",운수창고업
31,2023/02/28,"1,715.60",2,-15.34,-0.89,"1,738.98","1,745.62","1,714.03","13,510,868","173,719,254,419","41,249,254,288,573",운수창고업
32,2023/02/27,"1,730.94",2,-8.23,-0.47,"1,733.88","1,734.61","1,708.77","11,954,710","134,123,238,781","41,617,089,921,106",운수창고업
33,2023/02/24,"1,739.17",1,11.14,0.64,"1,733.13","1,755.51","1,732.33","14,676,902","171,914,501,913","41,815,077,919,953",운수창고업
34,2023/02/23,"1,728.03",1,35.60,2.10,"1,710.69","1,740.87","1,706.60","25,244,340","273,048,417,379","41,547,521,227,521",운수창고업
35,2023/02/22,"1,692.43",2,-20.20,-1.18,"1,696.53","1,708.36","1,688.10","19,099,992","180,831,450,458","40,589,514,948,503",운수창고업
36,2023/02/21,"1,712.63",1,10.69,0.63,"1,707.34","1,715.97","1,698.91","12,254,731","137,347,324,631","41,071,797,603,317",운수창고업
37,2023/02/20,"1,701.94",2,-14.52,-0.85,"1,708.64","1,713.17","1,688.62","8,405,373","104,347,632,700","40,815,985,623,292",운수창고업
38,2023/02/17,"1,716.46",1,6.34,0.37,"1,697.84","1,728.47","1,693.61","8,890,267","111,207,916,003","41,163,525,465,301",운수창고업
39,2023/02/16,"1,710.12",1,13.10,0.77,"1,708.41","1,717.33","1,701.20","11,530,459","137,654,714,734","41,011,246,958,190",운수창고업
40,2023/02/15,"1,697.02",2,-21.94,-1.28,"1,723.86","1,728.44","1,695.94","12,821,169","160,473,951,727","40,697,421,446,501",운수창고업
41,2023/02/14,"1,718.96",1,15.30,0.90,"1,722.29","1,731.01","1,718.34","12,020,243","157,280,363,470","41,223,731,986,428",운수창고업
42,2023/02/13,"1,703.66",2,-11.23,-0.65,"1,709.15","1,709.39","1,681.21","13,879,257","143,268,050,889","40,857,280,749,265",운수창고업
43,2023/02/10,"1,714.89",2,-3.35,-0.19,"1,715.71","1,727.44","1,700.77","14,520,496","152,326,450,446","41,126,799,718,823",운수창고업
44,2023/02/09,"1,718.24",2,-8.76,-0.51,"1,717.83","1,734.76","1,716.07","11,730,538","140,600,406,891","41,206,871,252,561",운수창고업
45,2023/02/08,"1,727.00",1,3.21,0.19,"1,730.09","1,733.40","1,721.87","10,650,164","136,049,421,700","41,416,678,848,515",운수창고업
46,2023/02/07,"1,723.79",2,-6.26,-0.36,"1,727.51","1,730.66","1,717.39","9,778,761","149,929,075,779","41,340,480,343,027",운수창고업
47,2023/02/06,"1,730.05",2,-20.96,-1.20,"1,744.68","1,748.78","1,718.42","13,177,951","158,598,168,644","41,489,332,122,724",운수창고업
48,2023/02/03,"1,751.01",2,-2.48,-0.14,"1,756.83","1,756.83","1,736.70","12,529,929","173,601,708,801","41,990,643,970,407",운수창고업
49,2023/02/02,"1,753.49",2,-10.29,-0.58,"1,782.17","1,785.37","1,752.38","13,918,806","220,235,280,405","42,051,310,647,453",운수창고업
50,2023/02/01,"1,763.78",1,26.52,1.53,"1,744.53","1,768.53","1,734.56","19,404,809","213,362,975,169","42,297,545,796,504",운수창고업
51,2023/01/31,"1,737.26",2,-17.92,-1.02,"1,759.14","1,766.04","1,735.07","16,834,049","234,856,048,514","41,660,905,858,087",운수창고업
52,2023/01/30,"1,755.18",2,-48.35,-2.68,"1,800.20","1,801.15","1,755.18","23,304,070","229,805,392,596","42,089,216,639,456",운수창고업
53,2023/01/27,"1,803.53",1,52.63,3.01,"1,758.64","1,818.67","1,757.65","48,703,894","479,333,366,880","43,245,576,249,539",운수창고업
54,2023/01/26,"1,750.90",2,-2.06,-0.12,"1,746.49","1,753.39","1,735.46","15,627,479","147,942,667,960","41,986,034,583,122",운수창고업
