,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,328.92,2,-0.49,-0.15,328.68,329.46,327.17,"87,436,572","386,240,509,995","63,070,023,505,181",유통업
1,2023/04/12,329.41,1,2.28,0.70,327.11,330.47,327.11,"115,336,255","560,797,552,378","63,163,862,658,156",유통업
2,2023/04/11,327.13,1,2.80,0.86,324.48,328.67,323.56,"95,089,282","460,694,002,673","62,725,941,731,241",유통업
3,2023/04/10,324.33,2,-0.09,-0.03,324.26,325.95,322.70,"94,473,004","421,857,735,959","62,185,730,057,656",유통업
4,2023/04/07,324.42,2,-1.89,-0.58,325.73,326.02,324.14,"31,395,220","250,886,736,669","62,258,318,661,649",유통업
5,2023/04/06,326.31,2,-3.29,-1.00,329.26,329.52,326.22,"87,578,899","589,328,283,129","62,628,240,458,415",유통업
6,2023/04/05,329.60,2,-0.06,-0.02,330.16,332.17,329.02,"64,300,784","389,234,996,500","63,241,024,487,868",유통업
7,2023/04/04,329.66,1,1.00,0.30,329.29,330.64,328.29,"106,472,437","534,007,026,297","63,251,268,988,508",유통업
8,2023/04/03,328.66,1,0.16,0.05,328.75,330.22,328.53,"145,632,926","518,214,606,493","63,046,687,342,281",유통업
9,2023/03/31,328.50,1,1.81,0.55,327.18,330.75,327.02,"171,087,753","539,616,842,835","63,006,676,513,316",유통업
10,2023/03/30,326.69,1,1.07,0.33,325.27,328.34,324.26,"100,137,260","325,984,081,281","62,217,781,632,135",유통업
11,2023/03/29,325.62,1,2.09,0.65,324.32,326.18,324.18,"47,105,696","230,940,492,331","62,013,023,131,763",유통업
12,2023/03/28,323.53,1,2.75,0.86,320.93,323.53,320.57,"26,904,784","160,278,397,418","61,618,055,344,460",유통업
13,2023/03/27,320.78,2,-0.87,-0.27,322.50,322.50,318.06,"47,129,152","198,037,610,835","61,094,126,053,328",유통업
14,2023/03/24,321.65,2,-1.04,-0.32,320.94,322.22,320.57,"24,424,431","178,662,451,395","61,261,438,771,527",유통업
15,2023/03/23,322.69,2,-0.78,-0.24,323.01,323.78,321.41,"36,389,964","270,460,176,665","61,458,001,281,417",유통업
16,2023/03/22,323.47,2,-0.96,-0.30,326.11,326.14,322.80,"28,013,883","177,152,010,522","61,609,154,499,675",유통업
17,2023/03/21,324.43,1,2.42,0.75,323.48,325.52,323.27,"27,447,642","196,162,249,741","61,795,022,815,132",유통업
18,2023/03/20,322.01,2,-0.70,-0.22,323.61,326.62,321.85,"34,228,479","188,235,023,075","61,335,211,906,171",유통업
19,2023/03/17,322.71,1,3.08,0.96,321.56,323.88,320.18,"16,143,380","219,825,693,146","61,468,815,000,939",유통업
20,2023/03/16,319.63,2,-3.07,-0.95,320.45,321.00,317.47,"15,815,989","184,541,014,765","60,878,636,629,434",유통업
21,2023/03/15,322.70,1,1.42,0.44,323.48,325.02,322.02,"19,762,642","223,043,280,386","61,464,622,708,742",유통업
22,2023/03/14,321.28,2,-7.90,-2.40,327.21,327.24,320.86,"25,297,313","226,556,167,262","61,195,349,940,584",유통업
23,2023/03/13,329.18,2,-1.03,-0.31,331.28,331.28,325.51,"27,824,983","227,398,672,307","62,700,018,490,158",유통업
24,2023/03/10,330.21,2,-2.85,-0.86,331.45,331.45,328.99,"32,211,753","297,165,363,230","62,897,662,517,951",유통업
25,2023/03/09,333.06,2,-0.41,-0.12,334.09,335.70,332.38,"30,653,383","295,849,840,531","63,442,469,023,308",유통업
26,2023/03/08,333.47,2,-0.93,-0.28,332.06,333.47,331.25,"18,893,287","231,195,475,253","63,523,490,269,051",유통업
27,2023/03/07,334.40,2,-1.49,-0.44,335.30,336.25,334.29,"25,744,062","224,469,398,335","63,702,080,695,621",유통업
