,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"3,680.73",1,27.40,0.75,"3,653.26","3,681.21","3,646.56","36,224,366","167,819,397,317","25,828,568,693,585",음식료품
1,2023/04/12,"3,653.33",2,-0.31,-0.01,"3,642.60","3,665.98","3,642.54","5,300,373","60,207,404,781","25,638,768,283,147",음식료품
2,2023/04/11,"3,653.64",1,21.50,0.59,"3,627.32","3,660.76","3,616.04","4,939,118","52,858,637,234","25,641,285,819,112",음식료품
3,2023/04/10,"3,632.14",2,-41.47,-1.13,"3,662.55","3,662.55","3,610.91","5,154,372","62,659,049,085","25,492,425,447,712",음식료품
4,2023/04/07,"3,673.61",2,-25.87,-0.70,"3,692.40","3,698.27","3,667.90","3,706,075","52,338,184,481","25,785,926,529,810",음식료품
5,2023/04/06,"3,699.48",2,-6.67,-0.18,"3,709.14","3,738.37","3,686.84","4,338,988","67,152,029,352","25,966,448,577,061",음식료품
6,2023/04/05,"3,706.15",2,-25.35,-0.68,"3,741.41","3,750.94","3,703.41","3,982,083","45,048,544,489","26,017,075,159,438",음식료품
7,2023/04/04,"3,731.50",1,26.48,0.71,"3,714.74","3,740.37","3,692.05","4,757,507","58,000,930,981","26,196,517,057,405",음식료품
8,2023/04/03,"3,705.02",1,1.37,0.04,"3,694.98","3,720.41","3,689.46","4,819,746","54,753,936,257","26,013,061,197,911",음식료품
9,2023/03/31,"3,703.65",1,53.54,1.47,"3,663.94","3,716.85","3,637.56","4,364,890","80,969,348,751","26,003,087,878,187",음식료품
10,2023/03/30,"3,650.11",2,-10.49,-0.29,"3,639.10","3,667.12","3,633.94","4,821,276","56,445,271,465","25,629,210,481,747",음식료품
11,2023/03/29,"3,660.60",1,25.38,0.70,"3,647.25","3,664.09","3,629.70","7,062,249","54,041,227,860","25,701,971,170,612",음식료품
12,2023/03/28,"3,635.22",1,48.15,1.34,"3,603.27","3,635.22","3,588.94","4,565,377","50,186,826,521","25,525,840,332,021",음식료품
13,2023/03/27,"3,587.07",1,6.37,0.18,"3,577.33","3,590.06","3,542.06","3,643,412","53,529,563,201","25,185,419,612,599",음식료품
14,2023/03/24,"3,580.70",1,7.12,0.20,"3,562.97","3,580.87","3,547.79","3,561,969","54,055,102,523","25,141,562,332,542",음식료품
15,2023/03/23,"3,573.58",2,-21.17,-0.59,"3,589.18","3,589.18","3,565.23","4,435,709","66,000,417,774","25,093,084,974,747",음식료품
16,2023/03/22,"3,594.75",2,-16.27,-0.45,"3,617.95","3,623.27","3,583.76","3,981,405","53,609,366,876","25,241,779,287,371",음식료품
17,2023/03/21,"3,611.02",1,22.70,0.63,"3,601.01","3,613.56","3,593.61","2,895,351","46,284,317,291","25,354,744,428,377",음식료품
18,2023/03/20,"3,588.32",2,-13.57,-0.38,"3,615.66","3,618.18","3,587.12","2,701,658","44,319,548,821","25,197,657,321,204",음식료품
19,2023/03/17,"3,601.89",1,32.75,0.92,"3,595.79","3,628.89","3,578.89","3,363,376","83,414,416,098","25,291,838,086,889",음식료품
20,2023/03/16,"3,569.14",2,-20.12,-0.56,"3,573.05","3,573.05","3,538.25","3,002,010","58,795,717,985","25,064,972,127,391",음식료품
21,2023/03/15,"3,589.26",1,61.06,1.73,"3,562.78","3,595.46","3,545.27","3,467,136","79,536,252,404","25,205,058,826,013",음식료품
22,2023/03/14,"3,528.20",2,-66.81,-1.86,"3,564.19","3,571.38","3,526.25","7,429,169","85,843,673,631","24,782,086,373,422",음식료품
23,2023/03/13,"3,595.01",2,-14.27,-0.40,"3,612.27","3,612.27","3,534.43","5,307,406","83,066,350,085","25,250,753,270,944",음식료품
