,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"2,071.79",2,-32.79,-1.56,"2,094.12","2,097.14","2,053.57","2,291,768","47,010,551,540","5,307,507,592,600",의료정밀
1,2023/04/12,"2,104.58",1,73.14,3.60,"2,036.52","2,106.32","2,026.20","4,271,001","81,272,200,720","5,391,534,138,540",의료정밀
2,2023/04/11,"2,031.44",1,25.18,1.26,"1,996.51","2,046.64","1,958.08","3,418,535","54,442,776,185","5,204,139,316,520",의료정밀
3,2023/04/10,"2,006.26",2,-7.14,-0.35,"2,006.75","2,020.90","1,981.02","2,513,829","41,742,146,425","5,139,638,214,350",의료정밀
4,2023/04/07,"2,013.40",1,22.59,1.13,"1,999.55","2,017.53","1,977.94","1,958,870","29,245,140,650","5,157,936,102,990",의료정밀
5,2023/04/06,"1,990.81",2,-55.95,-2.73,"2,040.29","2,040.29","1,988.58","2,163,022","39,574,930,490","5,100,073,631,400",의료정밀
6,2023/04/05,"2,046.76",1,61.90,3.12,"1,989.94","2,052.76","1,979.10","2,076,731","45,637,030,850","5,243,405,983,420",의료정밀
7,2023/04/04,"1,984.86",1,26.61,1.36,"1,959.30","2,000.63","1,941.52","2,419,032","47,992,046,160","5,084,829,250,410",의료정밀
8,2023/04/03,"1,958.25",2,-26.67,-1.34,"1,997.65","2,015.63","1,956.30","2,037,097","43,222,951,200","5,016,657,769,500",의료정밀
9,2023/03/31,"1,984.92",1,54.75,2.84,"1,931.56","1,997.95","1,928.59","6,135,131","104,770,777,460","5,084,965,202,840",의료정밀
10,2023/03/30,"1,930.17",1,55.27,2.95,"1,870.62","1,975.17","1,870.62","2,750,411","57,667,814,530","4,944,722,116,360",의료정밀
11,2023/03/29,"1,874.90",1,1.23,0.07,"1,882.57","1,896.70","1,859.68","2,273,169","32,391,089,425","4,803,135,251,190",의료정밀
