,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"14,082.61",1,284.50,2.06,"13,831.60","14,082.61","13,824.56","15,982,014","629,910,784,155","116,897,460,627,702",의약품
1,2023/04/12,"13,798.11",1,66.13,0.48,"13,715.43","13,889.62","13,662.36","12,346,179","491,233,401,436","114,523,763,720,125",의약품
2,2023/04/11,"13,731.98",1,255.62,1.90,"13,485.72","13,817.36","13,461.43","9,137,894","399,365,918,764","114,013,016,508,031",의약품
3,2023/04/10,"13,476.36",1,139.32,1.04,"13,347.82","13,542.48","13,227.32","9,432,521","331,784,619,471","111,912,826,479,066",의약품
4,2023/04/07,"13,337.04",2,-57.47,-0.43,"13,402.50","13,402.50","13,266.73","7,613,465","213,176,722,908","110,773,197,959,221",의약품
5,2023/04/06,"13,394.51",1,159.21,1.20,"13,317.18","13,669.92","13,317.18","14,288,385","495,020,160,180","111,253,918,408,973",의약품
6,2023/04/05,"13,235.30",1,45.23,0.34,"13,200.26","13,383.99","13,114.64","16,003,133","380,742,351,724","109,925,807,567,658",의약품
7,2023/04/04,"13,190.07",1,410.71,3.21,"12,805.49","13,190.07","12,772.19","13,518,604","399,339,112,066","109,542,582,612,979",의약품
8,2023/04/03,"12,779.36",2,-100.02,-0.78,"12,965.87","13,028.58","12,764.78","8,294,792","250,690,556,300","106,157,309,824,478",의약품
9,2023/03/31,"12,879.38",1,83.98,0.66,"12,801.70","12,909.04","12,770.03","6,235,963","175,487,438,687","106,996,510,675,780",의약품
10,2023/03/30,"12,795.40",2,-72.73,-0.57,"12,817.36","12,917.08","12,745.16","8,371,846","240,497,737,769","106,289,445,404,215",의약품
11,2023/03/29,"12,868.13",2,-84.47,-0.65,"12,961.24","13,016.22","12,850.39","6,003,194","203,915,607,421","106,886,028,739,696",의약품
12,2023/03/28,"12,952.60",2,-122.72,-0.94,"13,109.23","13,141.40","12,892.01","6,160,021","280,287,579,538","107,589,492,890,036",의약품
13,2023/03/27,"13,075.32",1,110.19,0.85,"12,977.96","13,123.09","12,793.05","8,064,863","233,514,680,230","108,574,892,447,591",의약품
14,2023/03/24,"12,965.13",2,-29.19,-0.22,"12,925.07","13,106.76","12,924.56","6,372,862","152,517,600,224","107,681,169,302,946",의약품
15,2023/03/23,"12,994.32",2,-174.03,-1.32,"13,109.77","13,130.27","12,946.85","7,637,107","176,524,910,596","107,929,111,537,676",의약품
16,2023/03/22,"13,168.35",2,-9.88,-0.07,"13,228.91","13,232.89","13,104.19","6,732,120","153,608,813,629","109,378,598,502,600",의약품
17,2023/03/21,"13,178.23",2,-58.85,-0.44,"13,285.37","13,328.30","13,128.39","10,431,320","187,205,841,196","109,462,829,515,306",의약품
18,2023/03/20,"13,237.08",1,81.44,0.62,"13,240.51","13,377.40","13,204.64","9,092,661","206,017,879,602","109,947,520,894,501",의약품
19,2023/03/17,"13,155.64",1,338.56,2.64,"12,962.24","13,175.89","12,915.95","10,588,544","318,618,399,090","109,276,691,291,571",의약품
