,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,770.40,2,-3.83,-0.49,771.34,776.22,768.40,"1,934,146","48,393,888,430","20,321,317,701,350",전기가스업
1,2023/04/12,774.23,1,15.35,2.02,758.50,776.37,757.84,"2,106,756","56,946,581,450","20,422,152,393,630",전기가스업
2,2023/04/11,758.88,1,1.98,0.26,757.40,761.96,753.63,"1,651,696","54,670,103,315","20,017,345,955,430",전기가스업
3,2023/04/10,756.90,2,-2.03,-0.27,758.00,760.04,753.71,"1,483,673","40,920,335,515","19,965,231,926,360",전기가스업
4,2023/04/07,758.93,2,-1.79,-0.24,757.42,759.76,755.04,"1,306,530","38,762,293,135","20,018,783,753,540",전기가스업
5,2023/04/06,760.72,1,2.52,0.33,758.62,766.04,755.73,"2,059,443","50,022,096,420","20,065,849,966,450",전기가스업
6,2023/04/05,758.20,2,-1.46,-0.19,759.74,763.44,757.92,"1,415,301","40,143,559,620","19,999,282,178,110",전기가스업
7,2023/04/04,759.66,1,4.01,0.53,756.77,760.84,755.47,"3,066,479","55,854,535,795","20,037,819,559,130",전기가스업
8,2023/04/03,755.65,2,-2.24,-0.30,754.67,763.04,753.25,"1,646,555","46,216,762,860","19,932,226,864,190",전기가스업
9,2023/03/31,757.89,2,-21.91,-2.81,780.21,785.29,756.78,"5,021,577","107,422,926,905","19,991,138,551,550",전기가스업
10,2023/03/30,779.80,1,5.80,0.75,774.66,780.98,771.18,"2,081,537","58,361,376,685","20,569,077,182,410",전기가스업
11,2023/03/29,774.00,1,6.11,0.80,768.89,779.79,768.31,"2,773,738","73,642,664,050","20,416,109,770,490",전기가스업
12,2023/03/28,767.89,1,3.13,0.41,765.16,768.50,760.97,"1,780,870","50,543,214,360","20,255,037,018,480",전기가스업
13,2023/03/27,764.76,1,12.57,1.67,753.08,766.02,745.17,"2,059,365","56,562,527,830","20,172,365,558,040",전기가스업
14,2023/03/24,752.19,1,1.63,0.22,747.08,755.62,746.38,"1,531,319","44,358,367,590","19,840,805,326,480",전기가스업
15,2023/03/23,750.56,1,1.89,0.25,748.55,755.05,744.43,"1,304,261","41,164,650,060","19,797,911,748,240",전기가스업
16,2023/03/22,748.67,2,-0.61,-0.08,751.30,752.00,747.46,"1,198,309","33,317,418,295","19,748,003,839,080",전기가스업
17,2023/03/21,749.28,2,-11.68,-1.53,759.87,759.87,746.84,"1,800,449","47,687,704,410","19,764,224,743,150",전기가스업
18,2023/03/20,760.96,1,7.80,1.04,755.59,767.67,754.57,"2,027,334","53,854,187,975","20,072,163,690,350",전기가스업
19,2023/03/17,753.16,1,22.73,3.11,732.99,754.17,732.05,"2,725,111","69,822,163,180","19,866,434,322,910",전기가스업
20,2023/03/16,730.43,2,-0.43,-0.06,729.86,731.40,725.12,"1,260,029","30,234,240,775","19,266,829,117,220",전기가스업
