,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"26,301.30",1,84.20,0.32,"25,973.06","26,301.34","25,952.12","91,389,779","2,960,810,913,740","782,593,725,444,294",전기전자
1,2023/04/12,"26,217.10",2,-165.93,-0.63,"26,307.18","26,361.55","26,012.54","184,567,565","3,135,239,534,166","780,739,093,132,138",전기전자
2,2023/04/11,"26,383.03",1,234.05,0.90,"26,297.44","26,415.98","26,114.72","86,524,875","3,510,167,242,242","785,115,106,843,683",전기전자
3,2023/04/10,"26,148.98",1,328.81,1.27,"25,813.15","26,330.37","25,813.15","90,688,270","3,380,643,478,534","778,933,237,436,671",전기전자
4,2023/04/07,"25,820.17",1,708.74,2.82,"25,636.17","25,918.67","25,555.17","95,713,139","4,356,555,478,705","768,927,787,917,336",전기전자
5,2023/04/06,"25,111.43",2,-561.53,-2.19,"25,537.99","25,537.99","25,080.04","65,326,003","3,042,713,581,109","747,705,197,570,198",전기전자
6,2023/04/05,"25,672.96",1,347.23,1.37,"25,365.05","25,684.95","25,298.32","94,952,575","2,873,847,133,847","764,013,376,307,041",전기전자
7,2023/04/04,"25,325.73",2,-84.96,-0.33,"25,388.37","25,590.29","25,275.47","136,948,195","4,546,877,725,061","754,181,061,989,087",전기전자
8,2023/04/03,"25,410.69",2,-168.63,-0.66,"25,597.46","25,597.46","25,259.15","59,984,510","2,431,231,308,276","756,620,889,109,065",전기전자
9,2023/03/31,"25,579.32",1,199.51,0.79,"25,482.56","25,633.67","25,407.18","104,829,048","3,253,342,346,026","761,409,761,875,525",전기전자
10,2023/03/30,"25,379.81",1,173.72,0.69,"25,519.92","25,519.92","25,303.56","104,631,201","2,855,954,283,157","755,403,208,565,006",전기전자
11,2023/03/29,"25,206.09",1,24.84,0.10,"25,068.28","25,206.09","25,001.70","84,314,958","2,432,226,712,119","750,451,834,180,125",전기전자
12,2023/03/28,"25,181.25",1,310.00,1.25,"24,968.90","25,181.25","24,861.76","196,143,199","3,109,183,071,199","749,492,697,136,211",전기전자
13,2023/03/27,"24,871.25",2,-165.23,-0.66,"25,157.42","25,157.42","24,814.88","80,607,614","2,340,812,257,862","740,337,927,783,062",전기전자
14,2023/03/24,"25,036.48",1,53.98,0.22,"25,060.49","25,123.72","24,778.48","95,834,088","3,358,815,733,814","745,285,628,519,781",전기전자
15,2023/03/23,"24,982.50",1,329.16,1.34,"24,406.68","24,982.50","24,406.68","66,168,412","2,501,038,377,199","743,699,646,833,548",전기전자
