,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"6,921.15",1,28.84,0.42,"6,837.49","6,921.15","6,817.86","419,741,902","9,474,793,706,124","1,453,388,417,777,998",제조업
1,2023/04/12,"6,892.31",2,-15.32,-0.22,"6,903.18","6,949.38","6,858.77","539,077,988","11,808,660,382,066","1,448,056,064,624,703",제조업
2,2023/04/11,"6,907.63",1,101.47,1.49,"6,845.74","6,918.45","6,810.73","346,261,845","11,637,525,545,021","1,450,807,387,857,964",제조업
3,2023/04/10,"6,806.16",1,94.11,1.40,"6,725.69","6,827.30","6,724.15","383,160,884","11,214,165,399,413","1,430,342,470,139,070",제조업
4,2023/04/07,"6,712.05",1,107.51,1.63,"6,679.87","6,720.34","6,663.20","302,602,673","9,237,773,062,449","1,410,422,467,158,772",제조업
5,2023/04/06,"6,604.54",2,-98.91,-1.48,"6,682.07","6,683.21","6,598.51","371,763,513","8,432,201,034,751","1,387,357,780,116,239",제조업
6,2023/04/05,"6,703.45",1,62.88,0.95,"6,648.26","6,708.42","6,636.28","325,110,047","8,065,061,062,038","1,408,048,235,061,996",제조업
7,2023/04/04,"6,640.57",1,2.84,0.04,"6,645.87","6,694.44","6,624.55","537,996,201","11,442,522,519,291","1,395,160,047,847,241",제조업
8,2023/04/03,"6,637.73",2,-4.64,-0.07,"6,672.96","6,673.21","6,618.32","434,146,662","9,146,034,625,435","1,394,684,302,662,122",제조업
9,2023/03/31,"6,642.37",1,74.38,1.13,"6,588.94","6,658.36","6,578.32","349,648,014","9,996,258,747,431","1,395,616,939,935,487",제조업
10,2023/03/30,"6,567.99",1,33.06,0.51,"6,571.36","6,598.81","6,527.16","376,753,830","8,422,408,909,656","1,378,860,735,698,195",제조업
11,2023/03/29,"6,534.93",1,25.47,0.39,"6,498.02","6,534.93","6,490.64","349,145,999","7,064,671,622,090","1,372,030,180,586,967",제조업
12,2023/03/28,"6,509.46",1,68.52,1.06,"6,467.54","6,509.46","6,447.90","401,870,031","7,214,540,293,100","1,366,533,002,905,095",제조업
