,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,375.35,1,4.11,1.11,370.99,375.35,368.56,"4,239,371","36,557,844,753","3,221,587,969,258",종이목재
1,2023/04/12,371.24,1,4.05,1.10,367.89,371.44,365.70,"2,035,110","12,761,291,857","3,186,395,585,832",종이목재
2,2023/04/11,367.19,1,5.05,1.39,361.40,367.22,360.03,"1,864,930","9,278,432,807","3,151,756,436,309",종이목재
3,2023/04/10,362.14,2,-5.90,-1.60,366.04,366.22,360.03,"2,096,755","13,882,896,483","3,108,596,746,463",종이목재
4,2023/04/07,368.04,2,-0.25,-0.07,369.12,369.86,366.19,"1,767,181","13,901,789,417","3,159,079,955,228",종이목재
5,2023/04/06,368.29,2,-3.11,-0.84,371.69,374.03,367.01,"2,045,567","14,589,226,724","3,161,177,444,790",종이목재
6,2023/04/05,371.40,2,-4.65,-1.24,373.03,374.76,365.63,"2,429,186","31,265,850,796","3,187,823,058,332",종이목재
7,2023/04/04,376.05,1,9.02,2.46,367.39,376.15,367.22,"2,403,594","17,197,324,498","3,227,550,879,645",종이목재
8,2023/04/03,367.03,1,4.32,1.19,360.95,367.92,360.00,"2,357,666","17,888,972,611","3,150,222,149,252",종이목재
9,2023/03/31,362.71,1,1.96,0.54,362.34,365.61,356.86,"1,894,797","19,491,876,880","3,113,203,406,519",종이목재
10,2023/03/30,360.75,1,4.22,1.18,356.26,361.44,354.58,"2,075,869","19,296,606,659","3,096,316,611,219",종이목재
11,2023/03/29,356.53,1,11.55,3.35,344.82,356.53,344.82,"2,085,031","18,942,365,592","3,060,240,411,303",종이목재
12,2023/03/28,344.98,1,3.81,1.12,341.20,344.98,340.38,"2,128,796","14,487,625,658","2,961,423,844,420",종이목재
13,2023/03/27,341.17,1,0.38,0.11,341.74,344.84,339.15,"3,398,701","25,856,587,186","2,928,816,211,895",종이목재
14,2023/03/24,340.79,2,-0.68,-0.20,341.15,342.56,340.14,"1,953,929","11,420,760,012","2,925,609,209,091",종이목재
15,2023/03/23,341.47,2,-2.48,-0.72,342.91,343.59,340.14,"2,199,737","11,992,101,472","2,931,533,867,501",종이목재
16,2023/03/22,343.95,2,-1.69,-0.49,346.70,347.42,340.55,"4,579,170","15,309,244,708","2,952,743,177,245",종이목재
17,2023/03/21,345.64,1,1.39,0.40,345.30,346.74,344.20,"2,518,791","14,032,962,243","2,967,207,282,123",종이목재
18,2023/03/20,344.25,1,3.63,1.07,340.28,344.25,339.21,"1,183,480","8,022,030,091","2,955,299,735,450",종이목재
19,2023/03/17,340.62,1,2.72,0.80,339.86,341.82,338.25,"1,559,597","10,685,255,649","2,924,300,459,016",종이목재
20,2023/03/16,337.90,2,-2.16,-0.64,339.19,339.21,334.56,"1,915,677","11,910,121,530","2,900,947,784,375",종이목재
21,2023/03/15,340.06,1,4.32,1.29,336.95,341.20,336.95,"1,892,852","11,646,202,031","2,919,363,846,697",종이목재
22,2023/03/14,335.74,2,-8.51,-2.47,344.27,344.27,334.17,"3,116,455","17,558,234,248","2,882,389,927,118",종이목재
23,2023/03/13,344.25,2,-3.15,-0.91,345.69,345.69,339.76,"2,403,546","15,436,463,573","2,955,458,071,265",종이목재
24,2023/03/10,347.40,2,-8.44,-2.37,355.02,355.02,346.58,"2,764,964","21,763,054,431","2,982,371,391,805",종이목재
25,2023/03/09,355.84,2,-2.15,-0.60,358.57,358.60,353.26,"3,207,106","26,083,033,099","3,054,627,020,970",종이목재
26,2023/03/08,357.99,2,-0.58,-0.16,357.08,358.25,355.85,"3,805,343","31,303,238,446","3,073,089,253,135",종이목재
27,2023/03/07,358.57,1,3.43,0.97,355.23,358.80,354.49,"3,476,602","20,472,100,242","3,078,095,818,649",종이목재
28,2023/03/06,355.14,1,1.38,0.39,353.68,355.73,352.32,"6,385,005","57,808,568,927","3,048,746,841,776",종이목재
29,2023/03/03,353.76,1,0.90,0.26,353.52,354.71,352.03,"5,792,590","50,666,947,057","3,036,969,302,045",종이목재
30,2023/03/02,352.86,1,1.95,0.56,351.06,353.42,350.77,"6,300,574","50,036,435,417","3,029,340,107,133",종이목재
31,2023/02/28,350.91,1,2.49,0.71,349.69,355.42,349.69,"17,789,301","106,124,168,228","3,012,416,302,877",종이목재
32,2023/02/27,348.42,2,-2.96,-0.84,350.59,350.80,347.55,"2,356,808","12,137,532,849","2,991,231,772,660",종이목재
33,2023/02/24,351.38,2,-2.39,-0.68,354.12,355.43,349.91,"3,659,538","15,579,041,615","3,016,631,964,220",종이목재
34,2023/02/23,353.77,2,-0.54,-0.15,354.45,354.45,351.92,"1,909,577","11,728,587,906","3,036,874,266,482",종이목재
35,2023/02/22,354.31,2,-2.39,-0.67,355.46,355.69,353.06,"3,290,953","22,692,871,111","3,041,560,846,423",종이목재
36,2023/02/21,356.70,1,1.45,0.41,354.24,357.06,354.21,"2,718,732","20,216,456,910","3,062,045,143,297",종이목재
37,2023/02/20,355.25,2,-0.05,-0.01,355.58,356.09,350.23,"1,818,526","14,437,858,227","3,049,583,535,090",종이목재
38,2023/02/17,355.30,2,-1.13,-0.32,355.68,356.64,354.16,"1,826,584","13,458,326,468","3,050,011,550,457",종이목재
39,2023/02/16,356.43,1,1.19,0.33,354.99,357.77,354.75,"3,195,382","23,991,068,342","3,059,762,973,418",종이목재
40,2023/02/15,355.24,2,-1.91,-0.53,357.36,358.05,355.24,"10,016,544","80,739,334,345","3,049,539,267,905",종이목재
41,2023/02/14,357.15,1,2.13,0.60,355.18,357.39,354.85,"1,234,618","7,514,136,781","3,065,926,776,328",종이목재
42,2023/02/13,355.02,2,-1.82,-0.51,356.80,357.01,353.66,"1,794,712","11,813,849,100","3,047,615,935,147",종이목재
43,2023/02/10,356.84,2,-0.78,-0.22,357.51,357.55,354.91,"2,160,951","12,678,664,834","3,063,321,009,946",종이목재
44,2023/02/09,357.62,2,-0.87,-0.24,357.86,358.09,355.86,"1,664,781","11,399,200,199","3,070,022,235,210",종이목재
45,2023/02/08,358.49,2,-0.62,-0.17,359.43,359.52,357.69,"2,109,777","10,997,202,524","3,077,430,397,175",종이목재
46,2023/02/07,359.11,1,0.39,0.11,358.46,359.20,357.62,"2,398,040","10,965,590,024","3,082,720,184,972",종이목재
47,2023/02/06,358.72,1,3.06,0.86,355.82,358.72,354.40,"2,504,722","14,291,874,511","3,079,315,194,595",종이목재
48,2023/02/03,355.66,1,0.83,0.23,354.91,355.75,353.63,"1,907,646","11,050,402,392","3,053,143,602,556",종이목재
49,2023/02/02,354.83,1,1.22,0.35,354.15,355.04,353.28,"2,197,715","10,063,956,782","3,046,006,893,807",종이목재
50,2023/02/01,353.61,2,-0.23,-0.07,354.13,354.88,352.26,"2,738,813","9,619,419,326","3,035,491,481,291",종이목재
51,2023/01/31,353.84,1,0.88,0.25,352.97,354.04,351.29,"3,788,303","11,393,901,469","3,037,647,868,954",종이목재
52,2023/01/30,352.96,1,0.39,0.11,353.09,354.13,351.48,"2,007,121","9,435,369,555","3,030,095,814,663",종이목재
53,2023/01/27,352.57,1,1.83,0.52,351.71,353.09,350.41,"2,116,570","10,868,451,282","3,026,776,368,390",종이목재
54,2023/01/26,350.74,1,2.99,0.86,346.50,350.74,346.50,"2,153,005","8,397,603,713","3,011,023,171,787",종이목재
55,2023/01/25,347.75,1,1.08,0.31,347.56,348.43,345.60,"2,413,961","10,837,981,311","2,985,421,360,734",종이목재
56,2023/01/20,346.67,1,1.01,0.29,346.06,346.89,345.07,"1,641,026","6,055,759,235","2,976,200,515,280",종이목재
57,2023/01/19,345.66,2,-1.53,-0.44,346.05,347.02,344.89,"2,314,454","7,463,543,410","2,967,562,722,695",종이목재
58,2023/01/18,347.19,2,-1.72,-0.49,349.00,349.95,346.14,"3,127,838","10,916,889,205","2,980,801,706,015",종이목재
59,2023/01/17,348.91,2,-0.96,-0.27,351.16,353.50,347.84,"24,967,286","45,241,542,430","2,995,305,591,660",종이목재
60,2023/01/16,349.87,2,-0.18,-0.05,350.92,353.83,348.80,"2,968,510","16,701,045,295","3,003,453,632,545",종이목재
61,2023/01/13,350.05,1,0.58,0.17,349.60,351.67,348.75,"2,339,150","13,748,823,315","3,005,059,141,375",종이목재
62,2023/01/12,349.47,2,-0.73,-0.21,351.19,351.58,348.19,"1,787,871","9,333,789,510","3,000,156,471,195",종이목재
63,2023/01/11,350.20,1,2.36,0.68,349.82,350.25,348.55,"2,337,351","12,249,299,175","3,006,422,051,400",종이목재
64,2023/01/10,347.84,2,-0.13,-0.04,346.85,348.79,345.75,"2,336,505","13,939,268,865","2,986,123,075,100",종이목재
65,2023/01/09,347.97,1,1.60,0.46,347.11,349.38,346.59,"2,383,089","12,663,518,360","2,987,364,296,090",종이목재
66,2023/01/06,346.37,1,3.26,0.95,342.72,347.35,341.65,"3,230,595","16,301,470,825","2,973,467,444,615",종이목재
67,2023/01/05,343.11,1,3.28,0.97,340.61,343.67,338.99,"5,100,358","22,227,224,565","2,945,484,504,020",종이목재
68,2023/01/04,339.83,1,4.15,1.24,333.92,339.90,332.92,"1,756,270","8,388,707,180","2,917,592,600,450",종이목재
69,2023/01/03,335.68,1,1.93,0.58,334.67,336.63,327.67,"6,914,864","21,847,547,726","2,882,087,440,630",종이목재
70,2023/01/02,333.75,2,-5.25,-1.55,338.40,342.48,333.75,"3,013,538","18,901,779,330","2,865,385,183,510",종이목재
71,2022/12/29,339.00,2,-4.36,-1.27,343.01,343.32,336.08,"3,310,044","17,683,486,630","2,910,158,831,330",종이목재
72,2022/12/28,343.36,2,-2.45,-0.71,343.96,345.31,342.00,"2,520,943","16,959,496,115","2,947,738,309,865",종이목재
73,2022/12/27,345.81,1,2.25,0.65,341.79,346.03,341.71,"4,178,083","31,259,542,785","2,968,851,964,560",종이목재
74,2022/12/26,343.56,2,-1.88,-0.54,344.91,345.73,341.96,"5,983,152","40,592,581,145","2,949,612,247,910",종이목재
75,2022/12/23,345.44,2,-7.51,-2.13,350.80,350.80,343.95,"13,263,055","103,294,225,515","2,965,548,517,935",종이목재
76,2022/12/22,352.95,1,1.82,0.52,351.71,354.83,350.49,"10,803,751","80,193,403,780","3,029,817,986,010",종이목재
77,2022/12/21,351.13,1,0.35,0.10,351.28,353.09,349.67,"2,561,565","11,487,979,990","3,014,322,934,835",종이목재
78,2022/12/20,350.78,2,-4.77,-1.34,355.00,357.66,349.50,"7,129,282","25,785,226,400","3,011,437,684,690",종이목재
79,2022/12/19,355.55,2,-0.18,-0.05,354.15,358.59,352.81,"4,822,676","21,430,532,890","3,052,156,322,485",종이목재
80,2022/12/16,355.73,2,-1.98,-0.55,353.89,356.22,351.88,"7,031,271","30,631,774,725","3,053,676,637,260",종이목재
81,2022/12/15,357.71,2,-1.24,-0.35,360.00,361.95,354.58,"3,715,311","27,349,623,940","3,070,655,826,285",종이목재
82,2022/12/14,358.95,2,-3.54,-0.98,362.28,364.53,358.48,"3,367,915","21,346,953,325","3,081,265,198,390",종이목재
83,2022/12/13,362.49,1,0.98,0.27,362.99,363.79,358.86,"4,788,479","26,452,306,145","3,111,753,204,580",종이목재
84,2022/12/12,361.51,2,-0.24,-0.07,361.79,362.91,360.24,"4,589,584","37,543,029,460","3,103,304,328,805",종이목재
85,2022/12/09,361.75,1,4.50,1.26,359.24,362.91,354.82,"7,071,590","64,753,355,085","3,105,447,127,620",종이목재
86,2022/12/08,357.25,2,-11.37,-3.08,368.28,368.96,354.89,"6,205,681","54,331,242,505","3,066,926,868,885",종이목재
87,2022/12/07,368.62,1,1.71,0.47,365.90,368.63,363.50,"10,478,885","84,640,269,255","3,164,209,279,650",종이목재
88,2022/12/06,366.91,2,-0.08,-0.02,364.95,366.91,361.65,"11,627,391","75,523,411,280","3,149,486,443,165",종이목재
89,2022/12/05,366.99,2,-0.56,-0.15,367.38,368.42,365.38,"3,587,746","19,443,581,300","3,150,354,531,210",종이목재
90,2022/12/02,367.55,1,2.84,0.78,364.72,368.05,364.17,"3,517,503","19,825,132,935","3,155,187,834,075",종이목재
91,2022/12/01,364.71,1,0.71,0.20,365.92,367.61,364.03,"4,652,131","18,058,452,190","3,130,711,160,435",종이목재
92,2022/11/30,364.00,1,0.93,0.26,363.44,364.86,362.27,"7,177,009","22,501,715,155","3,124,406,756,795",종이목재
93,2022/11/29,363.07,1,0.32,0.09,361.78,364.98,360.89,"26,401,160","64,687,741,040","3,116,266,976,370",종이목재
94,2022/11/28,362.75,2,-3.15,-0.86,366.02,366.02,361.23,"10,490,263","49,818,379,965","3,113,486,864,215",종이목재
95,2022/11/25,365.90,1,1.08,0.30,365.04,366.11,363.27,"9,256,049","28,988,866,590","3,061,144,799,620",종이목재
96,2022/11/24,364.82,1,9.87,2.78,359.33,370.86,358.92,"79,714,221","198,965,953,990","3,052,255,306,625",종이목재
97,2022/11/23,354.95,1,5.73,1.64,350.27,357.49,348.93,"9,348,724","35,947,033,285","2,969,663,424,840",종이목재
98,2022/11/22,349.22,1,4.31,1.25,343.86,349.22,341.62,"9,526,470","26,045,036,855","2,921,874,728,110",종이목재
99,2022/11/21,344.91,2,-1.10,-0.32,346.71,349.76,342.07,"11,886,416","42,958,417,665","2,885,856,770,560",종이목재
100,2022/11/18,346.01,2,-1.58,-0.45,347.50,348.24,345.47,"5,684,955","19,137,363,645","2,895,187,921,790",종이목재
101,2022/11/17,347.59,1,1.11,0.32,346.38,348.84,345.64,"6,394,490","28,038,416,025","2,908,352,365,125",종이목재
102,2022/11/16,346.48,1,0.59,0.17,346.53,347.44,342.66,"3,517,434","15,196,129,285","2,899,009,661,110",종이목재
103,2022/11/15,345.89,1,3.52,1.03,343.77,347.95,342.08,"12,849,320","46,983,192,585","2,894,093,074,860",종이목재
104,2022/11/14,342.37,2,-0.72,-0.21,344.52,344.97,340.77,"5,772,237","22,171,755,485","2,864,665,393,405",종이목재
105,2022/11/11,343.09,1,7.00,2.08,340.21,347.99,340.21,"14,802,887","56,451,071,570","2,870,856,794,865",종이목재
106,2022/11/10,336.09,1,3.92,1.18,330.56,339.22,329.60,"11,886,331","42,028,715,700","2,812,159,403,445",종이목재
107,2022/11/09,332.17,2,-1.12,-0.34,334.06,334.37,330.95,"3,417,194","15,038,859,245","2,779,527,877,660",종이목재
108,2022/11/08,333.29,1,2.44,0.74,332.70,333.94,330.52,"19,108,449","37,675,063,515","2,788,790,553,155",종이목재
109,2022/11/07,330.85,1,1.43,0.43,330.83,331.43,327.38,"2,776,757","15,204,938,785","2,768,427,201,365",종이목재
110,2022/11/04,329.42,2,-2.71,-0.82,331.10,331.11,326.63,"2,382,358","12,353,950,255","2,756,370,811,215",종이목재
111,2022/11/03,332.13,1,1.19,0.36,328.18,332.88,326.01,"1,889,408","11,621,485,450","2,779,017,120,855",종이목재
112,2022/11/02,330.94,2,-0.58,-0.17,331.04,333.18,329.76,"3,229,874","21,221,726,730","2,768,065,873,575",종이목재
113,2022/11/01,331.52,1,6.11,1.88,325.34,331.52,324.58,"3,501,231","17,185,526,635","2,772,952,486,030",종이목재
114,2022/10/31,325.41,1,0.88,0.27,325.70,326.17,322.89,"3,196,903","15,347,047,940","2,722,005,200,580",종이목재
115,2022/10/28,324.53,1,0.11,0.03,324.34,326.10,322.79,"3,319,158","17,102,329,345","2,714,614,696,375",종이목재
116,2022/10/27,324.42,1,5.53,1.73,319.19,325.18,319.11,"9,082,448","58,322,866,110","2,713,753,322,270",종이목재
117,2022/10/26,318.89,2,-1.94,-0.60,321.04,322.09,316.49,"2,625,579","10,397,470,320","2,667,729,407,855",종이목재
118,2022/10/25,320.83,1,0.95,0.30,321.82,323.96,320.29,"3,200,374","13,517,641,015","2,683,952,272,390",종이목재
119,2022/10/24,319.88,1,4.32,1.37,317.11,323.66,317.05,"4,337,790","18,630,895,695","2,676,104,369,860",종이목재
120,2022/10/21,315.56,2,-2.42,-0.76,317.85,318.45,313.54,"15,056,266","41,950,294,190","2,639,834,908,030",종이목재
121,2022/10/20,317.98,2,-2.95,-0.92,321.17,321.17,315.42,"3,722,691","13,697,753,210","2,659,940,299,050",종이목재
122,2022/10/19,320.93,2,-0.11,-0.03,321.74,324.21,319.88,"3,723,961","10,982,699,550","2,684,618,845,355",종이목재
123,2022/10/18,321.04,1,5.97,1.89,317.30,322.03,316.98,"7,340,530","20,503,747,380","2,685,687,214,895",종이목재
124,2022/10/17,315.07,1,4.75,1.53,306.19,315.15,304.61,"3,413,511","9,701,708,135","2,635,787,530,665",종이목재
125,2022/10/14,310.32,1,4.24,1.39,309.64,312.59,309.64,"5,481,039","15,752,723,025","2,596,151,349,350",종이목재
126,2022/10/13,306.08,2,-10.69,-3.37,316.41,316.41,305.26,"11,048,339","28,404,342,295","2,560,755,155,451",종이목재
127,2022/10/12,316.77,1,2.17,0.69,314.38,318.50,311.86,"5,122,026","15,923,275,585","2,650,147,846,955",종이목재
128,2022/10/11,314.60,2,-11.41,-3.50,322.33,322.55,313.16,"3,976,620","11,922,368,145","2,631,897,423,725",종이목재
129,2022/10/07,326.01,2,-2.32,-0.71,327.22,328.28,324.98,"8,883,666","26,697,839,160","2,727,241,730,285",종이목재
130,2022/10/06,328.33,1,13.31,4.23,316.84,331.49,316.84,"27,611,327","83,928,747,705","2,746,317,377,000",종이목재
131,2022/10/05,315.02,2,-3.40,-1.07,320.64,322.21,313.84,"1,982,831","7,919,941,045","2,635,184,980,465",종이목재
132,2022/10/04,318.42,1,5.56,1.78,316.20,318.68,315.34,"1,386,341","6,154,912,845","2,663,498,545,755",종이목재
133,2022/09/30,312.86,2,-0.85,-0.27,312.37,313.44,307.25,"2,413,269","8,148,517,355","2,617,025,414,725",종이목재
134,2022/09/29,313.71,1,0.82,0.26,315.23,320.97,312.85,"2,522,364","9,145,671,825","2,624,218,413,380",종이목재
135,2022/09/28,312.89,2,-8.35,-2.60,320.03,322.42,308.21,"4,115,730","12,168,347,515","2,617,290,829,630",종이목재
136,2022/09/27,321.24,2,-1.54,-0.48,321.73,325.46,315.73,"4,819,123","15,701,530,945","2,687,193,354,810",종이목재
137,2022/09/26,322.78,2,-18.51,-5.42,336.91,336.91,320.49,"5,502,245","19,111,336,595","2,700,409,155,650",종이목재
138,2022/09/23,341.29,2,-9.11,-2.60,349.67,349.80,339.35,"3,723,852","12,353,617,660","2,855,009,383,120",종이목재
139,2022/09/22,350.40,2,-1.80,-0.51,349.36,350.66,341.70,"4,468,082","15,987,643,595","2,931,053,063,285",종이목재
140,2022/09/21,352.20,2,-3.61,-1.01,355.93,358.33,349.76,"12,410,837","33,719,009,540","2,946,069,505,470",종이목재
141,2022/09/20,355.81,1,0.11,0.03,357.72,359.00,354.79,"2,855,322","13,953,149,955","2,976,159,698,920",종이목재
142,2022/09/19,355.70,2,-4.07,-1.13,362.25,362.25,353.91,"5,245,316","27,855,660,025","2,975,327,292,125",종이목재
