,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,742.31",1,16.80,0.97,"1,726.46","1,742.57","1,720.39","5,880,440","42,724,150,233","23,123,744,876,622",증권
1,2023/04/12,"1,725.51",1,17.56,1.03,"1,712.02","1,729.33","1,709.91","6,760,728","41,587,520,528","22,910,830,573,390",증권
2,2023/04/11,"1,707.95",1,36.54,2.19,"1,678.83","1,712.55","1,674.24","8,429,297","49,123,897,262","22,815,356,894,645",증권
3,2023/04/10,"1,671.41",2,-6.46,-0.39,"1,673.76","1,684.70","1,667.29","7,222,446","41,613,267,425","22,352,280,497,641",증권
4,2023/04/07,"1,677.87",1,31.78,1.93,"1,646.44","1,680.64","1,644.88","5,823,832","33,419,395,452","22,430,455,114,754",증권
5,2023/04/06,"1,646.09",2,-31.99,-1.91,"1,674.39","1,674.39","1,645.27","6,327,395","33,138,865,612","22,027,791,995,355",증권
6,2023/04/05,"1,678.08",1,5.69,0.34,"1,671.71","1,685.69","1,671.71","6,613,384","35,274,504,954","22,427,943,601,346",증권
7,2023/04/04,"1,672.39",1,8.36,0.50,"1,665.52","1,676.30","1,659.08","6,128,987","31,983,834,519","22,360,378,743,464",증권
8,2023/04/03,"1,664.03",2,-1.94,-0.12,"1,665.52","1,674.33","1,660.51","6,713,916","34,384,421,462","22,247,006,780,182",증권
9,2023/03/31,"1,665.97",1,8.20,0.49,"1,660.82","1,685.32","1,658.99","18,908,441","114,510,550,928","22,270,761,211,386",증권
10,2023/03/30,"1,657.77",1,2.25,0.14,"1,647.14","1,664.12","1,640.66","43,906,823","316,075,950,995","22,170,747,234,752",증권
11,2023/03/29,"1,655.52",1,10.04,0.61,"1,651.69","1,666.01","1,645.78","6,399,914","35,820,648,900","22,154,245,587,200",증권
12,2023/03/28,"1,645.48",1,13.55,0.83,"1,637.02","1,647.45","1,630.74","7,850,161","34,472,762,859","22,025,856,396,908",증권
13,2023/03/27,"1,631.93",2,-13.17,-0.80,"1,649.69","1,650.02","1,619.97","8,065,131","35,862,456,037","21,855,824,952,698",증권
14,2023/03/24,"1,645.10",2,-16.57,-1.00,"1,651.87","1,660.87","1,644.00","8,032,744","31,773,533,086","22,020,481,728,614",증권
15,2023/03/23,"1,661.67",2,-10.56,-0.63,"1,663.70","1,663.70","1,644.70","7,173,793","39,971,802,938","22,227,254,281,309",증권
16,2023/03/22,"1,672.23",1,1.48,0.09,"1,681.63","1,691.06","1,670.77","5,298,075","28,945,261,062","22,357,152,711,936",증권
17,2023/03/21,"1,670.75",1,2.62,0.16,"1,682.37","1,682.88","1,668.53","5,853,616","28,913,316,610","22,340,910,667,240",증권
18,2023/03/20,"1,668.13",1,2.41,0.14,"1,681.21","1,701.03","1,668.13","6,567,235","32,570,931,018","22,315,064,920,918",증권
19,2023/03/17,"1,665.72",1,14.75,0.89,"1,668.50","1,682.62","1,662.58","10,729,246","69,657,451,300","22,280,987,517,774",증권
20,2023/03/16,"1,650.97",2,-10.04,-0.60,"1,653.42","1,656.55","1,632.44","7,038,329","40,061,609,737","22,100,913,346,054",증권
21,2023/03/15,"1,661.01",1,3.50,0.21,"1,674.20","1,687.27","1,655.42","8,000,237","46,962,838,540","22,233,496,846,635",증권
22,2023/03/14,"1,657.51",2,-70.89,-4.10,"1,709.19","1,714.11","1,656.64","12,100,841","60,638,920,529","22,189,446,959,148",증권
23,2023/03/13,"1,728.40",1,14.53,0.85,"1,714.28","1,732.47","1,695.95","9,786,236","52,601,233,897","23,149,362,688,678",증권
24,2023/03/10,"1,713.87",2,-20.98,-1.21,"1,722.02","1,722.02","1,689.53","10,412,066","46,413,966,280","22,974,461,912,900",증권
25,2023/03/09,"1,734.85",1,12.85,0.75,"1,727.13","1,745.17","1,723.14","10,234,342","51,991,025,628","23,246,971,267,185",증권
26,2023/03/08,"1,722.00",2,-15.91,-0.92,"1,720.93","1,729.54","1,717.65","10,180,881","47,672,350,283","23,084,245,342,818",증권
27,2023/03/07,"1,737.91",2,-19.43,-1.11,"1,753.22","1,755.28","1,737.91","8,238,014","39,080,271,433","23,289,838,227,007",증권
28,2023/03/06,"1,757.34",1,9.28,0.53,"1,758.04","1,770.24","1,742.16","11,344,219","48,441,083,917","23,520,719,976,111",증권
29,2023/03/03,"1,748.06",2,-35.06,-1.97,"1,787.52","1,788.98","1,746.10","11,811,448","48,161,463,099","23,407,301,392,429",증권
30,2023/03/02,"1,783.12",2,-18.76,-1.04,"1,787.96","1,803.20","1,773.20","9,099,806","46,605,196,075","23,844,461,288,511",증권
31,2023/02/28,"1,801.88",1,28.23,1.59,"1,781.58","1,806.15","1,779.32","11,123,053","83,577,927,247","24,072,739,752,358",증권
32,2023/02/27,"1,773.65",2,-16.32,-0.91,"1,779.14","1,785.19","1,761.15","8,147,984","39,639,007,996","23,726,115,430,102",증권
33,2023/02/24,"1,789.97",1,6.35,0.36,"1,776.52","1,805.07","1,775.76","13,122,324","46,301,749,607","23,935,431,789,411",증권
34,2023/02/23,"1,783.62",1,18.77,1.06,"1,763.54","1,790.21","1,760.29","18,774,767","48,796,213,423","23,858,539,481,490",증권
35,2023/02/22,"1,764.85",2,-54.01,-2.97,"1,798.35","1,798.78","1,760.88","18,204,838","72,148,840,044","23,622,907,743,288",증권
36,2023/02/21,"1,818.86",1,24.37,1.36,"1,795.64","1,827.91","1,784.84","12,688,259","56,449,700,870","24,295,803,877,658",증권
37,2023/02/20,"1,794.49",2,-3.21,-0.18,"1,797.53","1,802.53","1,785.58","26,528,571","47,617,215,681","23,987,511,086,744",증권
38,2023/02/17,"1,797.70",2,-11.01,-0.61,"1,794.80","1,811.81","1,785.44","8,952,257","38,044,035,614","24,029,673,696,607",증권
