,date,Á¾°¡,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,°í°¡,Àú°¡,°Å·¡·®,°Å·¡´ë±Ý,»óÀå½Ã°¡ÃÑ¾×,index_name
0,2023/04/13,"5,502.95",2,-124.94,-2.22,"5,524.79","5,552.72","5,340.26","38,233,126","1,385,519,262,036","64,212,441,809,522",Ã¶°­±Ý¼Ó
1,2023/04/12,"5,627.89",1,98.42,1.78,"5,560.73","5,854.94","5,555.02","99,779,245","2,424,797,437,056","65,649,457,590,489",Ã¶°­±Ý¼Ó
2,2023/04/11,"5,529.47",1,35.30,0.64,"5,558.95","5,615.30","5,427.67","40,037,260","1,377,753,760,737","64,501,845,492,035",Ã¶°­±Ý¼Ó
3,2023/04/10,"5,494.17",1,249.38,4.75,"5,374.91","5,590.09","5,374.73","57,863,813","2,013,856,048,575","64,090,809,445,336",Ã¶°­±Ý¼Ó
4,2023/04/07,"5,244.79",1,45.01,0.87,"5,215.59","5,264.37","5,181.07","38,984,587","774,245,435,689","61,182,520,068,267",Ã¶°­±Ý¼Ó
5,2023/04/06,"5,199.78",2,-95.83,-1.81,"5,243.73","5,253.49","5,187.78","45,855,334","993,053,042,404","60,658,321,819,030",Ã¶°­±Ý¼Ó
6,2023/04/05,"5,295.61",1,34.75,0.66,"5,215.98","5,328.69","5,156.61","45,103,695","1,062,503,430,721","61,774,687,034,258",Ã¶°­±Ý¼Ó
7,2023/04/04,"5,260.86",2,-202.05,-3.70,"5,470.27","5,486.23","5,251.12","181,690,412","1,829,440,218,531","61,366,930,054,257",Ã¶°­±Ý¼Ó
8,2023/04/03,"5,462.91",1,204.96,3.90,"5,421.44","5,528.71","5,373.99","117,345,241","1,565,251,324,349","63,722,962,815,043",Ã¶°­±Ý¼Ó
9,2023/03/31,"5,257.95",1,248.03,4.95,"5,000.00","5,436.41","4,982.84","39,088,804","1,733,195,026,587","61,332,971,787,157",Ã¶°­±Ý¼Ó
10,2023/03/30,"5,009.92",2,-11.58,-0.23,"5,001.84","5,044.79","4,959.32","49,010,598","538,654,563,696","58,440,865,348,270",Ã¶°­±Ý¼Ó
11,2023/03/29,"5,021.50",1,14.22,0.28,"5,029.74","5,047.30","4,984.45","27,616,935","472,615,850,769","58,575,863,731,535",Ã¶°­±Ý¼Ó
12,2023/03/28,"5,007.28",1,107.76,2.20,"4,927.93","5,028.40","4,923.19","27,373,382","636,757,626,212","58,410,318,974,055",Ã¶°­±Ý¼Ó
13,2023/03/27,"4,899.52",1,88.14,1.83,"4,853.33","4,928.69","4,852.52","36,597,733","607,491,926,861","57,151,201,228,762",Ã¶°­±Ý¼Ó
14,2023/03/24,"4,811.38",2,-84.96,-1.74,"4,885.75","4,895.52","4,786.30","50,265,236","505,128,182,207","56,123,506,994,007",Ã¶°­±Ý¼Ó
15,2023/03/23,"4,896.34",1,6.25,0.13,"4,842.48","4,930.27","4,834.13","149,167,994","1,004,209,165,261","57,114,238,120,433",Ã¶°­±Ý¼Ó
16,2023/03/22,"4,890.09",1,93.46,1.95,"4,865.01","4,950.74","4,851.03","184,654,421","967,255,606,481","57,040,431,190,495",Ã¶°­±Ý¼Ó
17,2023/03/21,"4,796.63",1,33.68,0.71,"4,835.17","4,835.92","4,794.24","40,738,405","397,650,124,808","55,950,419,165,120",Ã¶°­±Ý¼Ó
18,2023/03/20,"4,762.95",1,0.43,0.01,"4,745.80","4,825.00","4,718.28","23,400,449","395,399,363,685","55,557,591,302,077",Ã¶°­±Ý¼Ó
19,2023/03/17,"4,762.52",2,-19.57,-0.41,"4,846.34","4,870.08","4,751.29","15,539,869","437,440,777,252","55,552,706,129,370",Ã¶°­±Ý¼Ó
20,2023/03/16,"4,782.09",2,-55.92,-1.16,"4,758.66","4,813.23","4,719.42","27,857,067","529,715,775,999","55,780,639,873,407",Ã¶°­±Ý¼Ó
21,2023/03/15,"4,838.01",1,133.57,2.84,"4,799.77","4,876.42","4,767.81","47,834,435","653,668,918,298","56,433,099,021,738",Ã¶°­±Ý¼Ó
22,2023/03/14,"4,704.44",2,-158.77,-3.26,"4,805.22","4,825.74","4,704.44","17,971,679","366,411,573,392","54,875,360,619,639",Ã¶°­±Ý¼Ó
23,2023/03/13,"4,863.21",1,59.45,1.24,"4,781.42","4,869.99","4,739.40","17,463,870","362,657,611,310","56,726,878,382,896",Ã¶°­±Ý¼Ó
24,2023/03/10,"4,803.76",2,-51.52,-1.06,"4,756.92","4,850.33","4,749.35","41,652,936","442,310,962,831","56,033,780,963,023",Ã¶°­±Ý¼Ó
25,2023/03/09,"4,855.28",2,-66.90,-1.36,"4,942.69","4,973.11","4,850.66","18,793,139","465,515,888,914","56,634,473,674,741",Ã¶°­±Ý¼Ó
26,2023/03/08,"4,922.18",2,-124.32,-2.46,"4,958.81","4,978.30","4,904.00","26,065,255","432,131,197,771","57,414,707,397,332",Ã¶°­±Ý¼Ó
27,2023/03/07,"5,046.50",1,54.54,1.09,"4,997.41","5,119.89","4,991.81","28,776,658","636,156,704,037","58,864,688,416,159",Ã¶°­±Ý¼Ó
28,2023/03/06,"4,991.96",2,-68.52,-1.35,"5,080.76","5,080.76","4,920.92","37,450,569","717,192,834,212","58,228,922,440,323",Ã¶°­±Ý¼Ó
29,2023/03/03,"5,060.48",2,-22.37,-0.44,"5,119.09","5,137.30","5,034.01","18,703,496","465,571,442,640","59,027,992,907,366",Ã¶°­±Ý¼Ó
30,2023/03/02,"5,082.85",1,205.29,4.21,"4,945.19","5,146.57","4,945.19","25,569,111","717,573,766,635","59,289,025,523,123",Ã¶°­±Ý¼Ó
31,2023/02/28,"4,877.56",2,-48.66,-0.99,"4,985.67","4,985.67","4,857.78","24,457,871","686,178,500,995","56,895,551,394,254",Ã¶°­±Ý¼Ó
32,2023/02/27,"4,926.22",1,8.09,0.16,"4,871.31","4,934.78","4,848.03","23,869,112","584,684,620,029","57,462,567,371,080",Ã¶°­±Ý¼Ó
33,2023/02/24,"4,918.13",2,-118.24,-2.35,"5,031.43","5,043.78","4,897.84","23,415,133","424,134,633,973","57,368,433,012,610",Ã¶°­±Ý¼Ó
34,2023/02/23,"5,036.37",2,-46.15,-0.91,"5,084.27","5,096.53","4,978.35","20,575,404","415,582,313,864","58,747,029,566,577",Ã¶°­±Ý¼Ó
35,2023/02/22,"5,082.52",2,-131.86,-2.53,"5,131.12","5,168.59","5,059.29","33,489,555","700,879,803,349","59,284,905,639,046",Ã¶°­±Ý¼Ó
36,2023/02/21,"5,214.38",1,92.00,1.80,"5,160.64","5,221.62","5,131.28","62,342,639","808,740,214,020","60,822,796,718,896",Ã¶°­±Ý¼Ó
37,2023/02/20,"5,122.38",1,162.40,3.27,"5,028.45","5,134.48","5,016.51","39,151,432","768,597,993,089","59,749,891,427,213",Ã¶°­±Ý¼Ó
38,2023/02/17,"4,959.98",1,86.85,1.78,"4,838.64","5,052.27","4,837.36","36,273,991","750,979,144,470","57,856,073,040,155",Ã¶°­±Ý¼Ó
39,2023/02/16,"4,873.13",1,43.38,0.90,"4,859.73","4,878.12","4,819.14","19,927,505","459,642,371,141","56,843,541,116,130",Ã¶°­±Ý¼Ó
40,2023/02/15,"4,829.75",1,158.05,3.38,"4,695.20","4,902.13","4,683.80","25,772,317","665,985,506,301","56,337,802,378,899",Ã¶°­±Ý¼Ó
41,2023/02/14,"4,671.70",1,35.95,0.78,"4,657.15","4,714.61","4,654.98","32,601,123","389,057,672,721","54,495,110,766,282",Ã¶°­±Ý¼Ó
42,2023/02/13,"4,635.75",1,29.11,0.63,"4,593.25","4,641.05","4,572.64","34,823,687","354,907,888,740","54,075,460,025,441",Ã¶°­±Ý¼Ó
43,2023/02/10,"4,606.64",2,-32.89,-0.71,"4,622.44","4,622.44","4,560.46","30,459,342","343,035,031,944","53,735,867,148,987",Ã¶°­±Ý¼Ó
44,2023/02/09,"4,639.53",1,52.69,1.15,"4,576.07","4,658.06","4,567.29","16,748,497","306,144,254,863","54,119,281,418,631",Ã¶°­±Ý¼Ó
45,2023/02/08,"4,586.84",1,18.26,0.40,"4,593.28","4,634.22","4,581.97","13,164,107","238,540,632,092","53,351,164,966,778",Ã¶°­±Ý¼Ó
46,2023/02/07,"4,568.58",2,-8.64,-0.19,"4,569.73","4,583.23","4,533.75","36,669,980","372,922,470,214","53,139,048,649,454",Ã¶°­±Ý¼Ó
47,2023/02/06,"4,577.22",2,-39.55,-0.86,"4,585.46","4,632.96","4,571.20","21,633,469","258,934,388,076","53,239,335,846,838",Ã¶°­±Ý¼Ó
48,2023/02/03,"4,616.77",2,-24.93,-0.54,"4,617.43","4,634.89","4,576.76","11,381,078","245,771,408,168","53,699,368,208,588",Ã¶°­±Ý¼Ó
49,2023/02/02,"4,641.70",2,-9.07,-0.20,"4,699.44","4,705.25","4,620.63","22,553,126","332,378,954,837","53,989,355,313,880",Ã¶°­±Ý¼Ó
50,2023/02/01,"4,650.77",1,43.35,0.94,"4,632.47","4,656.46","4,617.27","12,082,570","203,270,477,065","54,094,627,445,998",Ã¶°­±Ý¼Ó
51,2023/01/31,"4,607.42",2,-63.22,-1.35,"4,691.59","4,691.59","4,604.42","19,249,807","287,681,126,823","53,590,442,090,488",Ã¶°­±Ý¼Ó
52,2023/01/30,"4,670.64",2,-97.71,-2.05,"4,756.21","4,794.33","4,661.73","12,233,555","312,830,409,551","54,325,972,960,837",Ã¶°­±Ý¼Ó
53,2023/01/27,"4,768.35",2,-10.40,-0.22,"4,782.06","4,793.77","4,731.85","12,661,423","216,748,203,211","55,462,198,004,215",Ã¶°­±Ý¼Ó
54,2023/01/26,"4,778.75",1,123.23,2.65,"4,661.80","4,778.75","4,642.62","26,496,425","305,362,419,243","55,540,378,366,720",Ã¶°­±Ý¼Ó
55,2023/01/25,"4,655.52",2,-53.73,-1.14,"4,737.26","4,746.16","4,644.97","10,547,413","209,555,480,752","54,108,118,917,788",Ã¶°­±Ý¼Ó
56,2023/01/20,"4,709.25",1,103.02,2.24,"4,609.49","4,711.10","4,601.31","9,949,781","179,566,508,966","54,732,620,654,395",Ã¶°­±Ý¼Ó
57,2023/01/19,"4,606.23",1,14.35,0.31,"4,560.34","4,641.99","4,556.50","7,295,488","141,422,705,832","53,535,915,802,328",Ã¶°­±Ý¼Ó
58,2023/01/18,"4,591.88",2,-56.66,-1.22,"4,646.30","4,649.93","4,575.60","11,386,370","212,793,629,644","53,368,583,314,353",Ã¶°­±Ý¼Ó
59,2023/01/17,"4,648.54",2,-63.85,-1.35,"4,696.47","4,745.08","4,642.64","13,288,367","209,352,305,019","54,026,023,570,429",Ã¶°­±Ý¼Ó
60,2023/01/16,"4,712.39",1,52.13,1.12,"4,663.90","4,738.36","4,646.34","11,158,797","266,077,774,523","54,767,707,427,853",Ã¶°­±Ý¼Ó
61,2023/01/13,"4,660.26",1,145.65,3.23,"4,571.32","4,673.19","4,570.20","17,095,530","364,477,023,816","54,161,552,141,438",Ã¶°­±Ý¼Ó
