,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"2,507.33",1,6.80,0.27,"2,484.40","2,507.33","2,481.52","101,191,783","7,382,508,048,671","1,602,836,329,799,560",코스피 100
1,2023/04/12,"2,500.53",1,8.16,0.33,"2,492.11","2,505.30","2,482.77","103,136,155","8,570,980,894,853","1,595,554,477,564,230",코스피 100
2,2023/04/11,"2,492.37",1,33.95,1.38,"2,471.11","2,497.64","2,462.64","89,083,014","8,385,486,006,865","1,594,722,429,068,490",코스피 100
3,2023/04/10,"2,458.42",1,24.65,1.01,"2,433.15","2,471.08","2,432.09","83,403,487","7,651,869,050,120","1,571,195,395,858,790",코스피 100
4,2023/04/07,"2,433.77",1,43.89,1.84,"2,417.99","2,438.23","2,412.88","86,870,620","6,615,695,619,910","1,554,552,341,209,030",코스피 100
5,2023/04/06,"2,389.88",2,-44.26,-1.82,"2,424.51","2,424.51","2,389.59","91,079,220","6,596,270,649,284","1,532,370,522,888,290",코스피 100
6,2023/04/05,"2,434.14",1,15.28,0.63,"2,421.11","2,437.12","2,416.07","70,958,242","5,399,992,666,450","1,557,065,945,718,000",코스피 100
7,2023/04/04,"2,418.86",1,8.90,0.37,"2,414.09","2,427.39","2,408.49","95,218,409","7,636,187,855,489","1,546,257,510,717,740",코스피 100
8,2023/04/03,"2,409.96",2,-13.17,-0.54,"2,431.96","2,431.96","2,404.86","77,227,310","5,856,933,522,367","1,541,786,927,240,670",코스피 100
9,2023/03/31,"2,423.13",1,29.39,1.23,"2,405.40","2,426.73","2,400.85","109,941,955","7,760,423,587,728","1,548,013,214,616,670",코스피 100
10,2023/03/30,"2,393.74",1,6.42,0.27,"2,399.45","2,404.69","2,386.10","87,296,736","6,104,913,889,418","1,530,852,659,870,900",코스피 100
11,2023/03/29,"2,387.32",1,3.56,0.15,"2,377.82","2,387.34","2,372.15","72,666,995","4,291,007,044,161","1,526,189,371,632,420",코스피 100
12,2023/03/28,"2,383.76",1,25.00,1.06,"2,369.00","2,383.76","2,364.24","75,173,260","4,467,774,794,437","1,522,596,634,900,160",코스피 100
13,2023/03/27,"2,358.76",2,-12.37,-0.52,"2,374.64","2,374.64","2,348.30","62,516,705","4,561,973,479,996","1,507,728,232,088,390",코스피 100
14,2023/03/24,"2,371.13",2,-11.94,-0.50,"2,378.91","2,383.90","2,357.50","72,834,975","4,885,557,463,296","1,512,984,802,771,350",코스피 100
15,2023/03/23,"2,383.07",1,14.42,0.61,"2,348.34","2,383.07","2,348.33","71,259,917","5,033,799,695,476","1,521,311,172,196,580",코스피 100
16,2023/03/22,"2,368.65",1,31.82,1.36,"2,359.75","2,369.62","2,351.27","58,530,784","4,131,724,602,705","1,514,297,898,975,070",코스피 100
17,2023/03/21,"2,336.83",1,5.88,0.25,"2,348.88","2,350.24","2,331.44","55,802,274","3,485,444,083,682","1,492,435,524,249,300",코스피 100
18,2023/03/20,"2,330.95",2,-21.28,-0.90,"2,347.74","2,360.18","2,330.18","57,559,122","3,624,026,316,416","1,488,134,728,809,560",코스피 100
19,2023/03/17,"2,352.23",1,28.61,1.23,"2,353.00","2,356.32","2,335.08","86,766,527","5,798,985,590,202","1,501,468,693,652,900",코스피 100
20,2023/03/16,"2,323.62",2,-3.35,-0.14,"2,302.54","2,330.21","2,294.92","75,531,147","5,379,809,300,386","1,489,923,287,952,810",코스피 100
21,2023/03/15,"2,326.97",1,24.91,1.08,"2,333.34","2,345.19","2,317.63","77,282,949","4,687,078,705,203","1,488,689,844,442,000",코스피 100
22,2023/03/14,"2,302.06",2,-56.37,-2.39,"2,334.87","2,335.45","2,301.04","85,172,691","4,903,863,727,052","1,471,093,963,429,920",코스피 100
23,2023/03/13,"2,358.43",1,21.56,0.92,"2,346.05","2,362.30","2,319.92","79,676,306","5,020,293,356,703","1,507,435,230,112,570",코스피 100
24,2023/03/10,"2,336.87",2,-23.82,-1.01,"2,330.83","2,341.88","2,324.24","80,631,466","4,799,187,115,566","1,493,245,453,550,440",코스피 100
25,2023/03/09,"2,360.69",2,-11.96,-0.50,"2,381.65","2,386.01","2,357.81","111,427,218","6,468,252,755,509","1,506,117,867,487,260",코스피 100
26,2023/03/08,"2,372.65",2,-34.11,-1.42,"2,378.89","2,384.34","2,368.33","94,912,268","6,077,157,767,958","1,515,850,253,308,510",코스피 100
27,2023/03/07,"2,406.76",2,-9.40,-0.39,"2,409.04","2,424.02","2,405.93","75,937,631","6,522,598,949,547","1,537,290,879,929,890",코스피 100
28,2023/03/06,"2,416.16",1,37.93,1.59,"2,400.43","2,418.58","2,391.82","78,017,900","5,882,167,489,153","1,538,123,224,392,590",코스피 100
29,2023/03/03,"2,378.23",2,-0.39,-0.02,"2,389.42","2,393.37","2,371.40","67,667,545","4,583,407,387,256","1,515,469,913,106,020",코스피 100
30,2023/03/02,"2,378.62",1,9.24,0.39,"2,372.97","2,398.49","2,364.97","80,098,018","5,405,464,206,612","1,513,757,282,187,660",코스피 100
31,2023/02/28,"2,369.38",1,6.76,0.29,"2,376.67","2,391.28","2,364.51","86,609,118","5,603,191,912,036","1,505,806,608,691,020",코스피 100
32,2023/02/27,"2,362.62",2,-21.95,-0.92,"2,364.28","2,365.51","2,345.23","60,608,560","3,901,666,451,350","1,499,210,656,964,360",코스피 100
33,2023/02/24,"2,384.57",2,-19.30,-0.80,"2,407.72","2,418.00","2,384.44","70,079,315","4,202,890,457,672","1,512,930,690,430,080",코스피 100
34,2023/02/23,"2,403.87",1,26.02,1.09,"2,391.97","2,416.55","2,387.60","75,094,478","4,664,966,796,955","1,523,211,894,026,090",코스피 100
35,2023/02/22,"2,377.85",2,-42.61,-1.76,"2,392.86","2,398.78","2,377.33","73,816,828","4,833,477,760,536","1,509,513,398,751,270",코스피 100
36,2023/02/21,"2,420.46",2,-3.38,-0.14,"2,426.68","2,430.53","2,410.41","67,691,206","4,208,384,046,098","1,536,566,009,222,720",코스피 100
37,2023/02/20,"2,423.84",1,7.18,0.30,"2,418.60","2,433.06","2,396.95","66,601,062","4,768,899,655,173","1,534,184,038,443,360",코스피 100
38,2023/02/17,"2,416.66",2,-27.09,-1.11,"2,413.37","2,438.67","2,413.21","69,207,002","4,760,352,421,298","1,533,288,094,298,020",코스피 100
39,2023/02/16,"2,443.75",1,46.15,1.92,"2,412.98","2,445.79","2,410.25","88,337,135","5,899,089,232,926","1,551,807,883,742,020",코스피 100
40,2023/02/15,"2,397.60",2,-41.16,-1.69,"2,446.22","2,446.75","2,392.95","94,370,546","6,056,046,328,988","1,520,361,484,136,380",코스피 100
41,2023/02/14,"2,438.76",1,13.74,0.57,"2,446.48","2,456.58","2,434.03","67,861,807","4,432,149,453,510","1,544,303,497,326,740",코스피 100
42,2023/02/13,"2,425.02",2,-15.48,-0.63,"2,432.45","2,434.39","2,410.75","79,179,073","4,761,036,872,857","1,535,595,444,794,150",코스피 100
43,2023/02/10,"2,440.50",2,-10.04,-0.41,"2,437.95","2,444.18","2,424.86","84,004,906","5,323,156,766,654","1,546,416,200,023,610",코스피 100
44,2023/02/09,"2,450.54",2,-5.43,-0.22,"2,441.31","2,456.57","2,434.01","86,361,675","5,958,049,039,364","1,554,372,558,870,780",코스피 100
45,2023/02/08,"2,455.97",1,40.13,1.66,"2,437.42","2,462.00","2,434.36","86,359,971","5,348,185,903,638","1,555,827,495,999,680",코스피 100
46,2023/02/07,"2,415.84",1,14.54,0.61,"2,405.51","2,422.65","2,396.74","74,810,781","4,835,613,272,512","1,533,311,769,865,990",코스피 100
47,2023/02/06,"2,401.30",2,-55.97,-2.28,"2,433.94","2,438.96","2,401.28","74,098,217","4,670,758,727,709","1,522,370,285,553,470",코스피 100
48,2023/02/03,"2,457.27",1,15.43,0.63,"2,439.60","2,461.85","2,432.21","83,836,777","5,722,458,348,888","1,554,644,591,744,230",코스피 100
49,2023/02/02,"2,441.84",1,22.58,0.93,"2,456.38","2,461.83","2,426.64","101,357,497","6,325,305,546,802","1,546,015,536,200,190",코스피 100
50,2023/02/01,"2,419.26",1,32.03,1.34,"2,413.94","2,421.96","2,398.69","92,705,052","5,611,892,254,901","1,532,073,312,351,500",코스피 100
51,2023/01/31,"2,387.23",2,-46.71,-1.92,"2,434.20","2,437.23","2,386.73","148,187,146","7,705,964,383,571","1,514,235,772,882,530",코스피 100
52,2023/01/30,"2,433.94",2,-40.13,-1.62,"2,475.17","2,480.75","2,431.33","85,415,661","6,430,241,720,790","1,537,092,283,155,910",코스피 100
53,2023/01/27,"2,474.07",1,19.02,0.77,"2,460.22","2,486.65","2,450.93","105,689,905","6,421,215,419,994","1,559,553,886,914,680",코스피 100
54,2023/01/26,"2,455.05",1,37.46,1.55,"2,426.09","2,455.05","2,416.05","74,375,712","5,517,210,656,642","1,549,037,065,669,550",코스피 100
55,2023/01/25,"2,417.59",1,42.26,1.78,"2,416.77","2,422.57","2,408.75","66,975,312","4,435,500,866,104","1,521,054,533,172,130",코스피 100
56,2023/01/20,"2,375.33",1,13.67,0.58,"2,363.82","2,376.78","2,352.68","51,961,230","3,333,485,844,365","1,496,336,249,425,250",코스피 100
57,2023/01/19,"2,361.66",1,14.99,0.64,"2,333.15","2,361.66","2,333.15","55,922,174","3,588,722,448,736","1,486,400,689,309,580",코스피 100
58,2023/01/18,"2,346.67",2,-14.16,-0.60,"2,359.45","2,362.91","2,332.80","60,129,706","3,670,242,391,807","1,478,302,248,846,090",코스피 100
59,2023/01/17,"2,360.83",2,-18.77,-0.79,"2,380.96","2,382.33","2,354.47","62,810,639","3,983,319,822,356","1,485,805,777,686,670",코스피 100
60,2023/01/16,"2,379.60",1,17.15,0.73,"2,367.47","2,392.04","2,365.42","78,994,051","4,264,034,169,170","1,500,666,241,001,130",코스피 100
61,2023/01/13,"2,362.45",1,23.50,1.00,"2,351.00","2,374.15","2,348.65","83,641,903","4,642,954,066,373","1,492,084,769,092,220",코스피 100
62,2023/01/12,"2,338.95",1,0.86,0.04,"2,356.03","2,356.80","2,330.64","85,092,014","4,940,860,150,678","1,478,025,382,210,160",코스피 100
63,2023/01/11,"2,338.09",1,5.30,0.23,"2,348.83","2,354.67","2,329.15","71,703,187","4,285,779,492,120","1,475,918,815,286,670",코스피 100
64,2023/01/10,"2,332.79",2,-1.56,-0.07,"2,326.00","2,351.17","2,323.01","74,024,303","4,624,534,223,847","1,471,676,762,215,390",코스피 100
65,2023/01/09,"2,334.35",1,61.12,2.69,"2,300.51","2,335.01","2,296.61","83,854,470","5,092,961,440,950","1,471,821,767,419,920",코스피 100
