,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,330.08",1,9.59,0.73,"1,309.99","1,330.08","1,308.49","25,699,464","2,850,035,191,146","902,758,128,120,600",코스피 200 TOP 10
1,2023/04/12,"1,320.49",2,-10.13,-0.76,"1,331.11","1,334.18","1,313.90","27,471,468","3,272,779,488,362","897,457,727,149,300",코스피 200 TOP 10
2,2023/04/11,"1,330.62",1,37.82,2.93,"1,301.57","1,336.94","1,301.32","31,533,758","4,217,993,910,840","904,724,342,106,200",코스피 200 TOP 10
3,2023/04/10,"1,292.80",1,17.33,1.36,"1,276.28","1,299.93","1,272.69","29,989,598","3,162,987,867,185","889,022,408,738,600",코스피 200 TOP 10
4,2023/04/07,"1,275.47",1,9.73,0.77,"1,276.65","1,280.07","1,271.12","42,951,400","3,688,654,247,500","875,893,200,782,000",코스피 200 TOP 10
5,2023/04/06,"1,265.74",2,-22.40,-1.74,"1,283.41","1,284.94","1,264.72","27,537,314","2,813,276,358,483","857,294,227,649,900",코스피 200 TOP 10
6,2023/04/05,"1,288.14",1,16.85,1.33,"1,272.36","1,290.56","1,270.06","17,708,814","1,956,444,763,350","873,993,266,347,300",코스피 200 TOP 10
7,2023/04/04,"1,271.29",2,-4.52,-0.35,"1,274.18","1,287.40","1,267.95","32,460,029","3,203,897,620,799","864,090,381,010,600",코스피 200 TOP 10
8,2023/04/03,"1,275.81",2,-7.73,-0.60,"1,291.90","1,291.90","1,272.15","19,118,795","1,956,121,039,248","865,255,420,489,600",코스피 200 TOP 10
9,2023/03/31,"1,283.54",1,14.44,1.14,"1,273.28","1,285.40","1,268.48","22,540,865","2,250,503,977,883","872,337,244,589,800",코스피 200 TOP 10
10,2023/03/30,"1,269.10",1,0.66,0.05,"1,273.63","1,273.74","1,264.58","24,790,024","2,334,208,517,842","864,167,521,276,800",코스피 200 TOP 10
11,2023/03/29,"1,268.44",1,6.43,0.51,"1,258.34","1,268.44","1,257.81","18,786,826","1,904,010,891,170","860,561,320,412,100",코스피 200 TOP 10
12,2023/03/28,"1,262.01",1,9.91,0.79,"1,255.10","1,262.01","1,249.28","18,602,594","1,832,103,356,912","859,353,090,727,000",코스피 200 TOP 10
13,2023/03/27,"1,252.10",2,-8.83,-0.70,"1,265.53","1,265.53","1,245.34","19,421,082","2,036,379,889,500","850,800,099,965,200",코스피 200 TOP 10
14,2023/03/24,"1,260.93",2,-15.11,-1.18,"1,274.22","1,274.66","1,250.91","27,639,725","2,537,683,920,316","857,297,412,389,600",코스피 200 TOP 10
