,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,306.13,2,-0.66,-0.22,304.37,306.98,298.95,"5,327,446","434,663,849,045","48,339,219,096,580",코스피 200 건설
1,2023/04/12,306.79,1,0.99,0.32,306.14,311.97,305.43,"6,970,169","518,634,471,490","48,430,344,356,930",코스피 200 건설
2,2023/04/11,305.80,1,4.43,1.47,302.23,306.79,300.44,"5,600,519","499,210,437,170","48,629,104,590,420",코스피 200 건설
3,2023/04/10,301.37,2,-0.47,-0.16,301.88,304.38,299.33,"6,261,575","633,191,651,440","47,891,555,612,860",코스피 200 건설
4,2023/04/07,301.84,1,1.79,0.60,299.89,302.42,297.68,"6,130,102","355,805,880,335","47,545,499,777,800",코스피 200 건설
5,2023/04/06,300.05,2,-4.37,-1.44,302.27,304.55,299.35,"7,792,498","383,859,554,750","47,237,294,347,500",코스피 200 건설
6,2023/04/05,304.42,1,0.97,0.32,304.78,306.28,301.54,"6,054,498","356,227,154,305","47,614,144,399,920",코스피 200 건설
7,2023/04/04,303.45,2,-0.35,-0.12,304.55,308.45,301.65,"6,639,344","537,987,229,510","47,189,755,928,790",코스피 200 건설
8,2023/04/03,303.80,1,6.08,2.04,301.23,307.12,300.18,"9,149,512","624,946,132,970","47,446,862,501,810",코스피 200 건설
9,2023/03/31,297.72,1,6.71,2.31,290.65,301.55,290.32,"11,006,446","718,786,671,015","46,066,967,499,490",코스피 200 건설
10,2023/03/30,291.01,1,1.44,0.50,289.77,293.24,285.93,"9,081,535","400,076,476,570","44,756,813,662,950",코스피 200 건설
11,2023/03/29,289.57,1,0.92,0.32,288.12,290.65,286.78,"5,715,236","314,614,265,965","44,883,661,536,250",코스피 200 건설
12,2023/03/28,288.65,1,3.39,1.19,286.56,288.65,284.34,"5,768,562","329,361,511,650","44,739,716,446,750",코스피 200 건설
13,2023/03/27,285.26,2,-0.51,-0.18,288.28,291.25,284.44,"5,566,124","530,824,845,620","44,321,276,928,310",코스피 200 건설
14,2023/03/24,285.77,1,0.50,0.18,285.60,286.03,281.65,"5,239,720","402,296,229,365","44,183,333,719,830",코스피 200 건설
15,2023/03/23,285.27,2,-0.76,-0.27,283.86,287.39,282.18,"7,276,974","591,007,814,190","44,055,260,531,540",코스피 200 건설
16,2023/03/22,286.03,2,-0.57,-0.20,289.09,290.17,285.53,"5,454,799","332,686,407,660","43,862,064,662,870",코스피 200 건설
17,2023/03/21,286.60,2,-0.87,-0.30,289.43,291.70,285.42,"6,693,893","390,234,841,390","43,689,616,213,600",코스피 200 건설
18,2023/03/20,287.47,2,-0.32,-0.11,286.68,292.61,285.84,"5,535,595","331,832,594,595","43,576,233,656,580",코스피 200 건설
19,2023/03/17,287.79,2,-3.35,-1.15,293.04,294.05,287.48,"7,324,986","539,402,025,640","43,872,495,713,350",코스피 200 건설
20,2023/03/16,291.14,1,4.39,1.53,285.94,294.35,285.73,"9,360,309","1,125,655,649,710","45,055,648,611,910",코스피 200 건설
21,2023/03/15,286.75,1,8.81,3.17,283.70,289.08,282.10,"7,448,589","397,229,837,150","43,171,766,364,360",코스피 200 건설
22,2023/03/14,277.94,2,-8.20,-2.87,285.58,286.35,276.18,"7,198,866","382,893,454,540","42,085,064,847,650",코스피 200 건설
23,2023/03/13,286.14,1,0.47,0.16,284.70,286.19,278.30,"6,927,786","373,362,099,510","43,420,792,541,280",코스피 200 건설
24,2023/03/10,285.67,2,-2.84,-0.98,285.25,291.37,284.43,"8,548,983","412,364,635,350","43,340,490,283,430",코스피 200 건설
25,2023/03/09,288.51,1,3.24,1.14,287.42,290.11,284.73,"14,555,796","979,083,011,520","43,938,334,358,000",코스피 200 건설
26,2023/03/08,285.27,2,-0.83,-0.29,283.06,285.44,281.38,"7,227,091","598,141,865,655","44,127,713,582,480",코스피 200 건설
27,2023/03/07,286.10,1,8.10,2.91,277.40,289.69,277.20,"9,672,255","1,263,380,932,295","44,051,923,620,470",코스피 200 건설
28,2023/03/06,278.00,1,0.16,0.06,281.10,282.19,275.70,"5,702,035","436,866,334,620","41,999,209,139,770",코스피 200 건설
29,2023/03/03,277.84,1,2.93,1.07,276.70,279.47,274.15,"5,406,937","453,759,641,259","41,717,966,816,300",코스피 200 건설
30,2023/03/02,274.91,1,3.01,1.11,271.58,277.66,271.56,"7,660,376","418,160,597,375","40,860,233,276,870",코스피 200 건설
31,2023/02/28,271.90,2,-3.84,-1.39,277.45,278.45,271.33,"7,751,508","403,056,205,442","40,725,521,367,090",코스피 200 건설
32,2023/02/27,275.74,2,-0.26,-0.09,273.70,275.85,271.36,"4,941,502","249,928,410,865","41,008,040,978,810",코스피 200 건설
33,2023/02/24,276.00,2,-3.89,-1.39,279.63,281.60,275.54,"5,185,513","245,943,889,685","40,827,534,655,080",코스피 200 건설
34,2023/02/23,279.89,1,0.39,0.14,280.86,281.85,274.60,"6,186,182","308,953,871,750","41,302,706,025,060",코스피 200 건설
35,2023/02/22,279.50,2,-6.32,-2.21,280.95,283.65,278.66,"6,526,671","346,259,213,445","41,332,939,478,550",코스피 200 건설
36,2023/02/21,285.82,1,6.90,2.47,279.63,287.46,278.60,"10,690,048","475,224,538,580","42,247,462,382,380",코스피 200 건설
37,2023/02/20,278.92,2,-1.71,-0.61,281.04,281.44,275.72,"6,431,510","540,917,484,175","41,243,825,677,640",코스피 200 건설
38,2023/02/17,280.63,1,2.02,0.73,276.33,284.36,275.86,"11,644,584","633,675,133,370","41,685,999,269,750",코스피 200 건설
39,2023/02/16,278.61,1,5.86,2.15,275.42,279.17,274.64,"4,981,484","310,158,557,015","41,940,182,168,070",코스피 200 건설
40,2023/02/15,272.75,2,-4.36,-1.57,277.77,278.92,272.52,"5,871,611","394,364,571,075","41,131,621,594,280",코스피 200 건설
41,2023/02/14,277.11,1,0.72,0.26,278.16,278.84,275.48,"4,552,320","256,347,327,175","41,570,169,937,430",코스피 200 건설
42,2023/02/13,276.39,1,0.47,0.17,274.99,277.85,273.55,"6,228,957","333,819,148,945","41,456,247,768,050",코스피 200 건설
43,2023/02/10,275.92,2,-1.03,-0.37,277.09,277.95,273.61,"6,028,061","462,564,742,000","41,418,397,578,770",코스피 200 건설
44,2023/02/09,276.95,1,3.96,1.45,271.56,277.74,271.20,"6,400,528","626,019,296,230","42,231,675,275,510",코스피 200 건설
