,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,566.47",1,2.12,0.14,"1,556.44","1,566.47","1,546.02","13,440,715","633,000,351,609","155,773,449,972,270",코스피 200 경기소비재
1,2023/04/12,"1,564.35",1,36.42,2.38,"1,546.36","1,568.37","1,544.86","21,198,844","1,072,668,556,910","155,488,475,437,435",코스피 200 경기소비재
2,2023/04/11,"1,527.93",1,50.49,3.42,"1,480.26","1,530.19","1,477.02","19,861,701","982,165,633,760","151,949,129,208,700",코스피 200 경기소비재
3,2023/04/10,"1,477.44",1,2.40,0.16,"1,475.21","1,488.18","1,465.68","13,056,924","446,968,891,415","146,845,804,513,310",코스피 200 경기소비재
4,2023/04/07,"1,475.04",2,-7.16,-0.48,"1,483.69","1,483.69","1,472.35","8,300,462","396,830,367,440","146,539,238,174,205",코스피 200 경기소비재
5,2023/04/06,"1,482.20",2,-16.53,-1.10,"1,502.00","1,507.42","1,480.65","12,843,226","533,009,668,522","147,145,721,162,550",코스피 200 경기소비재
6,2023/04/05,"1,498.73",1,12.97,0.87,"1,491.30","1,502.05","1,487.06","9,751,542","451,056,796,554","148,759,880,066,420",코스피 200 경기소비재
7,2023/04/04,"1,485.76",2,-1.90,-0.13,"1,488.43","1,497.57","1,481.42","9,883,787","431,037,763,975","147,388,313,040,430",코스피 200 경기소비재
8,2023/04/03,"1,487.66",2,-6.84,-0.46,"1,495.50","1,501.60","1,484.23","9,170,641","418,324,754,547","147,539,452,475,815",코스피 200 경기소비재
9,2023/03/31,"1,494.50",1,22.44,1.52,"1,481.94","1,497.24","1,479.72","9,907,548","492,725,893,440","148,174,598,240,000",코스피 200 경기소비재
10,2023/03/30,"1,472.06",1,0.83,0.06,"1,461.83","1,479.48","1,456.95","9,956,711","455,259,369,020","145,918,484,742,805",코스피 200 경기소비재
11,2023/03/29,"1,471.23",1,24.59,1.70,"1,451.15","1,472.20","1,450.83","9,414,829","467,249,261,630","145,740,841,866,190",코스피 200 경기소비재
12,2023/03/28,"1,446.64",1,12.80,0.89,"1,438.92","1,446.64","1,434.23","6,592,009","299,862,219,915","143,234,251,189,785",코스피 200 경기소비재
13,2023/03/27,"1,433.84",2,-4.12,-0.29,"1,437.65","1,437.86","1,421.43","7,946,541","402,179,770,885","141,941,489,135,915",코스피 200 경기소비재
14,2023/03/24,"1,437.96",2,-19.33,-1.33,"1,446.64","1,451.22","1,427.26","7,517,309","425,437,118,385","142,510,694,758,230",코스피 200 경기소비재
15,2023/03/23,"1,457.29",2,-0.30,-0.02,"1,446.71","1,465.89","1,443.10","9,958,124","506,102,724,920","144,314,808,895,305",코스피 200 경기소비재
16,2023/03/22,"1,457.59",1,11.67,0.81,"1,456.14","1,458.18","1,445.88","8,891,534","430,344,024,480","144,437,829,962,610",코스피 200 경기소비재
17,2023/03/21,"1,445.92",1,8.64,0.60,"1,449.40","1,454.67","1,439.18","7,016,912","310,535,380,541","143,026,495,672,595",코스피 200 경기소비재
18,2023/03/20,"1,437.28",2,-19.44,-1.33,"1,457.67","1,459.21","1,436.66","7,455,052","365,176,998,130","142,273,525,949,685",코스피 200 경기소비재
19,2023/03/17,"1,456.72",1,20.59,1.43,"1,450.00","1,456.76","1,437.12","9,693,746","470,342,434,060","144,093,964,361,815",코스피 200 경기소비재
20,2023/03/16,"1,436.13",2,-15.87,-1.09,"1,438.92","1,442.35","1,421.86","7,920,069","370,376,691,437","142,109,015,399,455",코스피 200 경기소비재
21,2023/03/15,"1,452.00",1,30.30,2.13,"1,438.34","1,461.68","1,437.19","9,357,655","476,141,302,720","143,548,054,400,980",코스피 200 경기소비재
22,2023/03/14,"1,421.70",2,-43.94,-3.00,"1,456.67","1,458.67","1,420.65","11,920,922","496,654,522,145","140,591,022,626,595",코스피 200 경기소비재
23,2023/03/13,"1,465.64",1,1.50,0.10,"1,462.96","1,468.99","1,450.56","12,674,957","490,121,551,640","144,991,746,077,635",코스피 200 경기소비재
24,2023/03/10,"1,464.14",2,-15.11,-1.02,"1,466.99","1,474.58","1,461.76","8,195,192","383,756,337,453","144,901,896,553,170",코스피 200 경기소비재
25,2023/03/09,"1,479.25",1,8.46,0.58,"1,474.07","1,490.55","1,474.07","12,428,938","638,227,428,675","146,396,028,880,650",코스피 200 경기소비재
26,2023/03/08,"1,470.79",2,-2.54,-0.17,"1,460.99","1,473.16","1,459.66","9,849,444","458,643,288,369","145,577,193,918,070",코스피 200 경기소비재
27,2023/03/07,"1,473.33",2,-19.43,-1.30,"1,485.84","1,489.32","1,473.33","11,917,388","468,822,958,462","145,687,122,163,565",코스피 200 경기소비재
28,2023/03/06,"1,492.76",1,6.34,0.43,"1,496.98","1,498.91","1,484.30","9,727,333","469,927,753,155","147,608,516,994,915",코스피 200 경기소비재
