,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,587.23,1,2.91,0.50,581.99,587.57,580.36,"17,412,139","392,093,376,086","141,831,904,403,930",코스피 200 금융
1,2023/04/12,584.32,1,3.01,0.52,581.09,586.02,580.76,"14,278,804","358,708,963,059","141,023,230,148,600",코스피 200 금융
2,2023/04/11,581.31,1,5.71,0.99,576.25,584.13,574.73,"15,944,630","329,214,269,020","140,144,868,605,760",코스피 200 금융
3,2023/04/10,575.60,2,-4.63,-0.80,577.02,582.40,575.55,"12,649,107","267,059,091,190","138,539,261,295,090",코스피 200 금융
4,2023/04/07,580.23,1,6.49,1.13,573.49,581.80,572.16,"13,104,355","241,993,083,745","139,564,672,566,730",코스피 200 금융
5,2023/04/06,573.74,2,-12.61,-2.15,585.21,585.51,573.70,"16,313,896","331,307,669,981","138,212,661,392,550",코스피 200 금융
6,2023/04/05,586.35,2,-0.18,-0.03,586.78,591.69,585.36,"11,630,939","244,880,424,290","140,999,132,161,010",코스피 200 금융
7,2023/04/04,586.53,1,5.51,0.95,582.26,586.56,578.69,"12,376,238","263,547,971,400","140,940,047,442,080",코스피 200 금융
8,2023/04/03,581.02,2,-5.75,-0.98,587.18,587.18,580.15,"14,695,754","302,650,391,435","139,637,712,475,910",코스피 200 금융
9,2023/03/31,586.77,1,4.47,0.77,581.51,588.80,580.95,"28,790,500","488,193,196,300","143,331,432,912,890",코스피 200 금융
10,2023/03/30,582.30,2,-5.87,-1.00,584.85,587.02,580.14,"53,634,643","647,136,861,181","142,525,872,684,450",코스피 200 금융
11,2023/03/29,588.17,1,2.11,0.36,585.65,590.57,583.23,"13,618,334","327,830,943,820","143,586,689,100,070",코스피 200 금융
12,2023/03/28,586.06,1,11.46,1.99,581.72,587.51,580.32,"15,053,434","354,471,880,925","143,019,101,343,550",코스피 200 금융
13,2023/03/27,574.60,2,-3.38,-0.58,578.74,578.74,570.30,"14,311,698","324,354,500,210","140,493,127,225,270",코스피 200 금융
14,2023/03/24,577.98,2,-15.91,-2.68,586.01,587.41,577.37,"17,369,010","422,107,633,360","141,462,919,143,750",코스피 200 금융
15,2023/03/23,593.89,1,0.18,0.03,588.65,593.89,587.58,"13,808,968","323,656,890,841","145,042,595,141,200",코스피 200 금융
16,2023/03/22,593.71,1,4.21,0.71,597.39,599.37,591.77,"13,510,038","305,360,128,626","145,277,448,113,720",코스피 200 금융
17,2023/03/21,589.50,1,3.48,0.59,589.14,593.88,586.92,"13,921,776","308,685,788,370","144,388,337,011,610",코스피 200 금융
18,2023/03/20,586.02,2,-2.83,-0.48,587.50,596.13,584.81,"14,272,649","318,404,188,145","143,627,498,099,840",코스피 200 금융
19,2023/03/17,588.85,1,5.56,0.95,589.85,594.89,586.52,"25,774,410","582,535,420,066","144,363,795,433,890",코스피 200 금융
20,2023/03/16,583.29,2,-11.91,-2.00,585.96,587.64,581.66,"20,204,256","438,083,270,335","143,022,111,355,630",코스피 200 금융
21,2023/03/15,595.20,1,5.50,0.93,597.06,603.39,592.29,"18,377,939","375,673,762,756","145,587,944,986,160",코스피 200 금융
22,2023/03/14,589.70,2,-18.77,-3.08,598.85,600.32,588.38,"23,789,436","521,480,361,427","144,316,957,108,620",코스피 200 금융
23,2023/03/13,608.47,1,5.70,0.95,602.30,609.36,594.53,"18,374,361","390,927,164,645","149,069,753,137,540",코스피 200 금융
24,2023/03/10,602.77,2,-8.54,-1.40,602.85,605.01,598.74,"22,334,519","469,784,865,608","147,907,233,335,130",코스피 200 금융
25,2023/03/09,611.31,1,0.77,0.13,610.09,618.67,609.41,"27,227,235","567,776,834,261","149,704,634,207,590",코스피 200 금융
26,2023/03/08,610.54,2,-7.18,-1.16,612.61,617.75,609.17,"16,902,721","403,262,381,403","149,110,022,507,270",코스피 200 금융
27,2023/03/07,617.72,2,-0.49,-0.08,615.35,621.11,613.43,"14,995,177","379,277,215,757","150,888,067,307,400",코스피 200 금융
