,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,320.34,1,1.02,0.32,317.42,320.34,317.02,"172,637,257","8,644,091,593,974","1,764,353,887,219,433",코스피 200 비중상한 20%
1,2023/04/12,319.32,1,1.26,0.40,318.19,320.19,317.22,"252,054,775","10,197,042,353,239","1,755,252,529,834,798",코스피 200 비중상한 20%
2,2023/04/11,318.06,1,4.69,1.50,314.88,318.82,313.88,"148,445,298","9,945,339,065,935","1,753,103,698,885,019",코스피 200 비중상한 20%
3,2023/04/10,313.37,1,2.86,0.92,310.53,314.70,310.32,"144,407,683","8,966,998,816,695","1,727,450,440,629,792",코스피 200 비중상한 20%
4,2023/04/07,310.51,1,4.43,1.45,308.74,310.98,307.99,"137,010,801","7,834,873,405,688","1,711,192,261,941,777",코스피 200 비중상한 20%
5,2023/04/06,306.08,2,-5.26,-1.69,310.23,310.27,306.04,"145,369,418","7,946,591,980,582","1,688,551,356,886,839",코스피 200 비중상한 20%
6,2023/04/05,311.34,1,1.77,0.57,309.82,311.77,309.28,"121,196,254","6,690,163,537,030","1,714,970,240,025,787",코스피 200 비중상한 20%
7,2023/04/04,309.57,1,1.19,0.39,308.90,310.64,308.28,"155,302,511","9,273,697,451,851","1,704,545,288,994,283",코스피 200 비중상한 20%
8,2023/04/03,308.38,2,-1.26,-0.41,310.98,310.98,307.74,"137,960,709","7,276,001,574,881","1,698,414,569,393,053",코스피 200 비중상한 20%
9,2023/03/31,309.64,1,3.81,1.25,307.10,310.19,306.74,"194,244,791","9,773,751,592,338","1,707,440,615,398,365",코스피 200 비중상한 20%
10,2023/03/30,305.83,1,0.84,0.28,306.10,307.19,304.46,"187,349,495","7,712,730,924,155","1,688,082,451,298,590",코스피 200 비중상한 20%
11,2023/03/29,304.99,1,0.81,0.27,303.68,305.01,303.02,"152,849,174","5,898,626,574,097","1,682,092,005,706,339",코스피 200 비중상한 20%
12,2023/03/28,304.18,1,3.32,1.10,302.03,304.18,301.46,"120,382,700","5,393,876,425,046","1,677,132,815,147,102",코스피 200 비중상한 20%
13,2023/03/27,300.86,2,-1.06,-0.35,302.65,302.65,299.13,"100,986,815","5,418,111,113,056","1,659,545,248,346,694",코스피 200 비중상한 20%
14,2023/03/24,301.92,2,-1.94,-0.64,303.08,303.59,300.39,"110,748,782","5,880,335,275,191","1,664,398,271,276,447",코스피 200 비중상한 20%
