,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,631.15,1,4.05,0.65,623.67,631.15,622.47,"34,558,686","688,965,479,126","228,080,957,068,753",코스피 200 산업재
1,2023/04/12,627.10,1,2.52,0.40,624.56,631.85,623.05,"93,184,237","910,039,460,706","225,636,292,537,273",코스피 200 산업재
2,2023/04/11,624.58,1,7.91,1.28,620.32,625.71,615.99,"20,786,794","972,634,447,240","229,006,216,345,139",코스피 200 산업재
3,2023/04/10,616.67,1,5.72,0.94,611.81,618.97,610.33,"22,100,207","715,867,772,450","224,836,936,396,062",코스피 200 산업재
4,2023/04/07,610.95,2,-1.91,-0.31,612.79,614.75,610.19,"18,106,119","512,724,459,448","220,696,804,997,852",코스피 200 산업재
5,2023/04/06,612.86,2,-9.37,-1.51,621.72,621.72,612.67,"17,750,419","499,664,831,142","221,058,919,233,639",코스피 200 산업재
6,2023/04/05,622.23,1,5.14,0.83,618.79,623.25,618.47,"18,232,639","585,837,351,721","224,300,593,316,917",코스피 200 산업재
7,2023/04/04,617.09,1,1.58,0.26,616.70,623.22,615.19,"19,867,217","649,424,118,787","220,955,439,824,123",코스피 200 산업재
8,2023/04/03,615.51,2,-0.10,-0.02,615.91,620.59,614.02,"18,774,649","512,140,579,829","222,845,868,329,738",코스피 200 산업재
9,2023/03/31,615.61,1,2.21,0.36,612.62,620.06,610.39,"26,915,690","579,922,913,215","222,493,739,000,125",코스피 200 산업재
10,2023/03/30,613.40,1,5.19,0.85,610.02,616.22,606.02,"20,209,551","526,217,940,166","222,793,376,896,285",코스피 200 산업재
11,2023/03/29,608.21,1,2.69,0.44,606.60,609.48,603.63,"17,587,348","467,015,233,291","220,959,837,180,119",코스피 200 산업재
12,2023/03/28,605.52,1,9.44,1.58,598.42,605.52,597.75,"24,208,980","538,536,662,979","219,336,882,360,397",코스피 200 산업재
13,2023/03/27,596.08,2,-0.68,-0.11,601.57,602.55,592.66,"15,591,661","579,356,130,945","217,000,158,516,309",코스피 200 산업재
14,2023/03/24,596.76,2,-1.63,-0.27,596.75,598.73,591.70,"12,442,894","416,041,322,035","216,141,467,315,207",코스피 200 산업재
15,2023/03/23,598.39,2,-0.54,-0.09,596.40,599.82,595.19,"16,769,154","552,498,886,463","217,596,276,200,079",코스피 200 산업재
16,2023/03/22,598.93,1,1.18,0.20,603.36,603.77,596.02,"14,898,738","702,666,864,513","217,375,575,554,475",코스피 200 산업재
17,2023/03/21,597.75,1,4.62,0.78,597.72,602.97,596.35,"11,151,262","335,739,380,928","211,870,070,584,419",코스피 200 산업재
18,2023/03/20,593.13,2,-3.59,-0.60,595.73,600.70,592.66,"13,183,002","354,476,382,754","210,656,839,231,158",코스피 200 산업재
19,2023/03/17,596.72,2,-0.48,-0.08,601.16,601.50,591.71,"17,615,213","583,224,811,818","213,081,718,580,495",코스피 200 산업재
20,2023/03/16,597.20,2,-1.13,-0.19,593.57,598.62,589.76,"15,866,832","599,021,332,313","217,604,908,566,753",코스피 200 산업재
21,2023/03/15,598.33,1,9.64,1.64,596.04,604.75,593.63,"15,992,836","577,364,286,399","215,686,025,982,712",코스피 200 산업재
22,2023/03/14,588.69,2,-14.61,-2.42,600.16,600.46,588.25,"22,404,152","550,690,342,775","210,695,014,102,656",코스피 200 산업재
23,2023/03/13,603.30,1,3.55,0.59,601.05,604.58,592.94,"19,278,032","509,048,148,126","216,167,320,486,955",코스피 200 산업재
24,2023/03/10,599.75,2,-6.16,-1.02,598.40,603.15,597.16,"15,732,825","440,245,370,234","213,218,223,281,303",코스피 200 산업재
25,2023/03/09,605.91,2,-5.87,-0.96,614.10,615.15,605.28,"19,943,703","613,919,673,004","213,908,647,630,253",코스피 200 산업재
26,2023/03/08,611.78,2,-3.58,-0.58,608.95,614.09,607.57,"20,775,193","595,386,742,555","217,443,554,610,536",코스피 200 산업재
27,2023/03/07,615.36,1,1.11,0.18,613.78,619.61,612.17,"27,047,817","842,089,125,302","218,918,349,340,495",코스피 200 산업재
28,2023/03/06,614.25,1,3.99,0.65,614.25,615.38,608.08,"20,551,286","563,052,474,671","215,060,099,833,842",코스피 200 산업재
29,2023/03/03,610.26,1,0.76,0.12,612.52,613.11,607.13,"17,316,474","454,858,892,275","212,647,529,231,577",코스피 200 산업재
30,2023/03/02,609.50,1,8.69,1.45,600.77,613.15,600.77,"21,744,754","638,730,490,464","211,993,330,727,224",코스피 200 산업재
31,2023/02/28,600.81,2,-0.06,-0.01,605.77,609.38,599.32,"20,181,631","586,070,114,068","208,082,696,003,047",코스피 200 산업재
32,2023/02/27,600.87,2,-7.10,-1.17,605.73,605.73,595.40,"21,238,176","537,032,597,068","205,269,692,302,805",코스피 200 산업재
33,2023/02/24,607.97,1,2.38,0.39,607.16,612.93,605.88,"28,270,451","585,250,316,701","207,130,045,283,929",코스피 200 산업재
34,2023/02/23,605.59,1,5.88,0.98,604.58,607.93,601.50,"29,072,302","537,291,631,832","206,096,188,527,559",코스피 200 산업재
35,2023/02/22,599.71,2,-8.18,-1.35,600.76,604.76,598.78,"21,353,350","565,946,476,253","205,251,873,625,100",코스피 200 산업재
36,2023/02/21,607.89,1,3.33,0.55,604.65,610.82,602.29,"19,264,571","408,707,837,144","208,944,441,486,947",코스피 200 산업재
37,2023/02/20,604.56,2,-6.23,-1.02,610.28,610.45,599.87,"13,598,681","447,941,628,733","207,511,220,971,785",코스피 200 산업재
38,2023/02/17,610.79,2,-2.76,-0.45,608.78,616.09,607.82,"14,039,460","491,263,117,511","211,906,518,291,409",코스피 200 산업재
39,2023/02/16,613.55,1,13.01,2.17,611.63,615.76,609.89,"15,436,756","652,031,595,765","215,452,457,650,234",코스피 200 산업재
40,2023/02/15,600.54,2,-9.18,-1.51,611.63,613.46,600.17,"19,504,735","633,951,708,372","208,881,830,275,613",코스피 200 산업재
41,2023/02/14,609.72,1,3.10,0.51,611.08,613.06,609.31,"15,657,335","514,964,960,541","210,061,292,672,339",코스피 200 산업재
42,2023/02/13,606.62,2,-4.66,-0.76,609.15,609.59,601.92,"19,644,280","566,601,497,180","209,049,656,760,909",코스피 200 산업재
43,2023/02/10,611.28,2,-1.01,-0.16,609.91,611.88,605.54,"18,164,211","560,429,014,062","213,650,311,246,961",코스피 200 산업재
44,2023/02/09,612.29,2,-0.99,-0.16,610.51,615.58,609.89,"17,929,334","573,493,629,763","215,387,019,062,872",코스피 200 산업재
45,2023/02/08,613.28,1,4.37,0.72,611.92,614.73,610.22,"14,457,705","496,872,299,696","214,819,186,920,159",코스피 200 산업재
46,2023/02/07,608.91,1,0.03,0.00,607.92,611.42,605.40,"17,614,338","560,813,376,690","213,307,610,534,516",코스피 200 산업재
47,2023/02/06,608.88,2,-6.30,-1.02,611.54,615.85,604.68,"14,826,854","489,393,647,044","210,045,687,450,122",코스피 200 산업재
48,2023/02/03,615.18,1,0.07,0.01,614.86,617.14,610.03,"18,011,553","573,601,166,459","213,116,600,532,052",코스피 200 산업재
49,2023/02/02,615.11,2,-2.55,-0.41,623.54,623.99,611.32,"23,860,164","685,274,021,273","212,754,689,319,349",코스피 200 산업재
50,2023/02/01,617.66,1,3.15,0.51,617.90,620.63,612.88,"21,803,405","659,012,318,893","211,093,573,437,612",코스피 200 산업재
51,2023/01/31,614.51,1,2.13,0.35,612.69,619.58,609.93,"20,607,238","823,475,159,728","210,332,945,645,989",코스피 200 산업재
52,2023/01/30,612.38,2,-9.52,-1.53,619.61,621.84,610.54,"22,238,486","1,247,127,638,465","207,824,722,658,070",코스피 200 산업재
53,2023/01/27,621.90,1,5.29,0.86,618.47,626.59,614.76,"37,603,368","853,788,733,098","208,776,446,461,485",코스피 200 산업재
54,2023/01/26,616.61,1,11.10,1.83,605.54,617.34,601.57,"21,151,625","682,288,440,105","210,014,684,458,250",코스피 200 산업재
55,2023/01/25,605.51,1,4.48,0.75,603.89,606.18,601.86,"15,919,463","478,979,047,512","201,589,858,905,561",코스피 200 산업재
56,2023/01/20,601.03,1,3.18,0.53,595.93,602.45,592.28,"13,438,952","447,140,557,510","198,063,050,403,555",코스피 200 산업재
57,2023/01/19,597.85,1,0.11,0.02,592.31,599.19,592.31,"14,078,429","426,622,344,810","193,641,594,605,100",코스피 200 산업재
58,2023/01/18,597.74,2,-2.20,-0.37,600.50,602.89,594.92,"17,494,996","518,459,691,110","193,927,756,199,885",코스피 200 산업재
59,2023/01/17,599.94,2,-2.12,-0.35,602.21,605.99,597.79,"22,619,224","634,431,211,630","194,310,864,379,470",코스피 200 산업재
