,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,864.61,2,-0.80,-0.09,864.44,869.63,861.51,"4,402,171","270,610,865,060","89,490,042,198,640",코스피 200 생활소비재
1,2023/04/12,865.41,1,2.78,0.32,861.67,866.22,857.74,"5,263,964","241,651,679,192","88,906,060,648,360",코스피 200 생활소비재
2,2023/04/11,862.63,1,8.02,0.94,852.60,867.21,848.82,"4,480,697","282,265,414,805","88,682,926,381,180",코스피 200 생활소비재
3,2023/04/10,854.61,2,-5.54,-0.64,856.30,860.35,849.05,"5,421,313","232,936,104,685","87,824,766,628,880",코스피 200 생활소비재
4,2023/04/07,860.15,1,2.18,0.25,853.93,861.64,850.19,"3,101,431","227,626,247,470","88,851,268,579,450",코스피 200 생활소비재
5,2023/04/06,857.97,2,-2.51,-0.29,860.50,865.90,856.31,"3,944,658","208,883,203,935","88,700,850,495,450",코스피 200 생활소비재
6,2023/04/05,860.48,2,-3.96,-0.46,864.09,871.91,859.90,"3,264,829","196,250,791,970","88,928,817,386,900",코스피 200 생활소비재
7,2023/04/04,864.44,1,7.29,0.85,859.34,864.58,855.70,"3,367,596","200,670,766,500","89,330,513,781,370",코스피 200 생활소비재
8,2023/04/03,857.15,2,-1.44,-0.17,856.33,863.62,855.15,"3,825,739","206,891,485,650","88,520,277,826,170",코스피 200 생활소비재
9,2023/03/31,858.59,1,1.87,0.22,859.30,865.74,854.79,"7,382,535","298,155,658,810","88,632,528,281,710",코스피 200 생활소비재
10,2023/03/30,856.72,2,-4.16,-0.48,854.56,859.91,850.72,"4,574,256","238,124,734,490","88,407,781,288,200",코스피 200 생활소비재
11,2023/03/29,860.88,1,9.21,1.08,855.16,862.39,854.19,"5,298,970","273,461,476,738","88,707,924,617,500",코스피 200 생활소비재
12,2023/03/28,851.67,1,3.67,0.43,850.15,855.05,845.02,"3,922,927","225,535,943,770","87,777,712,790,450",코스피 200 생활소비재
13,2023/03/27,848.00,1,5.28,0.63,846.45,848.86,836.27,"3,543,676","190,601,579,236","87,242,711,872,210",코스피 200 생활소비재
14,2023/03/24,842.72,2,-4.87,-0.57,839.69,845.32,838.12,"3,495,022","190,135,321,060","86,660,721,513,830",코스피 200 생활소비재
15,2023/03/23,847.59,1,2.50,0.30,844.53,849.46,839.75,"3,495,586","209,045,938,060","87,146,417,028,180",코스피 200 생활소비재
16,2023/03/22,845.09,2,-8.67,-1.02,858.11,858.58,843.86,"3,296,939","205,987,104,630","86,883,325,031,420",코스피 200 생활소비재
17,2023/03/21,853.76,1,4.66,0.55,853.20,855.67,846.60,"3,422,360","187,610,903,580","87,703,722,685,550",코스피 200 생활소비재
18,2023/03/20,849.10,1,2.89,0.34,849.65,860.05,847.17,"4,213,499","231,640,603,170","87,223,994,607,780",코스피 200 생활소비재
19,2023/03/17,846.21,1,18.71,2.26,835.59,848.36,834.26,"6,345,908","371,221,078,620","86,871,230,151,690",코스피 200 생활소비재
20,2023/03/16,827.50,2,-10.14,-1.21,832.19,832.19,824.67,"3,484,915","281,801,625,890","85,081,378,897,760",코스피 200 생활소비재
21,2023/03/15,837.64,1,6.85,0.82,835.44,842.58,834.08,"3,904,127","237,983,016,751","86,117,255,901,290",코스피 200 생활소비재
22,2023/03/14,830.79,2,-13.66,-1.62,838.28,838.84,830.16,"4,126,986","247,411,780,044","85,434,524,484,920",코스피 200 생활소비재
23,2023/03/13,844.45,1,1.31,0.16,845.79,846.11,831.81,"3,629,872","241,280,349,950","86,914,054,553,600",코스피 200 생활소비재
24,2023/03/10,843.14,2,-13.17,-1.54,850.77,850.77,841.24,"4,147,450","290,103,308,868","86,818,470,551,010",코스피 200 생활소비재
25,2023/03/09,856.31,2,-6.12,-0.71,863.97,866.71,855.30,"5,391,053","353,604,795,471","88,245,257,051,150",코스피 200 생활소비재
26,2023/03/08,862.43,2,-13.09,-1.50,867.97,870.29,860.86,"4,427,778","302,487,916,400","88,771,024,183,640",코스피 200 생활소비재
27,2023/03/07,875.52,2,-1.37,-0.16,876.61,880.07,873.12,"3,468,363","235,224,102,770","90,060,133,866,150",코스피 200 생활소비재
28,2023/03/06,876.89,2,-2.95,-0.34,883.11,886.40,876.89,"3,812,444","250,445,280,970","90,183,414,848,620",코스피 200 생활소비재
29,2023/03/03,879.84,2,-0.25,-0.03,881.71,884.54,878.67,"3,220,504","221,352,432,150","90,456,364,572,110",코스피 200 생활소비재
30,2023/03/02,880.09,1,5.42,0.62,875.97,887.91,875.97,"5,167,853","335,439,285,987","90,516,725,855,780",코스피 200 생활소비재
