,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,666.66",1,16.42,1.00,"1,638.53","1,669.06","1,626.91","9,953,052","1,104,826,627,202","159,757,865,586,450",코스피 200 에너지/화학
1,2023/04/12,"1,650.24",2,-31.93,-1.90,"1,673.99","1,695.53","1,650.13","11,686,905","1,282,924,572,080","157,619,042,659,040",코스피 200 에너지/화학
2,2023/04/11,"1,682.17",1,38.47,2.34,"1,667.13","1,706.54","1,652.48","15,472,763","1,953,407,194,640","161,012,230,858,780",코스피 200 에너지/화학
3,2023/04/10,"1,643.70",1,38.53,2.40,"1,617.26","1,655.90","1,613.61","23,138,356","1,612,018,190,810","156,278,868,914,650",코스피 200 에너지/화학
4,2023/04/07,"1,605.17",1,20.08,1.27,"1,585.47","1,613.03","1,575.61","14,996,899","1,109,385,188,620","152,222,703,444,200",코스피 200 에너지/화학
5,2023/04/06,"1,585.09",2,-22.50,-1.40,"1,600.17","1,601.97","1,579.57","16,082,965","1,265,819,270,180","150,978,114,842,280",코스피 200 에너지/화학
6,2023/04/05,"1,607.59",2,-4.93,-0.31,"1,618.43","1,622.89","1,602.23","13,318,465","1,015,598,107,600","153,188,018,070,980",코스피 200 에너지/화학
7,2023/04/04,"1,612.52",1,16.82,1.05,"1,612.30","1,641.50","1,607.13","22,286,204","1,736,116,387,360","153,188,533,965,110",코스피 200 에너지/화학
8,2023/04/03,"1,595.70",2,-11.34,-0.71,"1,622.37","1,623.56","1,591.38","24,714,349","1,222,458,833,128","151,262,292,724,900",코스피 200 에너지/화학
9,2023/03/31,"1,607.04",1,6.09,0.38,"1,603.46","1,616.76","1,590.82","28,194,486","1,764,211,479,330","151,860,059,401,110",코스피 200 에너지/화학
10,2023/03/30,"1,600.95",1,43.55,2.80,"1,560.88","1,618.70","1,549.35","29,679,720","2,049,320,518,250","149,587,979,120,550",코스피 200 에너지/화학
11,2023/03/29,"1,557.40",1,12.89,0.83,"1,544.02","1,558.79","1,542.08","44,887,488","1,077,322,122,530","146,536,710,227,470",코스피 200 에너지/화학
12,2023/03/28,"1,544.51",1,14.63,0.96,"1,537.46","1,544.51","1,529.05","5,285,367","545,169,721,760","145,510,041,249,020",코스피 200 에너지/화학
13,2023/03/27,"1,529.88",1,11.84,0.78,"1,529.25","1,538.67","1,519.20","6,633,658","561,306,926,510","144,082,148,135,000",코스피 200 에너지/화학
14,2023/03/24,"1,518.04",2,-15.11,-0.99,"1,531.62","1,535.31","1,507.97","5,147,449","496,543,154,770","142,891,149,777,170",코스피 200 에너지/화학
15,2023/03/23,"1,533.15",1,1.41,0.09,"1,520.71","1,539.26","1,518.70","8,973,053","623,036,872,810","144,822,660,532,710",코스피 200 에너지/화학
16,2023/03/22,"1,531.74",1,21.71,1.44,"1,524.34","1,531.87","1,518.86","5,724,428","575,723,835,282","144,329,798,172,630",코스피 200 에너지/화학
17,2023/03/21,"1,510.03",1,3.21,0.21,"1,514.97","1,518.62","1,505.48","3,924,236","454,557,164,690","141,751,161,645,080",코스피 200 에너지/화학
18,2023/03/20,"1,506.82",2,-8.58,-0.57,"1,514.81","1,527.19","1,504.26","4,058,478","476,178,776,726","141,692,047,609,050",코스피 200 에너지/화학
19,2023/03/17,"1,515.40",2,-15.20,-0.99,"1,542.26","1,542.34","1,508.48","5,443,402","719,018,263,572","143,017,729,609,810",코스피 200 에너지/화학
20,2023/03/16,"1,530.60",2,-6.41,-0.42,"1,520.71","1,532.56","1,509.44","4,837,477","528,276,785,880","145,075,742,349,220",코스피 200 에너지/화학
