,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,294.51,1,3.90,1.34,290.15,294.78,287.14,"31,577,870","459,015,151,730","52,254,145,360,340",코스피 200 중공업
1,2023/04/12,290.61,1,10.59,3.78,281.24,291.25,281.12,"50,292,367","706,906,662,600","51,620,771,611,700",코스피 200 중공업
2,2023/04/11,280.02,1,1.91,0.69,278.06,281.55,275.31,"14,200,691","297,859,405,950","49,792,046,303,750",코스피 200 중공업
3,2023/04/10,278.11,2,-0.97,-0.35,278.38,280.06,274.09,"14,379,273","300,257,539,880","49,507,695,789,020",코스피 200 중공업
4,2023/04/07,279.08,2,-2.00,-0.71,280.88,281.40,278.50,"12,684,392","269,675,694,480","49,696,853,282,170",코스피 200 중공업
5,2023/04/06,281.08,2,-2.93,-1.03,284.07,286.60,280.79,"17,663,612","488,197,114,360","50,010,196,854,040",코스피 200 중공업
6,2023/04/05,284.01,2,-3.31,-1.15,286.60,287.08,281.18,"22,008,132","448,643,411,400","50,554,139,384,160",코스피 200 중공업
7,2023/04/04,287.32,1,7.22,2.58,281.52,287.90,281.10,"23,034,369","412,055,611,910","51,131,108,808,040",코스피 200 중공업
8,2023/04/03,280.10,1,0.68,0.24,280.92,282.49,278.25,"16,736,685","338,273,809,440","49,993,134,780,480",코스피 200 중공업
9,2023/03/31,279.42,1,5.25,1.91,276.01,280.50,275.41,"22,426,478","432,538,161,410","49,867,363,379,630",코스피 200 중공업
10,2023/03/30,274.17,1,1.77,0.65,272.41,275.86,269.37,"15,409,145","299,555,104,230","48,950,749,939,310",코스피 200 중공업
11,2023/03/29,272.40,1,1.02,0.38,272.54,274.26,268.61,"16,744,913","274,791,392,150","48,792,518,563,200",코스피 200 중공업
12,2023/03/28,271.38,1,7.70,2.92,264.64,272.33,264.62,"15,192,029","296,080,661,595","48,600,551,487,380",코스피 200 중공업
13,2023/03/27,263.68,2,-2.21,-0.83,266.24,266.33,261.01,"13,246,279","224,193,556,510","47,246,778,678,740",코스피 200 중공업
14,2023/03/24,265.89,1,0.40,0.15,264.94,268.20,264.10,"14,083,419","247,966,020,100","47,646,479,657,080",코스피 200 중공업
15,2023/03/23,265.49,2,-3.47,-1.29,267.21,268.28,264.64,"14,155,128","263,225,554,960","47,621,631,966,920",코스피 200 중공업
16,2023/03/22,268.96,2,-3.09,-1.14,274.62,274.69,268.42,"13,192,533","261,649,002,750","48,209,920,322,600",코스피 200 중공업
17,2023/03/21,272.05,1,3.47,1.29,271.05,272.95,269.48,"12,781,119","254,975,331,605","48,846,276,122,900",코스피 200 중공업
18,2023/03/20,268.58,1,0.42,0.16,268.63,274.92,267.93,"14,091,285","263,881,600,845","48,049,739,194,940",코스피 200 중공업
19,2023/03/17,268.16,2,-0.61,-0.23,271.49,271.62,267.29,"13,967,042","323,404,866,500","47,996,881,353,820",코스피 200 중공업
20,2023/03/16,268.77,2,-3.77,-1.38,269.73,270.47,265.86,"17,208,474","345,273,288,105","48,050,645,783,680",코스피 200 중공업
21,2023/03/15,272.54,1,9.02,3.42,268.51,273.30,267.58,"18,832,783","359,026,506,825","48,757,980,483,150",코스피 200 중공업
22,2023/03/14,263.52,2,-10.47,-3.82,271.47,272.35,263.42,"19,440,439","345,142,805,625","47,081,514,170,270",코스피 200 중공업
23,2023/03/13,273.99,1,0.17,0.06,272.39,274.31,266.51,"17,687,607","343,285,459,265","49,043,191,278,150",코스피 200 중공업
