,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,203.09",1,7.84,0.66,"1,192.92","1,203.09","1,184.64","71,445,474","1,261,583,545,303","161,517,557,419,873",코스피 200 중소형주
1,2023/04/12,"1,195.25",1,10.28,0.87,"1,187.21","1,200.98","1,186.75","148,918,620","1,626,061,458,386","159,698,052,270,568",코스피 200 중소형주
2,2023/04/11,"1,184.97",1,15.82,1.35,"1,171.89","1,185.40","1,165.65","59,362,284","1,559,853,059,070","158,381,269,816,529",코스피 200 중소형주
3,2023/04/10,"1,169.15",1,0.60,0.05,"1,168.37","1,171.02","1,155.26","61,004,196","1,315,129,766,575","156,255,044,771,002",코스피 200 중소형주
4,2023/04/07,"1,168.55",1,5.92,0.51,"1,162.74","1,169.46","1,157.18","50,140,181","1,219,177,785,778","156,639,920,732,747",코스피 200 중소형주
5,2023/04/06,"1,162.63",2,-14.19,-1.21,"1,176.30","1,176.45","1,161.49","54,290,198","1,350,321,331,298","156,180,833,998,549",코스피 200 중소형주
6,2023/04/05,"1,176.82",2,-2.77,-0.23,"1,179.92","1,184.65","1,174.20","50,238,012","1,290,170,870,580","157,904,294,307,787",코스피 200 중소형주
7,2023/04/04,"1,179.59",1,12.57,1.08,"1,170.75","1,181.02","1,169.71","60,084,102","1,637,509,596,362","158,287,778,276,543",코스피 200 중소형주
8,2023/04/03,"1,167.02",2,-1.10,-0.09,"1,171.62","1,175.80","1,165.59","60,733,399","1,419,068,052,514","156,627,642,152,383",코스피 200 중소형주
9,2023/03/31,"1,168.12",1,17.31,1.50,"1,155.95","1,172.17","1,153.81","84,302,836","2,013,328,004,610","159,427,400,781,695",코스피 200 중소형주
10,2023/03/30,"1,150.81",1,11.23,0.99,"1,139.90","1,155.24","1,134.22","100,052,759","1,607,817,034,737","157,229,791,427,690",코스피 200 중소형주
11,2023/03/29,"1,139.58",1,10.01,0.89,"1,132.11","1,140.87","1,130.49","80,182,179","1,607,619,529,936","155,902,634,073,919",코스피 200 중소형주
12,2023/03/28,"1,129.57",1,20.36,1.84,"1,111.27","1,129.57","1,111.03","45,209,440","926,101,630,609","154,536,180,246,942",코스피 200 중소형주
13,2023/03/27,"1,109.21",1,3.16,0.29,"1,110.85","1,110.87","1,095.80","38,470,110","856,137,633,060","151,817,016,258,304",코스피 200 중소형주
14,2023/03/24,"1,106.05",2,-0.56,-0.05,"1,103.08","1,107.74","1,100.37","37,913,807","994,777,811,895","151,413,468,505,097",코스피 200 중소형주
15,2023/03/23,"1,106.61",2,-6.35,-0.57,"1,107.75","1,111.86","1,104.09","40,302,718","869,389,979,378","151,705,570,377,824",코스피 200 중소형주
