,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,917.64,2,-12.84,-1.38,922.60,923.85,898.11,"6,637,820","1,129,436,617,510","54,394,954,074,610",코스피 200 철강/소재
1,2023/04/12,930.48,1,14.84,1.62,916.96,952.73,916.08,"9,292,244","1,876,240,169,550","55,863,058,764,790",코스피 200 철강/소재
2,2023/04/11,915.64,1,17.61,1.96,904.88,921.12,897.52,"9,599,841","1,108,314,779,230","54,894,205,959,310",코스피 200 철강/소재
3,2023/04/10,898.03,1,19.98,2.28,888.58,911.74,888.19,"6,723,259","1,464,090,419,700","54,584,357,787,950",코스피 200 철강/소재
4,2023/04/07,878.05,1,2.38,0.27,875.08,880.15,869.26,"6,640,819","529,581,081,100","52,001,314,601,370",코스피 200 철강/소재
5,2023/04/06,875.67,2,-7.87,-0.89,881.26,882.37,871.84,"9,905,928","743,411,805,580","51,504,044,976,350",코스피 200 철강/소재
6,2023/04/05,883.54,1,0.86,0.10,875.89,887.97,869.31,"5,270,643","801,626,308,510","52,457,488,665,680",코스피 200 철강/소재
7,2023/04/04,882.68,2,-20.24,-2.24,904.32,906.20,880.95,"6,504,820","1,084,369,303,870","52,133,486,248,070",코스피 200 철강/소재
8,2023/04/03,902.92,1,21.13,2.40,899.18,915.05,894.69,"7,116,278","1,145,076,270,870","54,411,368,573,400",코스피 200 철강/소재
9,2023/03/31,881.79,1,28.11,3.29,852.77,901.90,849.88,"12,202,291","1,566,982,987,910","52,279,397,169,530",코스피 200 철강/소재
10,2023/03/30,853.68,1,3.22,0.38,848.40,858.45,842.31,"3,554,854","307,422,345,670","49,349,573,441,830",코스피 200 철강/소재
11,2023/03/29,850.46,2,-1.98,-0.23,855.89,858.81,847.15,"3,518,844","309,089,806,480","49,419,169,022,720",코스피 200 철강/소재
12,2023/03/28,852.44,1,18.48,2.22,838.58,853.74,837.25,"4,573,396","353,842,891,910","49,294,349,712,040",코스피 200 철강/소재
13,2023/03/27,833.96,1,10.37,1.26,829.40,840.52,826.30,"4,227,866","329,363,890,290","48,329,524,839,330",코스피 200 철강/소재
14,2023/03/24,823.59,2,-12.41,-1.48,832.40,835.89,820.97,"2,520,564","255,025,829,560","47,395,762,339,740",코스피 200 철강/소재
15,2023/03/23,836.00,1,1.16,0.14,826.53,841.14,825.76,"3,395,718","362,344,134,080","48,387,837,042,960",코스피 200 철강/소재
16,2023/03/22,834.84,1,2.64,0.32,841.40,850.64,832.24,"4,295,946","367,010,177,250","48,324,708,859,280",코스피 200 철강/소재
17,2023/03/21,832.20,1,12.16,1.48,831.72,836.86,828.73,"2,371,130","191,177,368,750","47,433,483,021,600",코스피 200 철강/소재
18,2023/03/20,820.04,2,-1.77,-0.22,822.99,832.83,817.95,"2,675,598","183,402,378,130","47,048,409,069,580",코스피 200 철강/소재
19,2023/03/17,821.81,2,-1.00,-0.12,832.59,834.71,818.98,"2,568,908","292,827,855,690","47,274,110,427,270",코스피 200 철강/소재
20,2023/03/16,822.81,2,-14.82,-1.77,822.63,828.70,815.46,"2,995,650","274,661,852,270","47,566,213,668,180",코스피 200 철강/소재
21,2023/03/15,837.63,1,17.34,2.11,836.32,844.42,829.16,"2,683,412","261,520,219,700","48,181,954,188,140",코스피 200 철강/소재
22,2023/03/14,820.29,2,-29.68,-3.49,842.95,843.49,820.25,"2,775,240","256,597,242,240","46,911,747,708,110",코스피 200 철강/소재
23,2023/03/13,849.97,1,6.04,0.72,839.63,851.05,830.54,"3,052,488","264,819,742,920","48,450,368,930,040",코스피 200 철강/소재
