,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,243.58,1,0.88,0.36,241.36,243.58,241.04,"157,546,235","7,650,438,089,974","1,369,751,260,664,433",코스피 200 초대형제외 지수
1,2023/04/12,242.70,1,1.11,0.46,241.90,243.85,241.30,"237,033,462","9,209,921,591,049","1,361,246,881,534,798",코스피 200 초대형제외 지수
2,2023/04/11,241.59,1,4.31,1.82,238.34,242.34,237.67,"132,122,115","8,870,942,749,095","1,359,695,028,840,019",코스피 200 초대형제외 지수
3,2023/04/10,237.28,1,2.07,0.88,235.42,238.28,235.22,"125,630,517","7,733,775,351,624","1,335,235,727,094,792",코스피 200 초대형제외 지수
4,2023/04/07,235.21,1,1.64,0.70,234.28,235.70,233.66,"109,534,681","6,056,664,461,988","1,323,156,396,191,777",코스피 200 초대형제외 지수
5,2023/04/06,233.57,2,-3.50,-1.48,236.30,236.50,233.47,"130,376,671","7,005,672,522,382","1,316,633,904,021,839",코스피 200 초대형제외 지수
6,2023/04/05,237.07,1,1.41,0.60,235.81,237.58,235.58,"112,020,105","6,105,341,021,530","1,333,501,135,080,787",코스피 200 초대형제외 지수
7,2023/04/04,235.66,1,0.66,0.28,235.31,236.58,234.99,"144,181,997","8,567,608,880,451","1,324,867,118,814,283",코스피 200 초대형제외 지수
8,2023/04/03,235.00,2,-0.35,-0.15,236.83,236.83,234.48,"125,987,576","6,518,712,429,381","1,321,721,290,488,053",코스피 200 초대형제외 지수
9,2023/03/31,235.35,1,2.90,1.25,233.00,235.87,232.73,"180,150,312","8,873,040,035,755","1,325,374,532,198,365",코스피 200 초대형제외 지수
10,2023/03/30,232.45,1,0.32,0.14,232.33,233.51,231.15,"171,665,118","6,718,827,536,713","1,310,792,194,138,590",코스피 200 초대형제외 지수
11,2023/03/29,232.13,1,0.97,0.42,231.07,232.24,230.62,"141,633,166","5,198,170,596,507","1,307,786,639,821,339",코스피 200 초대형제외 지수
12,2023/03/28,231.16,1,2.41,1.05,229.49,231.16,229.12,"108,768,582","4,667,581,320,934","1,301,633,492,752,102",코스피 200 초대형제외 지수
13,2023/03/27,228.75,2,-0.15,-0.07,229.89,229.90,227.08,"89,947,484","4,730,941,018,656","1,288,821,751,991,694",코스피 200 초대형제외 지수
14,2023/03/24,228.90,2,-2.54,-1.10,230.39,230.81,227.98,"92,470,180","4,732,530,690,691","1,288,301,970,626,447",코스피 200 초대형제외 지수
15,2023/03/23,231.44,2,-0.11,-0.05,229.63,231.66,229.48,"96,181,578","4,956,796,067,554","1,301,099,289,709,404",코스피 200 초대형제외 지수
16,2023/03/22,231.55,1,2.65,1.16,231.20,231.56,230.20,"84,710,865","4,526,877,232,767","1,302,196,454,522,095",코스피 200 초대형제외 지수
17,2023/03/21,228.90,1,0.75,0.33,229.99,230.23,228.43,"75,847,493","3,615,368,490,971","1,285,821,496,587,224",코스피 200 초대형제외 지수
18,2023/03/20,228.15,2,-1.00,-0.44,228.96,231.01,227.96,"79,866,082","3,738,951,524,555","1,281,087,878,738,473",코스피 200 초대형제외 지수
19,2023/03/17,229.15,1,1.68,0.74,230.04,230.14,227.57,"111,985,226","5,847,327,514,337","1,287,716,760,012,650",코스피 200 초대형제외 지수
20,2023/03/16,227.47,2,-0.88,-0.39,225.93,228.22,224.80,"101,272,466","5,538,091,317,841","1,283,555,875,150,898",코스피 200 초대형제외 지수
21,2023/03/15,228.35,1,2.42,1.07,228.87,229.98,227.17,"101,575,015","4,851,598,781,545","1,284,783,733,761,972",코스피 200 초대형제외 지수
22,2023/03/14,225.93,2,-6.35,-2.73,230.06,230.15,225.80,"117,725,175","5,017,060,613,992","1,269,002,790,813,661",코스피 200 초대형제외 지수
23,2023/03/13,232.28,1,1.89,0.82,230.95,232.48,227.99,"112,597,850","5,122,383,593,768","1,304,056,695,401,130",코스피 200 초대형제외 지수
24,2023/03/10,230.39,2,-2.60,-1.12,230.03,231.31,229.43,"109,890,245","5,078,020,771,679","1,293,261,238,831,283",코스피 200 초대형제외 지수
25,2023/03/09,232.99,2,-1.08,-0.46,234.99,235.32,232.83,"152,122,020","6,963,519,489,418","1,305,631,268,746,343",코스피 200 초대형제외 지수
26,2023/03/08,234.07,2,-3.94,-1.66,235.15,235.64,233.84,"129,094,775","6,576,543,102,238","1,313,263,208,534,526",코스피 200 초대형제외 지수
27,2023/03/07,238.01,1,0.02,0.01,237.36,239.59,237.18,"120,832,263","6,869,057,009,662","1,334,049,853,164,210",코스피 200 초대형제외 지수
28,2023/03/06,237.99,1,3.22,1.37,236.82,238.19,235.74,"112,437,048","6,111,697,420,624","1,330,045,670,067,237",코스피 200 초대형제외 지수
29,2023/03/03,234.77,1,0.55,0.23,235.24,235.68,233.68,"103,192,216","4,994,699,057,063","1,313,643,174,642,707",코스피 200 초대형제외 지수
30,2023/03/02,234.22,1,1.21,0.52,233.08,235.47,232.60,"121,591,729","5,786,849,743,308","1,309,307,232,006,534",코스피 200 초대형제외 지수
31,2023/02/28,233.01,1,0.73,0.31,233.70,234.80,232.36,"117,504,018","5,697,065,721,294","1,300,746,719,258,497",코스피 200 초대형제외 지수
32,2023/02/27,232.28,2,-1.89,-0.81,232.34,232.37,230.34,"98,170,382","4,166,823,559,966","1,294,489,591,374,595",코스피 200 초대형제외 지수
33,2023/02/24,234.17,2,-1.52,-0.64,235.55,236.96,233.77,"109,823,994","4,420,063,538,961","1,305,291,126,897,144",코스피 200 초대형제외 지수
34,2023/02/23,235.69,1,2.25,0.96,234.42,236.81,234.06,"131,553,148","4,846,544,660,392","1,312,284,111,502,584",코스피 200 초대형제외 지수
35,2023/02/22,233.44,2,-4.28,-1.80,235.04,235.33,233.33,"119,301,922","5,198,691,138,354","1,301,906,476,910,670",코스피 200 초대형제외 지수
36,2023/02/21,237.72,1,0.66,0.28,237.43,238.48,236.28,"110,116,206","4,718,364,932,561","1,325,650,497,929,397",코스피 200 초대형제외 지수
37,2023/02/20,237.06,1,0.89,0.38,236.16,237.82,234.46,"100,126,305","4,833,646,818,011","1,318,308,476,740,325",코스피 200 초대형제외 지수
38,2023/02/17,236.17,2,-1.76,-0.74,235.22,238.23,234.78,"108,942,084","5,138,120,341,768","1,317,076,835,286,709",코스피 200 초대형제외 지수
