,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,852.07",1,16.48,0.90,"1,831.48","1,857.71","1,829.66","7,446,475","536,013,932,760","118,327,135,241,260",코스피 200 커뮤니케이션서비스
1,2023/04/12,"1,835.59",1,2.09,0.11,"1,826.63","1,836.65","1,819.29","6,467,352","452,565,572,080","117,407,560,430,070",코스피 200 커뮤니케이션서비스
2,2023/04/11,"1,833.50",1,25.74,1.42,"1,808.62","1,838.61","1,798.51","7,791,252","570,978,572,450","117,413,180,189,330",코스피 200 커뮤니케이션서비스
3,2023/04/10,"1,807.76",2,-1.18,-0.07,"1,803.45","1,811.25","1,792.31","5,881,798","459,826,699,640","115,437,390,319,620",코스피 200 커뮤니케이션서비스
4,2023/04/07,"1,808.94",1,8.92,0.50,"1,799.25","1,816.81","1,796.10","5,007,930","432,625,614,510","115,566,207,930,350",코스피 200 커뮤니케이션서비스
5,2023/04/06,"1,800.02",2,-16.82,-0.93,"1,809.94","1,820.19","1,799.24","10,983,512","789,216,595,880","114,923,939,955,430",코스피 200 커뮤니케이션서비스
6,2023/04/05,"1,816.84",2,-9.49,-0.52,"1,825.37","1,835.89","1,814.94","5,835,483","350,221,398,940","116,434,084,327,650",코스피 200 커뮤니케이션서비스
7,2023/04/04,"1,826.33",1,38.77,2.17,"1,792.20","1,826.43","1,789.66","6,495,916","441,775,560,097","117,046,821,504,770",코스피 200 커뮤니케이션서비스
8,2023/04/03,"1,787.56",2,-19.03,-1.05,"1,811.09","1,811.09","1,784.35","5,805,369","421,319,143,630","114,797,604,712,390",코스피 200 커뮤니케이션서비스
9,2023/03/31,"1,806.59",1,20.53,1.15,"1,794.62","1,809.55","1,781.64","9,206,593","553,102,321,375","116,194,654,245,630",코스피 200 커뮤니케이션서비스
10,2023/03/30,"1,786.06",2,-3.18,-0.18,"1,789.18","1,792.15","1,778.70","10,286,241","537,529,304,236","114,931,886,912,650",코스피 200 커뮤니케이션서비스
11,2023/03/29,"1,789.24",2,-8.88,-0.49,"1,797.66","1,805.04","1,778.63","8,529,886","443,369,476,273","115,039,049,386,870",코스피 200 커뮤니케이션서비스
12,2023/03/28,"1,798.12",1,9.61,0.54,"1,786.27","1,798.12","1,774.56","5,425,077","388,273,398,990","115,510,342,753,320",코스피 200 커뮤니케이션서비스
13,2023/03/27,"1,788.51",2,-14.18,-0.79,"1,806.46","1,807.34","1,772.86","5,455,331","378,794,466,810","114,959,095,453,980",코스피 200 커뮤니케이션서비스
14,2023/03/24,"1,802.69",2,-8.51,-0.47,"1,808.51","1,812.36","1,791.17","6,320,724","389,399,162,060","116,009,795,287,010",코스피 200 커뮤니케이션서비스
15,2023/03/23,"1,811.20",2,-25.10,-1.37,"1,816.13","1,819.98","1,802.86","6,945,509","443,440,339,180","116,575,390,751,810",코스피 200 커뮤니케이션서비스
16,2023/03/22,"1,836.30",1,37.81,2.10,"1,817.62","1,838.62","1,811.90","6,107,442","485,124,607,286","118,205,200,455,480",코스피 200 커뮤니케이션서비스
17,2023/03/21,"1,798.49",1,19.31,1.09,"1,806.35","1,815.28","1,793.13","6,636,699","459,424,447,550","115,616,723,875,030",코스피 200 커뮤니케이션서비스
18,2023/03/20,"1,779.18",1,19.75,1.12,"1,767.25","1,791.49","1,766.37","5,822,292","429,516,976,680","114,618,633,457,030",코스피 200 커뮤니케이션서비스
19,2023/03/17,"1,759.43",1,19.43,1.12,"1,761.18","1,765.58","1,746.89","6,884,009","485,315,335,120","113,215,233,942,210",코스피 200 커뮤니케이션서비스
20,2023/03/16,"1,740.00",2,-0.34,-0.02,"1,727.10","1,746.17","1,708.86","5,606,357","447,478,513,893","112,110,024,140,320",코스피 200 커뮤니케이션서비스
21,2023/03/15,"1,740.34",2,-0.40,-0.02,"1,761.53","1,763.33","1,728.61","6,166,548","482,581,743,840","111,964,407,032,300",코스피 200 커뮤니케이션서비스
22,2023/03/14,"1,740.74",2,-38.45,-2.16,"1,765.48","1,772.87","1,739.15","7,831,057","542,479,558,970","111,971,030,936,700",코스피 200 커뮤니케이션서비스
23,2023/03/13,"1,779.19",1,26.12,1.49,"1,776.55","1,792.01","1,741.98","10,934,767","850,876,078,350","114,621,113,918,220",코스피 200 커뮤니케이션서비스
24,2023/03/10,"1,753.07",2,-25.37,-1.43,"1,753.09","1,762.90","1,745.52","7,290,589","540,251,843,645","112,720,208,334,350",코스피 200 커뮤니케이션서비스
25,2023/03/09,"1,778.44",2,-1.61,-0.09,"1,792.39","1,800.38","1,775.80","7,559,641","514,952,486,600","114,268,266,983,200",코스피 200 커뮤니케이션서비스
26,2023/03/08,"1,780.05",2,-54.58,-2.97,"1,813.70","1,815.83","1,777.95","8,266,534","652,525,635,490","114,385,803,751,090",코스피 200 커뮤니케이션서비스
27,2023/03/07,"1,834.63",2,-28.11,-1.51,"1,847.11","1,849.97","1,830.24","7,663,737","551,337,318,940","118,116,492,172,570",코스피 200 커뮤니케이션서비스
28,2023/03/06,"1,862.74",1,50.24,2.77,"1,835.61","1,864.69","1,829.99","7,343,958","638,850,194,646","120,033,171,269,520",코스피 200 커뮤니케이션서비스
29,2023/03/03,"1,812.50",2,-5.35,-0.29,"1,826.94","1,835.39","1,810.75","5,045,689","385,370,302,930","116,495,245,692,960",코스피 200 커뮤니케이션서비스
30,2023/03/02,"1,817.85",2,-14.25,-0.78,"1,828.52","1,837.03","1,804.04","7,170,221","518,147,439,175","116,799,740,273,010",코스피 200 커뮤니케이션서비스
31,2023/02/28,"1,832.10",1,11.40,0.63,"1,830.19","1,851.99","1,827.26","8,070,393","550,186,707,430","117,835,557,892,270",코스피 200 커뮤니케이션서비스
32,2023/02/27,"1,820.70",2,-10.66,-0.58,"1,815.21","1,824.66","1,804.25","7,058,932","503,616,481,320","117,144,387,272,590",코스피 200 커뮤니케이션서비스
33,2023/02/24,"1,831.36",2,-34.79,-1.86,"1,859.25","1,866.87","1,828.39","10,081,429","603,029,156,449","117,673,763,122,910",코스피 200 커뮤니케이션서비스
34,2023/02/23,"1,866.15",1,17.63,0.95,"1,866.24","1,879.32","1,859.74","7,276,878","521,472,598,875","119,870,499,165,650",코스피 200 커뮤니케이션서비스
35,2023/02/22,"1,848.52",2,-18.42,-0.99,"1,845.43","1,859.57","1,836.74","7,316,893","578,169,548,250","118,795,149,667,110",코스피 200 커뮤니케이션서비스
36,2023/02/21,"1,866.94",2,-12.45,-0.66,"1,882.13","1,884.40","1,860.56","5,673,800","456,731,956,630","120,081,278,318,770",코스피 200 커뮤니케이션서비스
37,2023/02/20,"1,879.39",1,32.73,1.77,"1,851.16","1,887.19","1,844.12","5,810,900","467,179,343,650","121,112,734,918,170",코스피 200 커뮤니케이션서비스
38,2023/02/17,"1,846.66",2,-28.00,-1.49,"1,841.67","1,863.15","1,831.88","8,224,847","628,444,867,420","119,119,412,359,590",코스피 200 커뮤니케이션서비스
39,2023/02/16,"1,874.66",1,10.76,0.58,"1,874.36","1,885.67","1,867.33","13,599,497","895,411,847,550","121,074,537,554,660",코스피 200 커뮤니케이션서비스
40,2023/02/15,"1,863.90",2,-49.58,-2.59,"1,908.92","1,910.02","1,859.61","10,470,589","857,260,398,860","120,143,760,352,860",코스피 200 커뮤니케이션서비스
41,2023/02/14,"1,913.48",1,16.41,0.87,"1,916.27","1,925.44","1,902.54","8,508,231","699,483,225,261","123,491,980,892,540",코스피 200 커뮤니케이션서비스
