,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"1,797.55",1,51.18,2.93,"1,747.73","1,797.55","1,747.24","7,164,251","640,285,066,550","118,354,379,253,400",코스피 200 헬스케어
1,2023/04/12,"1,746.37",1,21.99,1.28,"1,725.89","1,755.49","1,717.58","4,771,105","486,361,369,432","115,568,199,861,600",코스피 200 헬스케어
2,2023/04/11,"1,724.38",1,42.06,2.50,"1,682.68","1,727.89","1,673.88","4,699,446","413,187,584,570","115,013,013,590,900",코스피 200 헬스케어
3,2023/04/10,"1,682.32",1,24.93,1.50,"1,658.84","1,688.37","1,643.38","3,572,647","319,845,638,120","112,507,089,440,450",코스피 200 헬스케어
4,2023/04/07,"1,657.39",1,2.23,0.13,"1,657.82","1,659.68","1,639.69","2,327,946","198,857,118,170","111,182,599,262,850",코스피 200 헬스케어
5,2023/04/06,"1,655.16",1,14.60,0.89,"1,653.99","1,687.00","1,653.04","4,683,110","465,192,833,860","111,661,377,952,700",코스피 200 헬스케어
6,2023/04/05,"1,640.56",1,13.35,0.82,"1,628.88","1,661.09","1,619.76","4,381,084","333,775,691,240","110,305,463,186,200",코스피 200 헬스케어
7,2023/04/04,"1,627.21",1,70.73,4.54,"1,560.21","1,627.75","1,554.06","5,023,157","380,744,550,080","109,986,953,549,850",코스피 200 헬스케어
8,2023/04/03,"1,556.48",2,-11.18,-0.71,"1,576.27","1,587.81","1,553.75","3,149,355","246,176,221,500","106,492,824,753,840",코스피 200 헬스케어
9,2023/03/31,"1,567.66",1,9.89,0.63,"1,561.16","1,571.74","1,554.39","2,287,961","169,456,118,480","107,436,489,734,900",코스피 200 헬스케어
10,2023/03/30,"1,557.77",1,2.42,0.16,"1,550.19","1,575.36","1,546.45","3,224,239","238,922,555,850","106,666,812,070,860",코스피 200 헬스케어
11,2023/03/29,"1,555.35",2,-10.41,-0.66,"1,568.74","1,574.58","1,549.41","2,566,824","191,304,332,420","107,104,582,049,500",코스피 200 헬스케어
12,2023/03/28,"1,565.76",2,-14.85,-0.94,"1,584.40","1,593.80","1,558.34","2,640,716","269,434,271,910","107,865,486,932,260",코스피 200 헬스케어
13,2023/03/27,"1,580.61",1,17.81,1.14,"1,567.10","1,588.89","1,541.54","2,651,749","218,651,433,020","108,994,288,253,530",코스피 200 헬스케어
14,2023/03/24,"1,562.80",2,-6.45,-0.41,"1,557.84","1,581.07","1,556.96","2,310,628","141,636,473,130","107,988,556,616,900",코스피 200 헬스케어
15,2023/03/23,"1,569.25",2,-14.18,-0.90,"1,578.90","1,580.20","1,561.50","2,591,965","162,107,329,040","108,334,147,833,250",코스피 200 헬스케어
16,2023/03/22,"1,583.43",2,-4.92,-0.31,"1,593.97","1,593.97","1,576.97","2,137,038","137,811,817,420","109,654,603,372,460",코스피 200 헬스케어
17,2023/03/21,"1,588.35",2,-0.72,-0.05,"1,596.90","1,602.31","1,580.26","2,173,532","132,860,125,660","109,652,685,971,740",코스피 200 헬스케어
18,2023/03/20,"1,589.07",1,2.90,0.18,"1,596.94","1,617.72","1,588.43","2,396,343","183,565,955,770","110,020,779,599,880",코스피 200 헬스케어
19,2023/03/17,"1,586.17",1,45.94,2.98,"1,555.22","1,589.13","1,549.38","4,082,714","281,022,452,400","109,537,817,002,500",코스피 200 헬스케어
20,2023/03/16,"1,540.23",1,2.94,0.19,"1,525.61","1,549.77","1,507.24","3,440,221","197,684,512,260","106,556,599,422,190",코스피 200 헬스케어
21,2023/03/15,"1,537.29",1,10.40,0.68,"1,543.50","1,547.23","1,532.15","2,627,858","150,207,470,900","105,760,123,428,160",코스피 200 헬스케어
22,2023/03/14,"1,526.89",2,-35.19,-2.25,"1,550.33","1,559.01","1,525.99","3,578,714","225,788,580,100","105,121,122,904,650",코스피 200 헬스케어
