,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"2,538.98",1,11.09,0.44,"2,510.93","2,538.98","2,508.46","105,195,548","7,518,745,299,441","1,614,365,125,271,770",코스피 대형주
1,2023/04/12,"2,527.89",1,1.88,0.07,"2,524.05","2,539.08","2,512.93","107,065,902","8,743,595,789,683","1,607,301,988,402,950",코스피 대형주
2,2023/04/11,"2,526.01",1,36.80,1.48,"2,501.67","2,531.96","2,494.51","94,309,495","8,625,875,390,350","1,606,450,670,473,830",코스피 대형주
3,2023/04/10,"2,489.21",1,26.97,1.10,"2,463.43","2,498.91","2,462.76","88,648,567","7,853,701,688,430","1,583,077,892,573,390",코스피 대형주
4,2023/04/07,"2,462.24",1,34.61,1.43,"2,449.87","2,466.33","2,444.42","91,518,347","6,758,973,464,660","1,565,900,213,054,920",코스피 대형주
5,2023/04/06,"2,427.63",2,-38.52,-1.56,"2,457.84","2,458.13","2,427.55","96,386,636","6,870,507,935,079","1,544,003,360,527,110",코스피 대형주
6,2023/04/05,"2,466.15",1,17.48,0.71,"2,451.17","2,468.88","2,446.69","78,934,008","5,685,174,249,010","1,568,559,903,286,150",코스피 대형주
7,2023/04/04,"2,448.67",1,7.01,0.29,"2,445.54","2,460.61","2,441.97","100,141,656","7,807,468,441,429","1,557,469,189,680,440",코스피 대형주
8,2023/04/03,"2,441.66",2,-9.40,-0.38,"2,460.00","2,460.00","2,436.45","81,886,238","6,003,950,539,437","1,553,088,090,610,820",코스피 대형주
9,2023/03/31,"2,451.06",1,25.11,1.04,"2,432.99","2,455.63","2,428.48","125,593,021","7,968,255,908,608","1,559,143,929,736,690",코스피 대형주
10,2023/03/30,"2,425.95",1,7.19,0.30,"2,428.51","2,436.93","2,413.75","128,988,797","6,473,142,531,944","1,541,908,639,572,850",코스피 대형주
11,2023/03/29,"2,418.76",1,5.54,0.23,"2,409.59","2,419.68","2,403.51","76,444,171","4,359,482,782,631","1,537,325,779,642,310",코스피 대형주
12,2023/03/28,"2,413.22",1,24.29,1.02,"2,399.20","2,413.22","2,394.53","83,074,974","4,625,631,938,387","1,533,799,678,489,830",코스피 대형주
13,2023/03/27,"2,388.93",2,-8.31,-0.35,"2,406.38","2,406.38","2,377.78","66,963,937","4,650,278,142,146","1,518,310,587,503,320",코스피 대형주
14,2023/03/24,"2,397.24",2,-12.88,-0.53,"2,405.99","2,409.09","2,381.65","75,937,663","4,963,056,726,846","1,523,620,093,066,420",코스피 대형주
15,2023/03/23,"2,410.12",1,10.93,0.46,"2,378.77","2,410.12","2,378.31","76,090,634","5,147,462,136,336","1,531,806,937,543,500",코스피 대형주
16,2023/03/22,"2,399.19",1,33.76,1.43,"2,389.82","2,399.80","2,382.03","64,747,655","4,386,903,967,045","1,524,848,921,120,950",코스피 대형주
17,2023/03/21,"2,365.43",1,6.58,0.28,"2,377.19","2,380.33","2,360.09","59,718,111","3,579,831,246,722","1,503,380,184,309,040",코스피 대형주
18,2023/03/20,"2,358.85",2,-20.72,-0.87,"2,374.88","2,386.93","2,358.67","61,985,192","3,740,664,427,516","1,499,184,330,370,220",코스피 대형주
19,2023/03/17,"2,379.57",1,17.85,0.76,"2,388.79","2,390.57","2,365.68","92,062,664","5,952,709,364,982","1,512,368,746,659,000",코스피 대형주
20,2023/03/16,"2,361.72",1,1.61,0.07,"2,337.05","2,367.07","2,329.35","81,269,078","5,504,744,152,806","1,501,043,532,792,250",코스피 대형주
21,2023/03/15,"2,360.11",1,28.59,1.23,"2,362.64","2,378.22","2,351.20","81,468,406","4,794,319,659,083","1,500,021,982,759,290",코스피 대형주
22,2023/03/14,"2,331.52",2,-57.82,-2.42,"2,367.21","2,368.00","2,330.47","90,435,019","5,010,370,347,822","1,481,843,441,170,280",코스피 대형주
23,2023/03/13,"2,389.34",1,22.42,0.95,"2,375.78","2,392.35","2,348.61","84,690,870","5,126,348,520,333","1,518,652,690,377,460",코스피 대형주
24,2023/03/10,"2,366.92",2,-20.40,-0.85,"2,356.66","2,370.50","2,352.15","86,241,861","4,886,941,488,546","1,504,403,680,557,320",코스피 대형주
25,2023/03/09,"2,387.32",2,-15.81,-0.66,"2,412.40","2,416.15","2,384.65","115,543,158","6,535,125,335,469","1,513,163,463,142,480",코스피 대형주
26,2023/03/08,"2,403.13",2,-33.85,-1.39,"2,407.47","2,415.67","2,397.66","98,702,254","6,162,464,258,188","1,523,201,065,415,920",코스피 대형주
27,2023/03/07,"2,436.98",2,-1.43,-0.06,"2,432.23","2,453.21","2,430.62","80,332,843","6,619,074,026,627","1,544,663,840,156,320",코스피 대형주
28,2023/03/06,"2,438.41",1,35.89,1.49,"2,424.60","2,440.42","2,414.40","83,222,736","6,043,212,540,637","1,545,593,355,758,910",코스피 대형주
29,2023/03/03,"2,402.52",1,3.54,0.15,"2,409.97","2,413.74","2,393.98","73,148,914","4,740,511,270,096","1,522,838,614,799,230",코스피 대형주
