,date,辆啊,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,绊啊,历啊,芭贰樊,芭贰措陛,惑厘矫啊醚咀,index_name
0,2023/04/13,"2,356.01",1,6.18,0.26,"2,347.40","2,356.01","2,314.65","375,287,326","1,621,880,492,792","93,962,587,436,775",内胶乔 家屈林
1,2023/04/12,"2,349.83",1,21.47,0.92,"2,334.42","2,356.18","2,333.89","429,954,568","2,252,232,549,001","93,694,319,578,089",内胶乔 家屈林
2,2023/04/11,"2,328.36",1,28.16,1.22,"2,303.96","2,328.36","2,286.49","315,606,982","1,944,863,495,378","92,849,498,443,330",内胶乔 家屈林
3,2023/04/10,"2,300.20",2,-6.94,-0.30,"2,312.37","2,312.37","2,290.21","514,771,421","2,484,866,551,478","91,741,057,690,560",内胶乔 家屈林
4,2023/04/07,"2,307.14",1,8.08,0.35,"2,304.26","2,307.14","2,294.49","324,321,433","1,604,192,612,371","92,013,942,117,411",内胶乔 家屈林
5,2023/04/06,"2,299.06",2,-14.72,-0.64,"2,311.95","2,311.95","2,293.57","432,741,646","2,049,242,315,088","91,692,750,920,467",内胶乔 家屈林
6,2023/04/05,"2,313.78",1,2.97,0.13,"2,307.88","2,314.22","2,302.43","286,698,449","1,592,647,942,082","92,256,752,184,809",内胶乔 家屈林
7,2023/04/04,"2,310.81",1,16.46,0.72,"2,295.78","2,316.39","2,295.78","546,624,313","2,419,831,314,349","92,142,349,047,355",内胶乔 家屈林
8,2023/04/03,"2,294.35",1,22.30,0.98,"2,278.97","2,295.05","2,274.59","458,054,065","1,817,108,618,475","91,493,677,669,347",内胶乔 家屈林
9,2023/03/31,"2,272.05",2,-5.89,-0.26,"2,278.95","2,282.30","2,267.52","328,518,017","1,365,413,887,130","90,615,892,682,411",内胶乔 家屈林
10,2023/03/30,"2,277.94",1,19.13,0.85,"2,266.24","2,277.94","2,256.54","375,105,344","1,575,627,980,954","90,841,093,113,787",内胶乔 家屈林
11,2023/03/29,"2,258.81",1,24.40,1.09,"2,234.93","2,258.81","2,231.66","292,581,432","1,561,022,923,019","90,087,830,758,824",内胶乔 家屈林
12,2023/03/28,"2,234.41",1,26.54,1.20,"2,210.45","2,234.49","2,210.45","355,067,853","1,966,838,071,777","89,125,379,717,347",内胶乔 家屈林
13,2023/03/27,"2,207.87",2,-0.07,0.00,"2,212.37","2,213.10","2,187.99","308,399,537","1,309,844,012,759","88,073,299,393,154",内胶乔 家屈林
14,2023/03/24,"2,207.94",1,7.43,0.34,"2,208.09","2,209.98","2,197.97","272,533,589","943,971,826,073","88,076,255,622,642",内胶乔 家屈林
15,2023/03/23,"2,200.51",2,-11.07,-0.50,"2,203.79","2,211.55","2,192.79","394,049,652","1,910,415,751,032","87,792,406,934,761",内胶乔 家屈林
16,2023/03/22,"2,211.58",1,1.78,0.08,"2,220.56","2,221.69","2,206.74","364,573,375","1,564,417,571,414","88,226,854,491,625",内胶乔 家屈林
17,2023/03/21,"2,209.80",2,-0.46,-0.02,"2,218.09","2,222.94","2,207.02","211,893,529","1,104,037,900,998","88,152,135,641,380",内胶乔 家屈林
18,2023/03/20,"2,210.26",1,7.85,0.36,"2,201.66","2,218.36","2,198.83","216,026,409","673,312,928,876","88,179,463,406,380",内胶乔 家屈林
19,2023/03/17,"2,202.41",1,20.97,0.96,"2,195.40","2,208.90","2,187.22","190,181,779","727,729,765,441","87,871,286,078,388",内胶乔 家屈林
20,2023/03/16,"2,181.44",2,-14.77,-0.67,"2,188.15","2,188.15","2,153.36","165,489,078","704,984,251,531","86,989,302,081,663",内胶乔 家屈林
21,2023/03/15,"2,196.21",1,38.60,1.79,"2,179.25","2,204.56","2,179.25","286,721,269","1,022,470,663,029","87,569,563,744,353",内胶乔 家屈林
22,2023/03/14,"2,157.61",2,-76.68,-3.43,"2,229.19","2,229.19","2,157.50","303,406,417","1,094,504,089,106","86,050,738,905,425",内胶乔 家屈林
23,2023/03/13,"2,234.29",2,-26.91,-1.19,"2,246.35","2,246.35","2,199.23","197,650,936","867,597,802,785","89,066,182,793,817",内胶乔 家屈林
24,2023/03/10,"2,261.20",2,-33.49,-1.46,"2,280.23","2,280.23","2,254.83","229,515,884","1,020,152,739,893","90,130,348,816,268",内胶乔 家屈林
25,2023/03/09,"2,294.69",2,-12.98,-0.56,"2,310.05","2,310.96","2,279.93","248,334,505","1,675,890,128,959","94,173,913,394,771",内胶乔 家屈林
26,2023/03/08,"2,307.67",2,-15.80,-0.68,"2,312.55","2,312.55","2,302.80","228,716,289","1,563,974,088,187","94,699,521,770,201",内胶乔 家屈林
27,2023/03/07,"2,323.47",1,28.64,1.25,"2,294.88","2,325.78","2,293.05","278,590,995","2,255,798,586,744","95,202,318,983,685",内胶乔 家屈林
28,2023/03/06,"2,294.83",1,16.47,0.72,"2,288.41","2,294.83","2,275.25","250,347,371","1,733,787,441,899","94,044,073,386,091",内胶乔 家屈林
29,2023/03/03,"2,278.36",1,7.59,0.33,"2,278.54","2,280.87","2,272.00","216,086,279","1,215,954,955,668","93,377,899,322,361",内胶乔 家屈林
30,2023/03/02,"2,270.77",1,20.59,0.92,"2,256.40","2,275.13","2,256.27","241,884,070","1,785,398,482,048","93,080,763,348,635",内胶乔 家屈林
31,2023/02/28,"2,250.18",1,13.53,0.60,"2,243.36","2,252.86","2,243.36","337,794,102","1,577,767,396,394","92,246,898,611,791",内胶乔 家屈林
32,2023/02/27,"2,236.65",2,-12.25,-0.54,"2,244.30","2,244.30","2,223.68","217,310,697","1,033,756,375,288","91,699,253,706,717",内胶乔 家屈林
33,2023/02/24,"2,248.90",2,-16.79,-0.74,"2,268.30","2,270.46","2,240.91","220,611,649","1,385,540,881,664","92,192,343,541,518",内胶乔 家屈林
34,2023/02/23,"2,265.69",1,9.52,0.42,"2,261.48","2,268.48","2,251.57","228,448,532","1,271,584,259,854","92,871,341,514,749",内胶乔 家屈林
35,2023/02/22,"2,256.17",2,-24.10,-1.06,"2,266.46","2,272.53","2,249.74","259,238,638","1,822,581,979,107","92,382,990,888,565",内胶乔 家屈林
36,2023/02/21,"2,280.27",1,16.69,0.74,"2,269.67","2,280.95","2,269.67","344,121,973","1,488,534,776,845","93,350,714,667,151",内胶乔 家屈林
37,2023/02/20,"2,263.58",1,16.79,0.75,"2,250.96","2,264.74","2,240.35","235,533,760","1,057,398,825,816","92,676,318,115,821",内胶乔 家屈林
38,2023/02/17,"2,246.79",1,3.62,0.16,"2,234.54","2,251.55","2,229.54","351,787,704","1,492,687,667,025","91,990,771,106,476",内胶乔 家屈林
39,2023/02/16,"2,243.17",1,23.42,1.06,"2,227.71","2,243.92","2,227.71","205,675,027","1,113,484,434,272","91,891,750,921,458",内胶乔 家屈林
40,2023/02/15,"2,219.75",2,-31.56,-1.40,"2,254.97","2,257.82","2,216.56","198,196,532","987,835,132,428","90,944,974,097,163",内胶乔 家屈林
41,2023/02/14,"2,251.31",1,13.24,0.59,"2,244.58","2,252.80","2,243.72","210,539,570","919,407,699,083","92,219,789,886,365",内胶乔 家屈林
42,2023/02/13,"2,238.07",2,-2.51,-0.11,"2,243.11","2,243.11","2,225.01","333,128,806","1,238,025,076,878","91,675,385,676,334",内胶乔 家屈林
43,2023/02/10,"2,240.58",2,-19.19,-0.85,"2,260.52","2,260.52","2,235.60","494,635,018","1,395,054,547,008","91,773,738,100,911",内胶乔 家屈林
44,2023/02/09,"2,259.77",1,0.56,0.02,"2,257.29","2,261.32","2,253.76","440,041,537","1,446,269,992,575","92,548,996,083,744",内胶乔 家屈林
45,2023/02/08,"2,259.21",1,10.98,0.49,"2,255.48","2,259.21","2,251.33","241,427,645","1,050,102,752,292","92,372,747,090,654",内胶乔 家屈林
46,2023/02/07,"2,248.23",2,-2.38,-0.11,"2,249.26","2,252.61","2,243.29","255,630,053","976,354,973,352","91,929,595,200,789",内胶乔 家屈林
47,2023/02/06,"2,250.61",1,9.47,0.42,"2,240.52","2,250.61","2,227.99","346,541,924","1,150,915,940,448","92,025,741,991,077",内胶乔 家屈林
48,2023/02/03,"2,241.14",2,-6.20,-0.28,"2,248.92","2,249.09","2,235.53","290,409,831","737,016,456,797","91,641,350,300,498",内胶乔 家屈林
49,2023/02/02,"2,247.34",1,21.29,0.96,"2,237.87","2,247.34","2,237.87","477,997,455","1,147,018,012,243","91,891,518,106,749",内胶乔 家屈林
50,2023/02/01,"2,226.05",1,7.54,0.34,"2,226.04","2,229.08","2,219.54","446,171,137","1,272,104,807,200","91,024,326,319,103",内胶乔 家屈林
51,2023/01/31,"2,218.51",1,5.16,0.23,"2,211.11","2,220.31","2,202.43","364,768,824","1,071,402,447,596","90,720,161,954,273",内胶乔 家屈林
52,2023/01/30,"2,213.35",2,-5.50,-0.25,"2,224.96","2,229.14","2,210.91","262,076,364","1,129,454,942,752","90,663,479,759,630",内胶乔 家屈林
53,2023/01/27,"2,218.85",1,12.27,0.56,"2,214.08","2,221.56","2,208.61","256,753,749","1,106,079,346,544","90,882,772,605,744",内胶乔 家屈林
54,2023/01/26,"2,206.58",1,18.66,0.85,"2,190.93","2,206.58","2,190.93","284,241,068","1,200,233,926,244","90,386,828,463,123",内胶乔 家屈林
55,2023/01/25,"2,187.92",1,13.18,0.61,"2,184.13","2,188.39","2,180.41","273,425,327","984,507,857,486","89,632,808,257,193",内胶乔 家屈林
56,2023/01/20,"2,174.74",1,15.83,0.73,"2,157.65","2,174.76","2,157.50","143,406,223","628,149,117,084","89,096,635,340,651",内胶乔 家屈林
57,2023/01/19,"2,158.91",1,4.15,0.19,"2,148.86","2,160.36","2,145.17","180,665,331","723,720,109,197","88,454,479,564,274",内胶乔 家屈林
58,2023/01/18,"2,154.76",2,-9.29,-0.43,"2,166.57","2,167.23","2,150.72","182,005,001","629,776,641,123","88,281,253,342,749",内胶乔 家屈林
59,2023/01/17,"2,164.05",2,-11.05,-0.51,"2,178.03","2,184.83","2,162.17","309,405,114","1,030,308,545,912","88,591,398,821,324",内胶乔 家屈林
60,2023/01/16,"2,175.10",1,4.46,0.21,"2,174.89","2,178.73","2,170.62","239,600,136","848,975,944,109","89,036,559,581,733",内胶乔 家屈林
61,2023/01/13,"2,170.64",1,8.57,0.40,"2,168.02","2,174.67","2,167.79","350,264,645","949,938,908,188","88,855,831,140,376",内胶乔 家屈林
