,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"2,880.75",1,12.91,0.45,"2,853.00","2,880.75","2,830.76","103,685,492","2,457,449,693,164","248,291,700,267,912",코스피 중형주
1,2023/04/12,"2,867.84",1,0.57,0.02,"2,865.54","2,885.28","2,856.48","181,837,496","2,973,898,752,708","247,179,815,907,041",코스피 중형주
2,2023/04/11,"2,867.27",1,32.75,1.16,"2,840.56","2,867.27","2,815.29","95,591,794","2,890,150,934,884","247,131,534,238,116",코스피 중형주
3,2023/04/10,"2,834.52",2,-3.25,-0.11,"2,837.85","2,841.79","2,812.64","94,873,072","2,944,414,365,539","244,309,028,174,463",코스피 중형주
4,2023/04/07,"2,837.77",1,17.43,0.62,"2,826.10","2,840.27","2,816.30","84,006,315","2,623,790,152,224","245,022,454,729,578",코스피 중형주
5,2023/04/06,"2,820.34",2,-28.03,-0.98,"2,846.65","2,846.65","2,816.36","77,700,208","2,053,719,717,577","243,515,234,407,328",코스피 중형주
6,2023/04/05,"2,848.37",1,0.22,0.01,"2,849.67","2,865.87","2,841.15","76,123,688","2,185,280,512,370","245,934,920,282,968",코스피 중형주
7,2023/04/04,"2,848.15",1,12.99,0.46,"2,837.17","2,852.50","2,833.71","95,867,361","3,053,692,569,505","245,915,620,670,726",코스피 중형주
8,2023/04/03,"2,835.16",1,18.78,0.67,"2,826.27","2,843.30","2,822.83","95,931,882","3,062,458,314,586","244,768,202,545,066",코스피 중형주
9,2023/03/31,"2,816.38",1,27.26,0.98,"2,796.80","2,823.75","2,793.80","113,935,594","3,049,188,328,981","243,147,740,453,547",코스피 중형주
10,2023/03/30,"2,789.12",1,20.08,0.73,"2,773.95","2,796.46","2,765.92","103,672,952","2,634,140,213,691","240,780,285,746,655",코스피 중형주
11,2023/03/29,"2,769.04",1,27.76,1.01,"2,747.34","2,771.65","2,747.34","120,629,783","2,820,870,709,644","239,043,951,763,272",코스피 중형주
12,2023/03/28,"2,741.28",1,36.65,1.36,"2,711.65","2,741.28","2,709.15","77,641,955","2,108,475,780,449","236,646,613,253,723",코스피 중형주
13,2023/03/27,"2,704.63",1,9.98,0.37,"2,704.67","2,707.38","2,678.64","82,974,984","2,447,057,272,985","233,482,214,086,423",코스피 중형주
14,2023/03/24,"2,694.65",1,7.45,0.28,"2,685.70","2,695.04","2,676.54","112,303,891","3,161,840,760,901","232,617,136,386,917",코스피 중형주
15,2023/03/23,"2,687.20",2,-8.65,-0.32,"2,684.46","2,702.90","2,676.52","88,845,390","3,155,744,566,444","231,973,575,616,529",코스피 중형주
16,2023/03/22,"2,695.85",1,3.68,0.14,"2,710.15","2,710.15","2,687.69","60,032,881","1,817,657,725,187","232,718,980,076,613",코스피 중형주
17,2023/03/21,"2,692.17",1,32.48,1.22,"2,674.41","2,693.74","2,673.10","74,646,650","2,493,991,120,252","232,400,166,640,232",코스피 중형주
18,2023/03/20,"2,659.69",1,3.16,0.12,"2,657.70","2,686.70","2,655.79","56,624,793","1,562,813,630,471","229,594,536,255,763",코스피 중형주
19,2023/03/17,"2,656.53",1,16.00,0.61,"2,663.00","2,667.46","2,644.35","70,108,219","1,677,956,827,778","229,320,025,778,166",코스피 중형주
20,2023/03/16,"2,640.53",2,-21.18,-0.80,"2,642.92","2,643.30","2,610.45","60,184,796","1,521,791,397,610","227,936,297,557,064",코스피 중형주
21,2023/03/15,"2,661.71",1,43.70,1.67,"2,654.07","2,675.05","2,649.13","61,935,674","1,668,432,713,627","229,759,880,160,176",코스피 중형주
22,2023/03/14,"2,618.01",2,-83.92,-3.11,"2,688.23","2,688.23","2,617.45","75,357,025","1,574,196,101,420","225,987,228,187,393",코스피 중형주
23,2023/03/13,"2,701.93",2,-11.21,-0.41,"2,706.64","2,707.48","2,657.05","74,798,791","1,582,652,093,889","233,231,788,829,348",코스피 중형주
24,2023/03/10,"2,713.14",2,-50.71,-1.83,"2,737.36","2,737.36","2,707.69","70,142,037","1,876,449,191,558","234,211,592,796,991",코스피 중형주
25,2023/03/09,"2,763.85",1,9.78,0.36,"2,763.20","2,772.55","2,752.56","75,515,572","1,992,992,704,797","236,641,545,202,037",코스피 중형주
26,2023/03/08,"2,754.07",2,-22.24,-0.80,"2,752.82","2,757.05","2,745.22","71,332,887","2,097,553,480,525","235,803,937,624,755",코스피 중형주
27,2023/03/07,"2,776.31",1,3.94,0.14,"2,768.63","2,781.48","2,762.27","80,125,106","1,743,159,591,818","237,703,942,631,427",코스피 중형주
28,2023/03/06,"2,772.37",2,-1.68,-0.06,"2,787.34","2,787.43","2,757.59","70,383,759","1,806,188,562,149","237,366,746,146,617",코스피 중형주
29,2023/03/03,"2,774.05",1,7.98,0.29,"2,777.86","2,780.34","2,756.98","65,460,808","1,710,389,667,686","237,510,339,971,707",코스피 중형주
30,2023/03/02,"2,766.07",1,26.84,0.98,"2,744.37","2,775.63","2,744.37","76,714,284","2,082,875,485,467","236,828,019,802,499",코스피 중형주
31,2023/02/28,"2,739.23",1,7.48,0.27,"2,743.03","2,754.10","2,736.54","65,432,190","1,598,841,825,992","234,529,656,706,551",코스피 중형주
32,2023/02/27,"2,731.75",2,-19.01,-0.69,"2,736.39","2,736.39","2,711.47","68,053,557","1,411,938,711,970","233,888,079,035,049",코스피 중형주
33,2023/02/24,"2,750.76",2,-17.10,-0.62,"2,767.62","2,777.39","2,743.30","65,419,406","1,168,267,626,889","235,512,191,877,710",코스피 중형주
34,2023/02/23,"2,767.86",1,23.23,0.85,"2,752.69","2,772.34","2,741.37","84,466,996","1,310,305,705,241","236,976,658,700,311",코스피 중형주
35,2023/02/22,"2,744.63",2,-36.26,-1.30,"2,755.11","2,763.68","2,740.19","75,456,726","1,437,280,926,528","234,987,659,428,567",코스피 중형주
36,2023/02/21,"2,780.89",1,14.64,0.53,"2,769.63","2,785.38","2,761.64","65,839,946","1,412,398,864,786","238,085,595,561,879",코스피 중형주
37,2023/02/20,"2,766.25",1,20.09,0.73,"2,753.92","2,768.12","2,738.06","71,855,133","1,560,953,105,817","236,832,667,424,754",코스피 중형주
38,2023/02/17,"2,746.16",2,-2.48,-0.09,"2,727.05","2,759.68","2,718.48","80,011,846","1,909,650,585,375","235,112,859,595,721",코스피 중형주
39,2023/02/16,"2,748.64",1,47.82,1.77,"2,713.06","2,748.64","2,713.06","76,757,122","1,853,007,140,743","235,325,041,435,106",코스피 중형주
40,2023/02/15,"2,700.82",2,-42.31,-1.54,"2,746.10","2,751.87","2,698.90","66,118,591","1,369,120,570,955","231,230,673,153,939",코스피 중형주
41,2023/02/14,"2,743.13",1,4.75,0.17,"2,749.49","2,753.03","2,737.15","51,956,985","1,114,314,833,979","234,853,485,508,067",코스피 중형주
42,2023/02/13,"2,738.38",2,-8.22,-0.30,"2,742.24","2,745.69","2,718.87","57,784,483","1,178,524,063,199","234,446,240,878,405",코스피 중형주
43,2023/02/10,"2,746.60",2,-2.50,-0.09,"2,746.93","2,751.89","2,730.33","59,990,618","1,315,210,406,046","235,150,186,121,781",코스피 중형주
44,2023/02/09,"2,749.10",2,-5.66,-0.21,"2,745.18","2,762.98","2,743.81","62,777,427","1,312,621,287,605","235,364,459,075,838",코스피 중형주
45,2023/02/08,"2,754.76",1,19.84,0.73,"2,743.49","2,754.85","2,737.98","62,337,751","1,179,748,355,973","235,849,501,281,114",코스피 중형주
46,2023/02/07,"2,734.92",2,-4.54,-0.17,"2,741.28","2,744.79","2,728.74","74,510,967","1,263,382,924,532","234,150,901,126,026",코스피 중형주
47,2023/02/06,"2,739.46",2,-8.56,-0.31,"2,742.86","2,756.70","2,720.14","84,055,434","1,247,923,773,987","234,539,482,883,144",코스피 중형주
48,2023/02/03,"2,748.02",1,6.05,0.22,"2,737.83","2,753.75","2,729.37","68,329,208","1,114,754,688,123","235,272,524,916,921",코스피 중형주
49,2023/02/02,"2,741.97",1,0.01,0.00,"2,759.66","2,766.86","2,733.49","86,754,999","1,305,747,310,220","234,755,147,790,625",코스피 중형주
50,2023/02/01,"2,741.96",2,-0.84,-0.03,"2,743.39","2,750.28","2,733.87","79,002,050","1,269,746,457,231","234,754,156,565,319",코스피 중형주
51,2023/01/31,"2,742.80",1,32.98,1.22,"2,710.38","2,742.80","2,700.26","72,803,223","1,295,658,340,689","234,826,149,980,823",코스피 중형주
52,2023/01/30,"2,709.82",2,-31.52,-1.15,"2,740.71","2,745.18","2,709.82","72,166,009","1,441,877,294,695","232,002,241,441,252",코스피 중형주
53,2023/01/27,"2,741.34",1,13.82,0.51,"2,729.66","2,749.19","2,720.25","83,247,334","1,189,958,644,267","234,701,625,852,264",코스피 중형주
