,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"2,561.66",1,11.02,0.43,"2,534.71","2,561.66","2,531.07","841,719,152","11,996,436,001,118","2,024,512,511,224,487",코스피
1,2023/04/12,"2,550.64",1,2.78,0.11,"2,546.36","2,561.37","2,536.23","900,749,506","14,426,258,754,523","2,016,495,718,468,033",코스피
2,2023/04/11,"2,547.86",1,35.78,1.42,"2,523.33","2,550.97","2,514.42","768,175,552","14,050,594,716,001","2,014,288,065,974,223",코스피
3,2023/04/10,"2,512.08",1,21.67,0.87,"2,491.68","2,519.99","2,490.17","717,648,069","13,539,855,326,610","1,986,876,446,769,953",코스피
4,2023/04/07,"2,490.41",1,31.18,1.27,"2,478.64","2,493.06","2,473.89","586,992,797","11,250,171,223,896","1,969,009,466,863,069",코스피
5,2023/04/06,"2,459.23",2,-35.98,-1.44,"2,488.00","2,488.00","2,458.50","751,378,076","11,332,652,707,404","1,943,849,428,822,129",코스피
6,2023/04/05,"2,495.21",1,14.70,0.59,"2,482.61","2,497.61","2,478.67","632,719,928","9,811,876,730,903","1,972,182,473,615,841",코스피
7,2023/04/04,"2,480.51",1,8.17,0.33,"2,475.87","2,489.71","2,472.79","832,555,311","13,496,867,045,151","1,960,644,519,068,079",코스피
8,2023/04/03,"2,472.34",2,-4.52,-0.18,"2,485.81","2,485.81","2,467.59","811,723,687","11,300,345,587,698","1,954,443,677,108,913",코스피
9,2023/03/31,"2,476.86",1,23.70,0.97,"2,459.94","2,481.24","2,456.54","722,612,208","12,903,370,005,323","1,957,926,358,388,616",코스피
10,2023/03/30,"2,453.16",1,9.24,0.38,"2,452.97","2,462.70","2,439.43","629,052,032","10,846,639,791,891","1,937,575,538,312,041",코스피
11,2023/03/29,"2,443.92",1,8.98,0.37,"2,432.63","2,443.95","2,428.61","497,218,499","8,829,888,945,168","1,930,378,482,206,591",코스피
12,2023/03/28,"2,434.94",1,25.72,1.07,"2,418.69","2,434.94","2,415.34","524,016,141","8,812,617,627,205","1,923,151,536,114,985",코스피
