,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"3,318.70",2,-0.24,-0.01,"3,301.29","3,321.36","3,258.44","417,512,925","2,975,567,942,163","194,467,788,778,384",코스피200제외 코스피지수
1,2023/04/12,"3,318.94",2,-3.99,-0.12,"3,322.02","3,339.15","3,300.16","478,506,698","3,812,682,342,418","195,108,369,249,072",코스피200제외 코스피지수
2,2023/04/11,"3,322.93",1,28.40,0.86,"3,301.95","3,322.93","3,256.37","377,942,193","3,579,710,932,658","195,476,527,967,547",코스피200제외 코스피지수
3,2023/04/10,"3,294.53",2,-1.90,-0.06,"3,302.21","3,302.21","3,276.72","560,673,741","4,332,439,597,737","193,055,075,445,681",코스피200제외 코스피지수
4,2023/04/07,"3,296.43",1,18.46,0.56,"3,290.06","3,297.63","3,276.21","369,736,502","3,168,795,002,632","193,166,052,060,822",코스피200제외 코스피지수
5,2023/04/06,"3,277.97",2,-19.62,-0.59,"3,296.61","3,296.61","3,269.19","490,613,026","3,099,843,674,432","192,086,242,784,426",코스피200제외 코스피지수
6,2023/04/05,"3,297.59",1,13.42,0.41,"3,283.83","3,298.23","3,283.34","346,739,701","2,834,791,391,097","193,211,998,185,410",코스피200제외 코스피지수
7,2023/04/04,"3,284.17",1,0.63,0.02,"3,282.42","3,294.82","3,274.84","616,923,381","4,080,079,960,337","192,432,131,220,628",코스피200제외 코스피지수
8,2023/04/03,"3,283.54",1,50.15,1.55,"3,249.40","3,284.34","3,243.43","598,486,428","3,851,729,039,832","192,369,506,503,530",코스피200제외 코스피지수
9,2023/03/31,"3,233.39",1,0.23,0.01,"3,235.51","3,244.25","3,225.72","374,306,918","2,611,977,642,301","186,452,297,744,363",코스피200제외 코스피지수
10,2023/03/30,"3,233.16",1,18.88,0.59,"3,228.20","3,234.62","3,218.80","420,973,807","2,973,399,509,784","186,419,472,320,942",코스피200제외 코스피지수
11,2023/03/29,"3,214.28",1,33.18,1.04,"3,185.12","3,214.47","3,183.95","337,573,061","2,846,874,864,797","185,334,718,123,347",코스피200제외 코스피지수
12,2023/03/28,"3,181.10",1,36.76,1.17,"3,151.75","3,181.10","3,147.25","396,408,275","3,312,278,197,947","183,430,430,709,638",코스피200제외 코스피지수
13,2023/03/27,"3,144.34",1,7.73,0.25,"3,143.83","3,146.51","3,119.49","358,125,682","2,994,120,445,814","180,998,328,355,403",코스피200제외 코스피지수
14,2023/03/24,"3,136.61",1,23.52,0.76,"3,126.76","3,136.92","3,108.34","350,421,619","3,191,024,838,219","180,552,957,860,012",코스피200제외 코스피지수
