,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,363.55,1,1.73,0.48,361.60,364.55,360.67,"3,979,924","82,763,501,991","23,991,526,404,419",통신업
1,2023/04/12,361.82,2,-0.29,-0.08,361.46,362.70,360.61,"3,294,838","70,123,726,856","23,877,412,818,686",통신업
2,2023/04/11,362.11,1,2.54,0.71,359.15,363.13,357.49,"3,848,648","81,061,910,917","23,896,311,194,071",통신업
3,2023/04/10,359.57,1,0.25,0.07,358.03,360.20,357.13,"2,918,276","61,327,813,072","23,728,403,682,784",통신업
4,2023/04/07,359.32,2,-1.93,-0.53,359.79,360.65,357.90,"1,947,025","42,208,348,511","23,712,325,958,460",통신업
5,2023/04/06,361.25,1,0.16,0.04,361.57,362.44,359.38,"5,564,667","96,457,823,155","23,839,278,130,696",통신업
6,2023/04/05,361.09,1,1.81,0.50,360.56,363.08,359.75,"3,801,226","75,930,789,740","23,829,292,806,634",통신업
7,2023/04/04,359.28,1,4.40,1.24,354.59,360.37,353.49,"3,763,143","87,961,549,549","23,709,746,116,652",통신업
8,2023/04/03,354.88,2,-1.07,-0.30,354.69,354.93,353.03,"2,847,555","65,587,728,830","23,419,197,510,821",통신업
9,2023/03/31,355.95,1,3.68,1.04,351.34,356.46,350.05,"6,297,242","127,131,381,920","23,489,916,217,184",통신업
10,2023/03/30,352.27,2,-5.13,-1.44,354.86,355.41,351.31,"7,133,695","166,049,816,919","23,246,631,085,377",통신업
11,2023/03/29,357.40,2,-1.65,-0.46,358.62,359.61,354.92,"6,368,432","153,697,530,445","23,585,161,428,131",통신업
12,2023/03/28,359.05,2,-0.31,-0.09,358.62,359.22,356.64,"2,791,222","60,862,809,140","23,694,133,153,625",통신업
13,2023/03/27,359.36,1,0.52,0.14,360.63,361.83,356.26,"3,025,057","62,015,524,878","23,715,108,444,017",통신업
