,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"6,045.75",1,46.55,0.78,"5,938.61","6,065.02","5,899.51","45,275,404","2,216,747,303,953","200,925,913,741,940",화학
1,2023/04/12,"5,999.20",2,-165.58,-2.69,"6,127.16","6,185.21","5,999.20","58,266,087","2,740,406,148,356","199,364,085,523,980",화학
2,2023/04/11,"6,164.78",1,173.98,2.90,"6,061.08","6,254.58","6,030.48","71,058,958","3,764,261,023,538","204,766,430,033,560",화학
3,2023/04/10,"5,990.80",1,154.91,2.65,"5,873.16","6,033.83","5,859.96","77,974,355","3,381,912,142,808","198,795,278,910,610",화학
4,2023/04/07,"5,835.89",1,82.44,1.43,"5,755.92","5,850.42","5,723.79","41,501,716","2,235,507,871,154","193,646,109,000,735",화학
5,2023/04/06,"5,753.45",2,-72.99,-1.25,"5,807.60","5,814.43","5,732.75","43,732,230","1,682,080,333,456","190,911,877,572,550",화학
6,2023/04/05,"5,826.44",1,12.34,0.21,"5,821.26","5,859.04","5,801.01","29,441,452","1,694,547,401,230","193,369,924,985,875",화학
7,2023/04/04,"5,814.10",1,15.42,0.27,"5,839.30","5,923.92","5,796.05","47,220,927","2,480,977,060,839","192,939,026,975,585",화학
8,2023/04/03,"5,798.68",1,22.28,0.39,"5,838.71","5,866.05","5,787.29","59,681,311","2,793,030,398,224","192,384,384,332,930",화학
9,2023/03/31,"5,776.40",1,47.42,0.83,"5,734.90","5,802.97","5,711.64","49,418,604","2,513,300,882,384","191,610,868,125,825",화학
10,2023/03/30,"5,728.98",1,70.21,1.24,"5,664.83","5,776.75","5,613.92","48,538,495","2,665,287,860,719","188,779,537,797,170",화학
11,2023/03/29,"5,658.77",1,64.29,1.15,"5,591.44","5,666.40","5,591.02","70,185,707","2,014,245,497,210","186,457,224,762,870",화학
12,2023/03/28,"5,594.48",1,47.79,0.86,"5,577.66","5,594.48","5,510.56","25,373,600","1,326,159,863,581","184,342,841,805,605",화학
13,2023/03/27,"5,546.69",1,68.49,1.25,"5,521.58","5,566.96","5,497.93","31,250,863","1,701,652,780,395","182,815,142,809,370",화학
14,2023/03/24,"5,478.20",2,-60.96,-1.10,"5,536.98","5,551.10","5,431.54","39,578,228","1,669,926,567,918","180,600,451,761,670",화학
15,2023/03/23,"5,539.16",1,51.87,0.95,"5,449.25","5,576.69","5,443.16","75,400,686","3,133,289,131,017","182,582,927,480,240",화학
16,2023/03/22,"5,487.29",1,74.51,1.38,"5,471.41","5,495.59","5,447.58","39,402,816","1,813,105,028,437","180,886,574,047,060",화학
17,2023/03/21,"5,412.78",1,53.95,1.01,"5,392.99","5,420.32","5,377.05","61,759,845","2,503,519,536,523","178,455,553,040,350",화학
18,2023/03/20,"5,358.83",2,-12.89,-0.24,"5,360.28","5,427.33","5,336.11","23,494,357","1,225,518,505,446","176,716,356,463,085",화학
19,2023/03/17,"5,371.72",2,-77.23,-1.42,"5,491.20","5,492.43","5,348.76","21,114,595","1,270,185,440,250","177,119,966,018,660",화학
20,2023/03/16,"5,448.95",2,-23.19,-0.42,"5,418.39","5,455.31","5,372.65","25,203,750","1,212,791,050,498","179,674,605,197,025",화학
21,2023/03/15,"5,472.14",1,52.65,0.97,"5,504.88","5,527.54","5,426.52","27,286,453","1,180,428,850,658","180,452,879,296,130",화학
